
ICA_Basis,0.067547
Q,DCT_ent,PSNR,SSIM,MS-SSIM,Area,,ICA_ent,PSNR,SSIM,MS-SSIM,Area,,Basis,,,Without basis Entropy
100,5.087125,49.541853,0.997201,,1021,,5.007029,49.544330,0.997187,,3,,6,36,42,,5.000170
90,2.735768,36.362422,0.960730,,1000,,2.669167,36.365542,0.960707,,24,,15,28,37,,2.662152
80,2.004206,33.254558,0.936085,,947,,1.954556,33.266240,0.935967,,77,,0,31,59,,1.939925
70,1.665324,31.645450,0.915522,,882,,1.637176,31.667733,0.915107,,142,,40,48,59,,1.623291
60,1.457184,30.542891,0.895725,,803,,1.441328,30.604016,0.896358,,221,,0,39,59,,1.423942
50,1.294346,29.852876,0.883796,,716,,1.288476,29.950576,0.884502,,308,,0,39,59,,1.269924
40,1.122351,29.085376,0.867597,,687,,1.122257,29.193730,0.868887,,337,,0,39,59,,1.103996
30,0.953424,28.262196,0.847328,,664,,0.953789,28.399114,0.849156,,360,,39,59,99,,0.939704
20,0.716570,26.851300,0.808967,,599,,0.715859,27.051577,0.809376,,425,,99,99,99,,0.711247
10,0.426132,24.315009,0.727237,,462,,0.450247,24.779391,0.734849,,562,,99,99,99,,0.446419
