 1000 (dct only) : 48.312500, 0.000551


 1000 : [0,39,59] (-13.296875 , 0.000171)
 1000 : [1,39,59] (-8.468750 , 0.000165)
 1000 : [2,39,59] (-9.281250 , 0.000171)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [8,39,59] (-8.671875 , 0.000167)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [14,39,59] (-10.421875 , 0.000165)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [17,39,59] (-8.406250 , 0.000167)
 1000 : [18,39,59] (-9.421875 , 0.000161)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [21,39,59] (-10.203125 , 0.000162)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [24,39,59] (-11.734375 , 0.000166)
 1000 : [25,39,59] (-8.656250 , 0.000177)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [29,39,59] (-8.250000 , 0.000165)
 1000 : [30,39,59] (-8.296875 , 0.000164)
 1000 : [31,39,56] (-2.218750 , 0.000130)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [33,39,59] (-9.312500 , 0.000163)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,41,59] (-8.468750 , 0.000164)
 1000 : [39,42,59] (-8.640625 , 0.000164)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,44,59] (-8.421875 , 0.000169)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,49,59] (-8.625000 , 0.000164)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,52,59] (-10.140625 , 0.000159)
 1000 : [39,53,59] (-9.156250 , 0.000163)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,58,59] (-8.828125 , 0.000160)
 1000 : [39,59,60] (-9.140625 , 0.000168)
 1000 : [39,59,61] (-8.312500 , 0.000166)
 1000 : [39,59] (-8.234375 , 0.000285)
 1000 : [39,59] (-8.234375 , 0.000285)
