

 Use image  :  barbara.bmp




  confirmation of MSE 


  Number of basis used : 1 ~ 64 

----------------------------------------------------------------------------------



   9 : 1.265625


  11 : 1.250000


  47 : 1.171875


  38 : 1.296875


  17 : 1.343750


   0 : 1.343750


  60 : 1.453125


  28 : 1.406250


  63 : 1.625000


  37 : 2.062500


  50 : 2.343750


  59 : 2.765625


  16 : 2.437500


  32 : 2.984375


  31 : 3.187500


  22 : 3.515625


  44 : 3.156250


   4 : 3.140625


  26 : 3.593750


  53 : 4.671875


  56 : 5.515625


  29 : 6.546875


  43 : 7.203125


  15 : 8.328125


  27 : 9.890625


  46 : 10.343750


  13 : 10.046875


  10 : 10.203125


  19 : 10.515625


  12 : 12.140625


  54 : 13.593750


  48 : 15.937500


   1 : 16.265625


  33 : 17.671875


  41 : 21.265625


  55 : 20.765625


   5 : 25.781250


  14 : 29.218750


  24 : 35.203125


  58 : 37.312500


  25 : 39.718750


  30 : 44.062500


   6 : 48.750000


  57 : 38.359375


  20 : 44.828125


  42 : 47.125000


   2 : 52.203125


  35 : 59.406250


  45 : 72.890625


   8 : 89.703125


  34 : 106.640625


  21 : 127.625000


  49 : 157.890625


  40 : 191.937500


   7 : 227.515625


  18 : 272.781250


   3 : 302.609375


  62 : 361.093750


  23 : 427.687500


  51 : 497.828125


  61 : 591.906250


  52 : 721.140625


  39 : 889.937500


  36 : 1107.312500
