
ICA_Basis,0.005482
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options
100,3.782905,3.780919,0.000000,2.000000,0.000202,0.000000,0.000000,,=(C4+D4+F4),=(C4+D4+F4+$B$2*G4),,=(B4-J4),,=(M4/$B$2)
90,1.317938,1.312096,0.000000,26.000000,0.002623,0.000000,0.000000,,=(C5+D5+F5),=(C5+D5+F5+$B$2*G5),,=(B5-J5),,=(M5/$B$2)
80,0.876421,0.865739,0.000000,69.000000,0.006961,0.000000,0.000000,,=(C6+D6+F6),=(C6+D6+F6+$B$2*G6),,=(B6-J6),,=(M6/$B$2)
70,0.738624,0.713893,0.002117,150.000000,0.015132,1.000000,0.206667,,=(C7+D7+F7),=(C7+D7+F7+$B$2*G7),,=(B7-J7),,=(M7/$B$2)
60,0.643716,0.610452,0.002892,206.000000,0.020782,1.000000,0.213592,,=(C8+D8+F8),=(C8+D8+F8+$B$2*G8),,=(B8-J8),,=(M8/$B$2)
50,0.582177,0.536419,0.004118,302.000000,0.030467,2.000000,0.192053,,=(C9+D9+F9),=(C9+D9+F9+$B$2*G9),,=(B9-J9),,=(M9/$B$2)
40,0.512523,0.462586,0.004906,336.000000,0.033897,2.000000,0.208333,,=(C10+D10+F10),=(C10+D10+F10+$B$2*G10),,=(B10-J10),,=(M10/$B$2)
30,0.437330,0.383189,0.004570,373.000000,0.037629,2.000000,0.171582,,=(C11+D11+F11),=(C11+D11+F11+$B$2*G11),,=(B11-J11),,=(M11/$B$2)
20,0.335628,0.263046,0.005042,503.000000,0.050744,3.000000,0.127237,,=(C12+D12+F12),=(C12+D12+F12+$B$2*G12),,=(B12-J12),,=(M12/$B$2)
10,0.220259,0.133724,0.005472,638.000000,0.064363,3.000000,0.103448,,=(C13+D13+F13),=(C13+D13+F13+$B$2*G13),,=(B13-J13),,=(M13/$B$2)
