[0] : 294.015625,  282.546875  (-11.468750)
[1] : 193.078125,  188.875000  (-4.203125)
[2] : 166.875000,  168.984375  (2.109375)
[3] : 130.625000,  130.625000  (0.000000)
[4] : 158.390625,  159.250000  (0.859375)
[5] : 149.343750,  150.109375  (0.765625)
[6] : 156.046875,  149.750000  (-6.296875)
[7] : 126.937500,  126.937500  (0.000000)
[8] : 115.906250,  115.906250  (0.000000)
[9] : 169.000000,  154.687500  (-14.312500)
[10] : 157.171875,  152.375000  (-4.796875)
[11] : 135.453125,  136.156250  (0.703125)
[12] : 117.437500,  114.421875  (-3.015625)
[13] : 145.593750,  145.593750  (0.000000)
[14] : 106.156250,  106.156250  (0.000000)
[15] : 102.031250,  102.812500  (0.781250)
[16] : 87.656250,  87.656250  (0.000000)
[17] : 59.218750,  52.437500  (-6.781250)
[18] : 116.109375,  113.859375  (-2.250000)
[19] : 100.890625,  101.062500  (0.171875)
[20] : 93.796875,  86.125000  (-7.671875)
[21] : 111.468750,  96.109375  (-15.359375)
[22] : 73.093750,  81.484375  (8.390625)
[23] : 85.656250,  78.171875  (-7.484375)
[24] : 73.609375,  73.343750  (-0.265625)
[25] : 104.390625,  87.796875  (-16.593750)
[26] : 87.125000,  87.109375  (-0.015625)
[27] : 86.781250,  86.234375  (-0.546875)
[28] : 157.515625,  156.843750  (-0.671875)
[29] : 204.296875,  204.296875  (0.000000)
[30] : 122.187500,  126.187500  (4.000000)
[31] : 197.734375,  196.593750  (-1.140625)
[32] : 190.640625,  171.687500  (-18.953125)
[33] : 88.968750,  88.968750  (0.000000)
[34] : 73.843750,  73.843750  (0.000000)
[35] : 52.671875,  52.812500  (0.140625)
[36] : 73.109375,  71.218750  (-1.890625)
[37] : 78.765625,  78.156250  (-0.609375)
[38] : 36.687500,  36.687500  (0.000000)
[39] : 24.546875,  16.765625  (-7.781250)
[40] : 13.968750,  14.078125  (0.109375)
[41] : 14.828125,  14.828125  (0.000000)
[42] : 42.765625,  34.750000  (-8.015625)
[43] : 10.093750,  10.093750  (0.000000)
[44] : 44.359375,  44.062500  (-0.296875)
[45] : 31.218750,  31.218750  (0.000000)
[46] : 38.265625,  38.375000  (0.109375)
[47] : 11.140625,  11.140625  (0.000000)
[48] : 16.468750,  16.359375  (-0.109375)
[49] : 39.562500,  33.937500  (-5.625000)
[50] : 32.765625,  32.765625  (0.000000)
[51] : 41.609375,  41.609375  (0.000000)
[52] : 30.218750,  24.437500  (-5.781250)
[53] : 20.671875,  19.453125  (-1.218750)
[54] : 32.156250,  32.156250  (0.000000)
[55] : 29.640625,  29.640625  (0.000000)
[56] : 52.984375,  52.750000  (-0.234375)
[57] : 67.046875,  64.687500  (-2.359375)
[58] : 70.796875,  70.796875  (0.000000)
[59] : 76.234375,  61.312500  (-14.921875)
[60] : 71.437500,  70.828125  (-0.609375)
[61] : 56.546875,  51.328125  (-5.218750)
[62] : 53.390625,  53.984375  (0.593750)
[63] : 33.734375,  33.734375  (0.000000)
[64] : 183.140625,  183.140625  (0.000000)
[65] : 26.375000,  26.500000  (0.125000)
[66] : 54.328125,  53.968750  (-0.359375)
[67] : 71.921875,  61.562500  (-10.359375)
[68] : 36.687500,  34.109375  (-2.578125)
[69] : 95.250000,  88.718750  (-6.531250)
[70] : 65.218750,  55.609375  (-9.609375)
[71] : 77.312500,  77.046875  (-0.265625)
[72] : 41.281250,  41.281250  (0.000000)
[73] : 38.765625,  38.765625  (0.000000)
[74] : 16.453125,  16.203125  (-0.250000)
[75] : 29.484375,  29.484375  (0.000000)
[76] : 32.406250,  26.843750  (-5.562500)
[77] : 29.687500,  29.687500  (0.000000)
[78] : 39.656250,  39.125000  (-0.531250)
[79] : 40.984375,  40.984375  (0.000000)
[80] : 15.218750,  15.218750  (0.000000)
[81] : 21.156250,  21.156250  (0.000000)
[82] : 16.796875,  16.796875  (0.000000)
[83] : 24.859375,  23.421875  (-1.437500)
[84] : 42.843750,  42.843750  (0.000000)
[85] : 34.843750,  29.109375  (-5.734375)
[86] : 23.656250,  23.656250  (0.000000)
[87] : 29.750000,  29.750000  (0.000000)
[88] : 33.328125,  33.328125  (0.000000)
[89] : 15.468750,  15.468750  (0.000000)
[90] : 18.031250,  18.109375  (0.078125)
[91] : 22.000000,  22.265625  (0.265625)
[92] : 35.359375,  35.359375  (0.000000)
[93] : 97.546875,  97.531250  (-0.015625)
[94] : 90.531250,  90.531250  (0.000000)
[95] : 48.453125,  47.390625  (-1.062500)
[96] : 157.000000,  145.734375  (-11.265625)
[97] : 74.078125,  73.781250  (-0.296875)
[98] : 54.203125,  54.156250  (-0.046875)
[99] : 126.750000,  124.640625  (-2.109375)
[100] : 129.906250,  124.703125  (-5.203125)
[101] : 70.640625,  77.578125  (6.937500)
[102] : 46.890625,  47.203125  (0.312500)
[103] : 42.234375,  31.734375  (-10.500000)
[104] : 71.062500,  71.062500  (0.000000)
[105] : 107.234375,  101.562500  (-5.671875)
[106] : 92.437500,  91.812500  (-0.625000)
[107] : 85.609375,  86.015625  (0.406250)
[108] : 16.781250,  16.593750  (-0.187500)
[109] : 10.406250,  10.265625  (-0.140625)
[110] : 44.500000,  40.750000  (-3.750000)
[111] : 31.640625,  31.375000  (-0.265625)
[112] : 14.671875,  13.921875  (-0.750000)
[113] : 17.031250,  17.031250  (0.000000)
[114] : 21.937500,  21.937500  (0.000000)
[115] : 28.125000,  26.843750  (-1.281250)
[116] : 34.437500,  34.437500  (0.000000)
[117] : 41.437500,  41.437500  (0.000000)
[118] : 25.531250,  25.531250  (0.000000)
[119] : 34.843750,  32.062500  (-2.781250)
[120] : 6.984375,  7.546875  (0.562500)
[121] : 22.375000,  22.234375  (-0.140625)
[122] : 25.562500,  25.562500  (0.000000)
[123] : 35.625000,  35.625000  (0.000000)
[124] : 27.437500,  27.437500  (0.000000)
[125] : 23.625000,  20.875000  (-2.750000)
[126] : 35.765625,  35.765625  (0.000000)
[127] : 18.968750,  18.968750  (0.000000)
[128] : 133.953125,  121.390625  (-12.562500)
[129] : 35.703125,  34.656250  (-1.046875)
[130] : 28.765625,  25.093750  (-3.671875)
[131] : 65.296875,  65.562500  (0.265625)
[132] : 68.515625,  40.734375  (-27.781250)
[133] : 10.281250,  7.656250  (-2.625000)
[134] : 14.031250,  14.031250  (0.000000)
[135] : 34.953125,  34.953125  (0.000000)
[136] : 34.937500,  28.843750  (-6.093750)
[137] : 59.953125,  59.187500  (-0.765625)
[138] : 56.781250,  54.421875  (-2.359375)
[139] : 47.078125,  42.656250  (-4.421875)
[140] : 8.546875,  8.515625  (-0.031250)
[141] : 18.156250,  16.218750  (-1.937500)
[142] : 42.703125,  42.343750  (-0.359375)
[143] : 74.718750,  74.375000  (-0.343750)
[144] : 88.046875,  87.562500  (-0.484375)
[145] : 76.562500,  76.109375  (-0.453125)
[146] : 32.718750,  32.718750  (0.000000)
[147] : 55.203125,  55.156250  (-0.046875)
[148] : 31.015625,  30.984375  (-0.031250)
[149] : 26.671875,  26.671875  (0.000000)
