
[0] : 130.593750,  137.593750  (7.000000)
[1] : 78.890625,  76.593750  (-2.296875)
[2] : 91.656250,  92.859375  (1.203125)
[3] : 84.343750,  84.343750  (0.000000)
[4] : 90.421875,  90.875000  (0.453125)
[5] : 87.468750,  87.890625  (0.421875)
[6] : 89.671875,  88.500000  (-1.171875)
[7] : 69.875000,  69.875000  (0.000000)
[8] : 67.906250,  67.906250  (0.000000)
[9] : 82.406250,  81.406250  (-1.000000)
[10] : 74.234375,  73.250000  (-0.984375)
[11] : 71.296875,  71.656250  (0.359375)
[12] : 56.406250,  53.546875  (-2.859375)
[13] : 68.250000,  68.250000  (0.000000)
[14] : 64.843750,  64.843750  (0.000000)
[15] : 40.593750,  41.062500  (0.468750)
[16] : 52.750000,  52.750000  (0.000000)
[17] : 41.796875,  38.484375  (-3.312500)
[18] : 68.140625,  68.296875  (0.156250)
[19] : 47.109375,  47.187500  (0.078125)
[20] : 54.859375,  55.437500  (0.578125)
[21] : 57.734375,  55.968750  (-1.765625)
[22] : 55.390625,  77.937500  (22.546875)
[23] : 34.171875,  31.562500  (-2.609375)
[24] : 27.296875,  26.781250  (-0.515625)
[25] : 38.921875,  34.703125  (-4.218750)
[26] : 60.093750,  60.328125  (0.234375)
[27] : 32.015625,  31.750000  (-0.265625)
[28] : 95.203125,  94.656250  (-0.546875)
[29] : 100.453125,  100.453125  (0.000000)
[30] : 42.750000,  45.156250  (2.406250)
[31] : 90.312500,  93.265625  (2.953125)
[32] : 81.671875,  77.625000  (-4.046875)
[33] : 32.000000,  32.000000  (0.000000)
[34] : 30.296875,  30.296875  (0.000000)
[35] : 30.265625,  29.531250  (-0.734375)
[36] : 42.500000,  42.140625  (-0.359375)
[37] : 41.156250,  41.890625  (0.734375)
[38] : 19.875000,  19.875000  (0.000000)
[39] : 9.265625,  8.609375  (-0.656250)
[40] : 10.906250,  10.921875  (0.015625)
[41] : 14.828125,  14.828125  (0.000000)
[42] : 13.390625,  11.500000  (-1.890625)
[43] : 8.500000,  8.500000  (0.000000)
[44] : 10.421875,  10.343750  (-0.078125)
[45] : 16.343750,  16.343750  (0.000000)
[46] : 10.015625,  9.937500  (-0.078125)
[47] : 10.546875,  10.546875  (0.000000)
[48] : 10.593750,  10.390625  (-0.203125)
[49] : 14.968750,  12.093750  (-2.875000)
[50] : 14.828125,  14.828125  (0.000000)
[51] : 9.703125,  9.703125  (0.000000)
[52] : 18.968750,  17.687500  (-1.281250)
[53] : 16.328125,  14.671875  (-1.656250)
[54] : 13.843750,  13.843750  (0.000000)
[55] : 15.359375,  15.359375  (0.000000)
[56] : 26.390625,  26.500000  (0.109375)
[57] : 32.343750,  31.484375  (-0.859375)
[58] : 27.781250,  27.781250  (0.000000)
[59] : 28.234375,  23.156250  (-5.078125)
[60] : 30.531250,  29.890625  (-0.640625)
[61] : 24.546875,  23.328125  (-1.218750)
[62] : 32.859375,  33.671875  (0.812500)
[63] : 18.984375,  18.984375  (0.000000)
[64] : 85.843750,  85.843750  (0.000000)
[65] : 21.593750,  22.062500  (0.468750)
[66] : 26.281250,  25.328125  (-0.953125)
[67] : 25.656250,  24.015625  (-1.640625)
[68] : 25.656250,  24.515625  (-1.140625)
[69] : 37.406250,  36.031250  (-1.375000)
[70] : 34.656250,  30.203125  (-4.453125)
[71] : 32.187500,  32.140625  (-0.046875)
[72] : 14.031250,  14.031250  (0.000000)
[73] : 14.671875,  14.671875  (0.000000)
[74] : 16.453125,  16.203125  (-0.250000)
[75] : 8.921875,  8.921875  (0.000000)
[76] : 7.187500,  5.718750  (-1.468750)
[77] : 11.750000,  11.750000  (0.000000)
[78] : 15.812500,  15.593750  (-0.218750)
[79] : 9.046875,  9.046875  (0.000000)
[80] : 7.062500,  7.062500  (0.000000)
[81] : 10.750000,  10.750000  (0.000000)
[82] : 11.515625,  11.515625  (0.000000)
[83] : 17.953125,  16.828125  (-1.125000)
[84] : 12.250000,  12.250000  (0.000000)
[85] : 10.312500,  7.609375  (-2.703125)
[86] : 7.625000,  7.625000  (0.000000)
[87] : 9.468750,  9.468750  (0.000000)
[88] : 7.796875,  7.796875  (0.000000)
[89] : 8.968750,  8.968750  (0.000000)
[90] : 15.781250,  15.984375  (0.203125)
[91] : 12.500000,  12.640625  (0.140625)
[92] : 20.171875,  20.171875  (0.000000)
[93] : 27.750000,  27.421875  (-0.328125)
[94] : 28.328125,  28.328125  (0.000000)
[95] : 29.140625,  27.234375  (-1.906250)
[96] : 64.187500,  76.828125  (12.640625)
[97] : 38.593750,  38.484375  (-0.109375)
[98] : 38.375000,  38.328125  (-0.046875)
[99] : 37.078125,  37.093750  (0.015625)
[100] : 37.875000,  35.359375  (-2.515625)
[101] : 38.953125,  42.296875  (3.343750)
[102] : 19.140625,  19.484375  (0.343750)
[103] : 20.765625,  19.515625  (-1.250000)
[104] : 41.156250,  41.156250  (0.000000)
[105] : 51.531250,  53.859375  (2.328125)
[106] : 31.671875,  31.515625  (-0.156250)
[107] : 23.093750,  22.968750  (-0.125000)
[108] : 11.031250,  10.906250  (-0.125000)
[109] : 15.031250,  14.734375  (-0.296875)
[110] : 7.656250,  7.343750  (-0.312500)
[111] : 8.578125,  8.500000  (-0.078125)
[112] : 9.671875,  9.328125  (-0.343750)
[113] : 7.656250,  7.656250  (0.000000)
[114] : 7.562500,  7.562500  (0.000000)
[115] : 8.593750,  8.156250  (-0.437500)
[116] : 5.843750,  5.843750  (0.000000)
[117] : 4.281250,  4.281250  (0.000000)
[118] : 4.218750,  4.218750  (0.000000)
[119] : 6.062500,  5.562500  (-0.500000)
[120] : 6.984375,  7.546875  (0.562500)
[121] : 5.312500,  5.265625  (-0.046875)
[122] : 6.437500,  6.437500  (0.000000)
[123] : 12.375000,  12.375000  (0.000000)
[124] : 6.750000,  6.750000  (0.000000)
[125] : 5.656250,  5.218750  (-0.437500)
[126] : 7.671875,  7.671875  (0.000000)
[127] : 10.031250,  10.031250  (0.000000)
[128] : 55.937500,  50.875000  (-5.062500)
[129] : 22.046875,  21.593750  (-0.453125)
[130] : 16.296875,  14.812500  (-1.484375)
[131] : 23.078125,  23.156250  (0.078125)
[132] : 19.578125,  24.546875  (4.968750)
[133] : 6.593750,  5.281250  (-1.312500)
[134] : 8.593750,  8.593750  (0.000000)
[135] : 6.328125,  6.328125  (0.000000)
[136] : 11.281250,  8.843750  (-2.437500)
[137] : 20.750000,  20.515625  (-0.234375)
[138] : 12.828125,  11.687500  (-1.140625)
