   DCT only, opt basis No.6 (MSE)

[0] : 29.046875,  53.734375
[1] : 6.625000,  6.546875
[2] : 8.687500,  9.015625
[3] : 7.765625,  7.765625
[4] : 6.437500,  6.578125
[5] : 7.203125,  7.406250
[6] : 6.625000,  8.015625
[7] : 5.406250,  5.406250
[8] : 7.218750,  7.218750
[9] : 5.671875,  6.078125
[10] : 6.781250,  6.515625
[11] : 5.937500,  6.109375
[12] : 9.125000,  9.109375
[13] : 7.609375,  7.609375
[14] : 8.406250,  8.406250
[15] : 9.203125,  9.296875
[16] : 12.156250,  12.156250
[17] : 13.015625,  12.578125
[18] : 16.625000,  17.218750
[19] : 8.265625,  8.343750
[20] : 12.640625,  14.093750
[21] : 17.859375,  19.093750
[22] : 8.718750,  38.640625
[23] : 10.234375,  10.375000
[24] : 9.734375,  9.812500
[25] : 11.640625,  15.890625
[26] : 12.203125,  12.343750
[27] : 10.203125,  10.125000
[28] : 13.500000,  13.359375
[29] : 17.078125,  17.078125
[30] : 14.078125,  14.859375
[31] : 26.484375,  28.343750
[32] : 14.390625,  20.062500
[33] : 9.375000,  9.375000
[34] : 9.375000,  9.375000
[35] : 8.484375,  8.312500
[36] : 16.015625,  15.781250
[37] : 10.125000,  10.359375
[38] : 6.875000,  6.875000
[39] : 6.046875,  6.765625
[40] : 6.406250,  6.359375
[41] : 5.312500,  5.312500
[42] : 5.046875,  4.906250
[43] : 5.187500,  5.187500
[44] : 5.250000,  5.203125
[45] : 5.640625,  5.640625
[46] : 4.953125,  5.125000
[47] : 5.046875,  5.046875
[48] : 5.093750,  5.015625
[49] : 3.921875,  3.359375
[50] : 6.281250,  6.281250
[51] : 5.718750,  5.718750
[52] : 7.656250,  8.468750
[53] : 6.281250,  6.031250
[54] : 4.937500,  4.937500
[55] : 4.093750,  4.093750
[56] : 8.593750,  8.609375
[57] : 10.156250,  9.734375
[58] : 6.765625,  6.765625
[59] : 8.437500,  7.890625
[60] : 10.359375,  10.406250
[61] : 11.500000,  11.687500
[62] : 8.390625,  8.671875
[63] : 7.296875,  7.296875
[64] : 27.562500,  27.562500
[65] : 7.281250,  7.468750
[66] : 9.140625,  8.906250
[67] : 12.062500,  11.859375
[68] : 9.281250,  9.203125
[69] : 12.031250,  13.281250
[70] : 11.828125,  12.187500
[71] : 11.703125,  11.656250
[72] : 4.828125,  4.828125
[73] : 3.656250,  3.656250
[74] : 4.312500,  4.218750
[75] : 3.375000,  3.375000
[76] : 3.453125,  3.359375
[77] : 3.000000,  3.000000
[78] : 4.750000,  4.625000
[79] : 3.093750,  3.093750
[80] : 4.140625,  4.140625
[81] : 3.125000,  3.125000
[82] : 3.125000,  3.125000
[83] : 3.203125,  3.109375
[84] : 3.546875,  3.546875
[85] : 3.531250,  3.046875
[86] : 3.718750,  3.718750
[87] : 3.296875,  3.296875
[88] : 3.468750,  3.468750
[89] : 4.265625,  4.265625
[90] : 4.500000,  4.546875
[91] : 4.109375,  4.218750
[92] : 6.687500,  6.687500
[93] : 8.562500,  8.515625
[94] : 8.250000,  8.250000
[95] : 11.109375,  10.453125
[96] : 9.093750,  34.609375
[97] : 13.984375,  14.000000
[98] : 12.671875,  12.718750
[99] : 19.062500,  19.546875
[100] : 15.734375,  16.625000
[101] : 9.359375,  16.328125
[102] : 7.109375,  7.015625
[103] : 6.546875,  7.671875
[104] : 10.109375,  10.109375
[105] : 11.765625,  12.500000
[106] : 11.578125,  11.296875
[107] : 6.062500,  6.093750
[108] : 4.328125,  4.328125
[109] : 3.921875,  3.812500
[110] : 4.328125,  4.390625
[111] : 3.296875,  3.281250
[112] : 3.968750,  4.031250
[113] : 2.671875,  2.671875
[114] : 3.062500,  3.062500
[115] : 3.906250,  4.062500
[116] : 2.781250,  2.781250
[117] : 3.281250,  3.281250
[118] : 2.640625,  2.640625
[119] : 2.062500,  2.062500
[120] : 2.890625,  3.078125
[121] : 2.593750,  2.578125
[122] : 3.187500,  3.187500
[123] : 2.937500,  2.937500
[124] : 2.687500,  2.687500
[125] : 3.250000,  3.000000
[126] : 2.406250,  2.406250
[127] : 4.015625,  4.015625
[128] : 11.531250,  12.312500
[129] : 7.656250,  7.546875
[130] : 6.281250,  5.546875
[131] : 7.890625,  7.906250
[132] : 5.812500,  17.968750
[133] : 3.343750,  3.343750
[134] : 2.406250,  2.406250
[135] : 3.125000,  3.125000
[136] : 4.046875,  3.796875
[137] : 3.968750,  3.890625
[138] : 4.921875,  4.875000
[139] : 4.609375,  20.562500
[140] : 3.843750,  3.843750
[141] : 6.515625,  5.984375
[142] : 5.656250,  5.640625
[143] : 10.968750,  13.937500
[144] : 11.218750,  11.328125
[145] : 8.062500,  8.015625
[146] : 4.890625,  4.890625
[147] : 4.203125,  4.250000
[148] : 5.125000,  5.000000
[149] : 5.062500,  5.031250
[150] : 2.468750,  2.468750
[151] : 3.375000,  3.375000
[152] : 2.593750,  2.593750
[153] : 3.437500,  3.562500
[154] : 2.328125,  2.328125
[155] : 2.703125,  2.703125
[156] : 3.171875,  3.171875
[157] : 2.390625,  2.437500
[158] : 2.875000,  2.875000
[159] : 3.125000,  3.125000
[160] : 3.890625,  3.515625
[161] : 3.906250,  3.906250
[162] : 2.906250,  2.906250
[163] : 3.250000,  3.250000
[164] : 3.281250,  3.281250
[165] : 3.859375,  3.859375
[166] : 2.703125,  2.828125
[167] : 3.984375,  4.000000
[168] : 2.781250,  2.750000
[169] : 4.812500,  7.484375
[170] : 4.265625,  4.187500
[171] : 4.062500,  3.937500
[172] : 5.015625,  4.421875
[173] : 4.140625,  4.125000
[174] : 4.109375,  4.109375
[175] : 5.218750,  5.218750
[176] : 5.015625,  4.984375
[177] : 5.265625,  5.218750
[178] : 7.578125,  7.765625
[179] : 8.328125,  9.906250
[180] : 6.265625,  6.265625
[181] : 6.828125,  8.281250
[182] : 3.250000,  5.703125
[183] : 2.562500,  2.562500
[184] : 2.968750,  2.968750
[185] : 3.812500,  3.828125
[186] : 3.296875,  3.296875
[187] : 3.390625,  3.375000
[188] : 2.765625,  2.765625
[189] : 2.687500,  2.687500
[190] : 1.671875,  1.359375
[191] : 2.406250,  2.406250
[192] : 3.984375,  6.375000
[193] : 2.359375,  2.312500
[194] : 3.750000,  3.750000
[195] : 3.093750,  3.140625
[196] : 2.093750,  2.093750
[197] : 3.015625,  2.968750
[198] : 3.187500,  2.796875
[199] : 4.812500,  4.812500
[200] : 4.796875,  4.812500
[201] : 5.062500,  5.093750
[202] : 3.593750,  3.593750
[203] : 3.859375,  3.796875
[204] : 4.265625,  4.234375
[205] : 5.296875,  5.312500
[206] : 3.359375,  4.203125
[207] : 6.453125,  6.421875
[208] : 4.296875,  4.281250
[209] : 8.859375,  8.140625
[210] : 5.890625,  5.265625
[211] : 5.109375,  5.125000
[212] : 6.125000,  6.203125
[213] : 3.750000,  3.750000
[214] : 3.875000,  3.781250
[215] : 3.796875,  3.796875
[216] : 4.062500,  4.031250
[217] : 3.390625,  3.406250
[218] : 3.390625,  3.437500
[219] : 3.921875,  3.640625
[220] : 3.390625,  3.390625
[221] : 3.171875,  3.046875
[222] : 2.437500,  2.453125
[223] : 2.468750,  2.515625
[224] : 6.531250,  11.031250
[225] : 4.218750,  4.171875
[226] : 6.390625,  5.937500
[227] : 5.250000,  5.250000
[228] : 3.875000,  3.875000
[229] : 3.031250,  3.031250
[230] : 4.250000,  4.078125
[231] : 4.593750,  4.562500
[232] : 3.296875,  3.296875
[233] : 5.343750,  4.937500
[234] : 5.203125,  5.203125
[235] : 4.328125,  4.406250
[236] : 5.546875,  5.546875
[237] : 4.515625,  4.437500
[238] : 4.546875,  4.406250
[239] : 3.890625,  3.890625
[240] : 3.859375,  3.859375
[241] : 4.250000,  3.890625
[242] : 3.203125,  3.203125
[243] : 4.359375,  4.343750
[244] : 3.281250,  3.281250
[245] : 4.703125,  4.703125
