
量子化なし

[0] DCT : 167.625000, ICA : 167.625000
[1] DCT : 179.828125, ICA : 179.828125
[2] DCT : 184.125000, ICA : 184.125000
[3] DCT : 186.250000, ICA : 186.250000
[4] DCT : 190.921875, ICA : 190.921875
[5] DCT : 190.968750, ICA : 190.968750
[6] DCT : 191.609375, ICA : 191.609375
[7] DCT : 192.156250, ICA : 192.156250
[8] DCT : 196.000000, ICA : 196.000000
[9] DCT : 194.750000, ICA : 194.750000
[10] DCT : 194.578125, ICA : 194.578125
[11] DCT : 192.515625, ICA : 192.515625
[12] DCT : 191.375000, ICA : 191.375000
[13] DCT : 187.937500, ICA : 187.937500
[14] DCT : 183.531250, ICA : 183.531250
[15] DCT : 179.593750, ICA : 179.593750
[16] DCT : 166.062500, ICA : 166.062500
[17] DCT : 167.109375, ICA : 167.109375
[18] DCT : 172.953125, ICA : 172.953125
[19] DCT : 174.453125, ICA : 174.453125
[20] DCT : 172.296875, ICA : 172.296875
[21] DCT : 161.000000, ICA : 161.000000
[22] DCT : 146.140625, ICA : 146.140625
[23] DCT : 129.921875, ICA : 129.921875
[24] DCT : 123.015625, ICA : 123.015625
[25] DCT : 119.734375, ICA : 119.734375
[26] DCT : 125.531250, ICA : 125.531250
[27] DCT : 123.312500, ICA : 123.312500
[28] DCT : 137.468750, ICA : 137.468750
[29] DCT : 167.093750, ICA : 167.093750
[30] DCT : 170.218750, ICA : 170.218750
[31] DCT : 173.812500, ICA : 173.812500
[32] DCT : 159.468750, ICA : 159.468750
[33] DCT : 179.906250, ICA : 179.906250
[34] DCT : 172.156250, ICA : 172.156250
[35] DCT : 182.796875, ICA : 182.796875
[36] DCT : 175.984375, ICA : 175.984375
[37] DCT : 180.734375, ICA : 180.734375
[38] DCT : 191.187500, ICA : 191.187500
[39] DCT : 198.046875, ICA : 198.046875
[40] DCT : 200.062500, ICA : 200.062500
[41] DCT : 201.453125, ICA : 201.453125
[42] DCT : 204.671875, ICA : 204.671875
[43] DCT : 205.343750, ICA : 205.343750
[44] DCT : 204.703125, ICA : 204.703125
[45] DCT : 203.718750, ICA : 203.718750
[46] DCT : 203.484375, ICA : 203.484375
[47] DCT : 201.578125, ICA : 201.578125
[48] DCT : 201.625000, ICA : 201.625000
[49] DCT : 199.625000, ICA : 199.625000
[50] DCT : 197.515625, ICA : 197.515625
[51] DCT : 194.890625, ICA : 194.890625
[52] DCT : 193.312500, ICA : 193.312500
[53] DCT : 191.859375, ICA : 191.859375
[54] DCT : 192.250000, ICA : 192.250000
[55] DCT : 191.828125, ICA : 191.828125
[56] DCT : 183.265625, ICA : 183.265625
[57] DCT : 166.781250, ICA : 166.781250
[58] DCT : 153.234375, ICA : 153.234375
[59] DCT : 139.812500, ICA : 139.812500
[60] DCT : 127.703125, ICA : 127.703125
[61] DCT : 123.421875, ICA : 123.421875
[62] DCT : 127.796875, ICA : 127.796875
[63] DCT : 127.890625, ICA : 127.890625
[64] DCT : 161.859375, ICA : 161.859375
[65] DCT : 190.937500, ICA : 190.937500
[66] DCT : 177.015625, ICA : 177.015625
[67] DCT : 158.718750, ICA : 158.718750
[68] DCT : 147.062500, ICA : 147.062500
[69] DCT : 169.343750, ICA : 169.343750
[70] DCT : 183.781250, ICA : 183.781250
[71] DCT : 182.062500, ICA : 182.062500
[72] DCT : 194.781250, ICA : 194.781250
[73] DCT : 199.515625, ICA : 199.515625
[74] DCT : 201.984375, ICA : 201.984375
[75] DCT : 203.109375, ICA : 203.109375
[76] DCT : 202.843750, ICA : 202.843750
[77] DCT : 202.781250, ICA : 202.781250
[78] DCT : 203.625000, ICA : 203.625000
[79] DCT : 204.265625, ICA : 204.265625
[80] DCT : 206.812500, ICA : 206.812500
[81] DCT : 207.593750, ICA : 207.593750
[82] DCT : 207.140625, ICA : 207.140625
[83] DCT : 207.953125, ICA : 207.953125
[84] DCT : 209.187500, ICA : 209.187500
[85] DCT : 207.937500, ICA : 207.937500
[86] DCT : 208.562500, ICA : 208.562500
[87] DCT : 207.187500, ICA : 207.187500
[88] DCT : 204.296875, ICA : 204.296875
[89] DCT : 201.156250, ICA : 201.156250
[90] DCT : 201.875000, ICA : 201.875000
[91] DCT : 201.781250, ICA : 201.781250
[92] DCT : 200.171875, ICA : 200.171875
[93] DCT : 192.484375, ICA : 192.484375
[94] DCT : 179.546875, ICA : 179.546875
[95] DCT : 165.265625, ICA : 165.265625
[96] DCT : 177.359375, ICA : 177.359375
