 before :0.247039, after : 0.232604


 [0] : before 0.000244 , after 0.000244  diff = 0.000000

 [1] : before 0.000244 , after 0.000244  diff = 0.000000

 [2] : before 0.000244 , after 0.000244  diff = 0.000000

 [3] : before 0.000244 , after 0.000244  diff = 0.000000

 [4] : before 0.000244 , after 0.000214  diff = 0.000031

 [5] : before 0.000244 , after 0.000214  diff = 0.000031

 [6] : before 0.000244 , after 0.000244  diff = 0.000000

 [7] : before 0.000244 , after 0.000220  diff = 0.000024

 [8] : before 0.000244 , after 0.000220  diff = 0.000024

 [9] : before 0.000244 , after 0.000214  diff = 0.000031

 [10] : before 0.000244 , after 0.000220  diff = 0.000024

 [11] : before 0.000244 , after 0.000220  diff = 0.000024

 [12] : before 0.000244 , after 0.000229  diff = 0.000015

 [13] : before 0.000244 , after 0.000244  diff = 0.000000

 [14] : before 0.000229 , after 0.000229  diff = 0.000000

 [15] : before 0.000244 , after 0.000214  diff = 0.000031

 [16] : before 0.000244 , after 0.000244  diff = 0.000000

 [17] : before 0.000244 , after 0.000229  diff = 0.000015

 [18] : before 0.000244 , after 0.000244  diff = 0.000000

 [19] : before 0.000244 , after 0.000244  diff = 0.000000

 [20] : before 0.000244 , after 0.000244  diff = 0.000000

 [21] : before 0.000244 , after 0.000244  diff = 0.000000

 [22] : before 0.000244 , after 0.000244  diff = 0.000000

 [23] : before 0.000244 , after 0.000244  diff = 0.000000

 [24] : before 0.000244 , after 0.000229  diff = 0.000015

 [25] : before 0.000244 , after 0.000244  diff = 0.000000

 [26] : before 0.000244 , after 0.000244  diff = 0.000000

 [27] : before 0.000244 , after 0.000229  diff = 0.000015

 [28] : before 0.000244 , after 0.000244  diff = 0.000000

 [29] : before 0.000244 , after 0.000229  diff = 0.000015

 [30] : before 0.000244 , after 0.000244  diff = 0.000000

 [31] : before 0.000244 , after 0.000244  diff = 0.000000

 [32] : before 0.000244 , after 0.000214  diff = 0.000031

 [33] : before 0.000244 , after 0.000220  diff = 0.000024

 [34] : before 0.000244 , after 0.000244  diff = 0.000000

 [35] : before 0.000244 , after 0.000244  diff = 0.000000

 [36] : before 0.000244 , after 0.000229  diff = 0.000015

 [37] : before 0.000244 , after 0.000229  diff = 0.000015

 [38] : before 0.000244 , after 0.000229  diff = 0.000015

 [39] : before 0.000244 , after 0.000214  diff = 0.000031

 [40] : before 0.000244 , after 0.000229  diff = 0.000015

 [41] : before 0.000244 , after 0.000244  diff = 0.000000

 [42] : before 0.000244 , after 0.000214  diff = 0.000031

 [43] : before 0.000229 , after 0.000220  diff = 0.000009

 [44] : before 0.000244 , after 0.000214  diff = 0.000031

 [45] : before 0.000229 , after 0.000209  diff = 0.000020

 [46] : before 0.000244 , after 0.000229  diff = 0.000015

 [47] : before 0.000244 , after 0.000214  diff = 0.000031

 [48] : before 0.000220 , after 0.000214  diff = 0.000006

 [49] : before 0.000244 , after 0.000220  diff = 0.000024

 [50] : before 0.000229 , after 0.000229  diff = 0.000000

 [51] : before 0.000244 , after 0.000214  diff = 0.000031

 [52] : before 0.000229 , after 0.000229  diff = 0.000000

