0 : 99 , 6.203125（64個）
1 : 34 , 11.453125
2 : 56 , 13.796875
3 : 44 , 18.953125
4 : 37 , 19.828125
5 : 50 , 20.093750
6 : 39 , 24.781250
7 : 43 , 33.375000
8 : 53 , 40.578125
9 : 51 , 37.578125
10 : 9 , 36.734375
11 : 8 , 36.812500
12 : 21 , 36.375000
13 : 12 , 32.109375
14 : 47 , 32.828125
15 : 15 , 31.656250
16 : 5 , 28.796875
17 : 7 , 28.078125
18 : 59 , 39.390625
19 : 62 , 41.984375
20 : 25 , 41.140625
21 : 27 , 38.703125
22 : 38 , 38.984375
23 : 3 , 39.796875
24 : 6 , 39.890625
25 : 2 , 39.625000
26 : 11 , 39.078125
27 : 60 , 38.625000
28 : 14 , 38.984375
29 : 58 , 38.765625
30 : 41 , 38.750000
31 : 30 , 37.359375
32 : 33 , 36.687500
33 : 1 , 37.156250
34 : 10 , 36.250000
35 : 55 , 37.046875
36 : 23 , 36.281250
37 : 17 , 36.781250
38 : 28 , 37.828125
39 : 13 , 38.125000
40 : 18 , 40.109375
41 : 36 , 41.640625
42 : 35 , 43.703125
43 : 49 , 47.312500
44 : 52 , 47.203125
45 : 54 , 48.203125
46 : 57 , 49.359375
47 : 26 , 50.046875
48 : 29 , 50.812500
49 : 19 , 52.187500
50 : 22 , 53.640625
51 : 16 , 60.750000
52 : 45 , 64.109375
53 : 42 , 68.406250
54 : 61 , 75.781250
55 : 24 , 90.656250
56 : 40 , 98.859375
57 : 63 , 106.875000
58 : 20 , 120.171875
59 : 4 , 138.218750
60 : 32 , 163.328125
61 : 0 , 229.406250
62 : 48 , 276.906250
63 : 31 , 317.125000
64 : 46 , 513.250000(0個)
