
ICA_Basis,0.025295
Q,DCT_ent,PSNR,SSIM,MS-SSIM,Area,,ICA_ent,PSNR,SSIM,MS-SSIM,Area,,Basis
100,5.366053,49.507325,0.998519,,1024,,5.305712,49.507325,0.998519,,0,,99,99,99
90,3.055941,36.988338,0.973808,,1019,,3.010238,36.989067,0.973826,,5,,15,39,62
80,2.330298,33.615789,0.951507,,1009,,2.290480,33.617580,0.951496,,15,,23,39,45
70,1.998932,31.698204,0.930155,,1004,,1.969019,31.702079,0.930196,,20,,24,37,45
60,1.777586,30.315314,0.909780,,999,,1.754252,30.319667,0.909829,,25,,1,11,24
50,1.570299,29.289903,0.890474,,991,,1.539318,29.300128,0.890555,,33,,7,32,41
40,1.355317,28.243827,0.865904,,981,,1.326783,28.264361,0.866061,,43,,2,28,41
30,1.112034,26.912395,0.828565,,953,,1.088728,26.964623,0.829834,,71,,2,28,41
20,0.797950,25.107628,0.755879,,868,,0.797700,25.287882,0.760524,,156,,2,12,41
10,0.413967,22.432924,0.596594,,646,,0.439187,22.611898,0.593889,,378,,99,99,99
