
ICA_Basis,0.033424
Q,DCT_ent,PSNR,SSIM,MS-SSIM,Area,,ICA_ent,PSNR,SSIM,MS-SSIM,Area,,Basis,,,Without basis Entropy
100,4.921002,49.553423,0.996576,,1020,,4.840195,49.558668,0.996576,,4,,1,5,7,,4.834659
90,2.595423,36.294604,0.953583,,988,,2.524599,36.298196,0.953563,,36,,0,14,61,,2.516756
80,1.859920,32.964281,0.922134,,883,,1.800656,32.977477,0.921924,,141,,6,40,61,,1.790649
70,1.528648,31.321749,0.899648,,762,,1.494874,31.359878,0.899260,,262,,6,40,61,,1.482792
60,1.315801,30.238872,0.881128,,713,,1.285625,30.299302,0.881323,,311,,8,15,17,,1.273812
50,1.146893,29.413442,0.866498,,585,,1.124621,29.524129,0.867795,,439,,4,8,15,,1.111345
40,0.991161,28.702841,0.851794,,593,,0.974792,28.817472,0.853928,,431,,4,8,15,,0.962631
30,0.830635,27.797930,0.830045,,592,,0.818259,27.954515,0.833457,,432,,4,8,15,,0.807108
20,0.628018,26.469605,0.792264,,450,,0.632700,26.711154,0.802044,,574,,99,99,99,,0.627206
10,0.392733,24.238781,0.722039,,316,,0.426782,24.742377,0.737382,,708,,99,99,99,,0.422220
