



,,[40]
,[0], 3,8






,[1], 2,8






,[2], 1,5






,[3], 1,5






,[4], 1,5






,[5], 1,5






,[6], 1,5






,[7], 1,6






,[8], 1,5






,[9], 1,5






,[10], 1,5






,[11], 1,5






,[12], 1,5






,[13], 2,5






,[14], 3,5






,[15], 4,5






,[16], 99,99






,[17], 99,99






,[18], 4,4






,[19], 2,3






,[20], 99,99






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 3,5






,[25], 5,5






,[26], 99,99






,[27], 99,99






,[28], 99,99






,[29], 99,99






,[30], 99,99






,[31], 99,99






,[32], 8,8






,[33], 2,3






,[34], 5,6






,[35], 99,99






,[36], 99,99






,[37], 99,99






,[38], 1,2






,[39], 0,0






,[40], 99,99






,[41], 0,0






,[42], 0,0






,[43], 0,0






,[44], 0,0






,[45], 0,0






,[46], 99,99






,[47], 99,99






,[48], 99,99






,[49], 99,99






,[50], 99,99






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 0,1






,[55], 1,1






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 99,99






,[61], 99,99






,[62], 1,1






,[63], 99,99






,[64], 99,99






,[65], 99,99






,[66], 99,99






,[67], 99,99






,[68], 99,99






,[69], 99,99






,[70], 1,2






,[71], 99,99






,[72], 99,99






,[73], 0,0






,[74], 0,0






,[75], 99,99






,[76], 99,99






,[77], 99,99






,[78], 1,1






,[79], 1,1






,[80], 0,0






,[81], 99,99






,[82], 0,0






,[83], 99,99






,[84], 1,1






,[85], 99,99






,[86], 99,99






,[87], 1,1






,[88], 99,99






,[89], 99,99






,[90], 99,99






,[91], 0,0






,[92], 2,2






,[93], 99,99






,[94], 99,99






,[95], 99,99






,[96], 4,7






,[97], 99,99






,[98], 99,99






,[99], 99,99






,[100], 99,99






,[101], 99,99






,[102], 99,99






,[103], 99,99






,[104], 99,99






,[105], 99,99






,[106], 99,99






,[107], 99,99






,[108], 0,0






,[109], 0,0






,[110], 0,1






,[111], 99,99






,[112], 0,0






,[113], 0,0






,[114], 99,99




