



,,[50]
,[0], 0,0






,[1], 99,99






,[2], 99,99






,[3], 99,99






,[4], 99,99






,[5], 99,99






,[6], 5,5






,[7], 99,99






,[8], 10,16






,[9], 99,99






,[10], 99,99






,[11], 99,99






,[12], 4,13






,[13], 99,99






,[14], 6,13






,[15], 10,14






,[16], 99,99






,[17], 99,99






,[18], 99,99






,[19], 99,99






,[20], 99,99






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 99,99






,[25], 99,99






,[26], 99,99






,[27], 99,99






,[28], 99,99






,[29], 99,99






,[30], 99,99






,[31], 9,12






,[32], 0,0






,[33], 99,99






,[34], 5,9






,[35], 99,99






,[36], 99,99






,[37], 7,10






,[38], 10,12






,[39], 99,99






,[40], 99,99






,[41], 99,99






,[42], 99,99






,[43], 99,99






,[44], 99,99






,[45], 5,15






,[46], 99,99






,[47], 99,99






,[48], 8,17






,[49], 99,99






,[50], 10,12






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 99,99






,[55], 99,99






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 99,99






,[61], 99,99






,[62], 9,12






,[63], 99,99






,[64], 0,0






,[65], 99,99






,[66], 99,99






,[67], 99,99






,[68], 99,99






,[69], 99,99






,[70], 9,9






,[71], 99,99






,[72], 99,99






,[73], 99,99






,[74], 99,99






,[75], 99,99






,[76], 99,99






