



,,[40]
,[0], 8,13






,[1], 4,14






,[2], 4,13






,[3], 1,16






,[4], 4,12






,[5], 2,17






,[6], 6,12






,[7], 5,12






,[8], 3,11






,[9], 4,13






,[10], 6,17






,[11], 2,11






,[12], 8,17






,[13], 6,13






,[14], 3,10






,[15], 7,12






,[16], 5,12






,[17], 8,15






,[18], 9,16






,[19], 3,13






,[20], 3,9






,[21], 4,9






,[22], 4,12






,[23], 10,14






,[24], 7,10






,[25], 2,15






,[26], 7,15






,[27], 6,11






,[28], 4,14






,[29], 3,10






,[30], 5,12






,[31], 6,15






,[32], 3,13






,[33], 5,15






,[34], 5,12






,[35], 5,8






,[36], 2,13






,[37], 7,17






,[38], 5,12






,[39], 8,15






,[40], 99,99






,[41], 7,9






,[42], 7,11






,[43], 7,13






,[44], 7,10






,[45], 9,12






,[46], 99,99






,[47], 9,14






,[48], 99,99






,[49], 99,99






,[50], 15,15






,[51], 10,16






,[52], 8,10






,[53], 99,99






,[54], 9,10






,[55], 7,7






,[56], 9,12






,[57], 12,14






,[58], 3,12






,[59], 7,16






,[60], 6,16






,[61], 9,10






,[62], 99,99






,[63], 5,10






,[64], 5,13






,[65], 3,16






,[66], 5,14






,[67], 3,11






,[68], 9,15






,[69], 5,12






,[70], 7,14






,[71], 6,9






,[72], 4,6






,[73], 4,6






,[74], 99,99






,[75], 99,99






,[76], 1,2






,[77], 99,99






,[78], 7,14






,[79], 99,99






,[80], 10,13






,[81], 99,99






,[82], 99,99






,[83], 99,99






,[84], 99,99






,[85], 99,99






,[86], 7,10






,[87], 2,4






,[88], 7,7






,[89], 99,99






,[90], 7,10






,[91], 8,12






,[92], 4,7






,[93], 8,15






,[94], 3,11






,[95], 9,12






,[96], 5,15






,[97], 4,12






,[98], 3,12






,[99], 11,16






,[100], 7,11






,[101], 7,11






,[102], 3,11






,[103], 4,10






,[104], 3,8






,[105], 99,99






,[106], 99,99






,[107], 6,13






,[108], 9,15






,[109], 99,99






,[110], 99,99






,[111], 99,99






,[112], 6,12






,[113], 99,99






,[114], 99,99






,[115], 99,99






,[116], 10,20






,[117], 99,99






,[118], 99,99






,[119], 99,99






,[120], 99,99






,[121], 6,10






,[122], 9,10






,[123], 5,13






,[124], 10,12






,[125], 10,12






,[126], 10,16






,[127], 5,18






,[128], 2,12






,[129], 4,16






,[130], 7,13






,[131], 99,99






,[132], 7,16






,[133], 6,9






,[134], 7,13






,[135], 4,9






,[136], 11,11






,[137], 4,16






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 10,13






,[142], 99,99






,[143], 8,9






,[144], 9,9






,[145], 99,99






,[146], 3,19






,[147], 99,99






,[148], 99,99






,[149], 6,13






,[150], 5,17






,[151], 9,10






,[152], 3,10






,[153], 2,10






,[154], 99,99






,[155], 6,10






,[156], 6,8






,[157], 8,10






,[158], 6,18






,[159], 4,12






,[160], 5,15






,[161], 4,10






,[162], 8,16






,[163], 99,99






,[164], 7,12






,[165], 10,12






,[166], 2,8






,[167], 2,9






,[168], 8,9






,[169], 9,16






,[170], 9,11






,[171], 99,99






,[172], 10,13






,[173], 6,17






,[174], 99,99






,[175], 10,15






,[176], 4,8






,[177], 6,11






,[178], 8,13






,[179], 4,11






,[180], 12,18






,[181], 9,14






,[182], 11,13






,[183], 7,13






,[184], 4,14






,[185], 4,10






,[186], 4,14






,[187], 99,99






,[188], 10,11






,[189], 11,11






,[190], 5,14






,[191], 4,10






,[192], 4,13






,[193], 6,13






,[194], 6,10






,[195], 9,10






,[196], 99,99






,[197], 6,11






,[198], 10,12






,[199], 2,5






,[200], 6,7






,[201], 99,99






,[202], 9,9






,[203], 99,99






,[204], 99,99






,[205], 99,99






,[206], 9,12






,[207], 99,99






,[208], 5,9






,[209], 99,99






,[210], 9,13






,[211], 99,99






,[212], 99,99






,[213], 99,99






,[214], 8,9






,[215], 4,6






,[216], 8,13






,[217], 10,11






,[218], 5,8






,[219], 10,10






,[220], 7,8






,[221], 8,11






,[222], 99,99






,[223], 7,14






,[224], 7,15






,[225], 6,12






,[226], 6,14






,[227], 7,13






,[228], 8,14






,[229], 7,13






,[230], 6,13






,[231], 7,9






,[232], 5,11






,[233], 99,99






,[234], 99,99






,[235], 99,99






,[236], 99,99






,[237], 99,99






,[238], 99,99






,[239], 99,99






,[240], 99,99






,[241], 99,99






,[242], 99,99






,[243], 5,6






,[244], 99,99






,[245], 99,99






,[246], 10,10






,[247], 6,12






,[248], 7,14






,[249], 7,11






,[250], 6,13






,[251], 9,10






,[252], 99,99






,[253], 6,9






,[254], 12,14






,[255], 8,15






,[256], 99,99






,[257], 6,10






,[258], 7,13






,[259], 8,13






,[260], 11,13






,[261], 4,11






,[262], 8,14






,[263], 10,10






,[264], 99,99






,[265], 99,99






,[266], 99,99






,[267], 99,99






,[268], 99,99






