



,,[80]
,[0], 99,99






,[1], 99,99






,[2], 99,99






,[3], 99,99






,[4], 99,99






,[5], 99,99






,[6], 99,99






,[7], 99,99






,[8], 99,99






,[9], 99,99






,[10], 99,99






,[11], 99,99






,[12], 99,99






,[13], 99,99






,[14], 99,99






,[15], 7,9






,[16], 99,99






,[17], 99,99






,[18], 99,99






,[19], 99,99






,[20], 99,99






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 99,99






,[25], 99,99






,[26], 99,99






,[27], 99,99






,[28], 99,99






,[29], 99,99






,[30], 99,99






,[31], 99,99






,[32], 99,99






,[33], 99,99






,[34], 99,99






,[35], 99,99






,[36], 99,99






,[37], 99,99






,[38], 99,99






,[39], 2,2






,[40], 99,99






,[41], 2,3






,[42], 3,4






,[43], 2,2






,[44], 1,4






,[45], 1,1






,[46], 99,99






,[47], 99,99






,[48], 99,99






,[49], 99,99






,[50], 99,99






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 99,99






,[55], 99,99






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 99,99






,[61], 99,99






,[62], 99,99






,[63], 99,99






,[64], 99,99






,[65], 99,99






,[66], 99,99






,[67], 99,99






,[68], 99,99






,[69], 99,99






,[70], 6,9






,[71], 99,99






,[72], 99,99






,[73], 99,99






,[74], 2,2






,[75], 2,2






,[76], 99,99






,[77], 99,99






,[78], 99,99






,[79], 99,99






,[80], 1,2






,[81], 4,5






,[82], 1,1






,[83], 2,4






,[84], 99,99






,[85], 99,99






,[86], 99,99






,[87], 99,99






,[88], 99,99






,[89], 99,99






,[90], 99,99






,[91], 2,5






,[92], 4,7






,[93], 99,99






,[94], 99,99






,[95], 99,99






,[96], 99,99






,[97], 99,99






,[98], 99,99






,[99], 99,99






,[100], 99,99






,[101], 99,99






,[102], 99,99






,[103], 99,99






,[104], 99,99






,[105], 99,99






,[106], 99,99






,[107], 99,99






,[108], 99,99






,[109], 99,99






,[110], 99,99






,[111], 99,99






,[112], 99,99






,[113], 3,3






,[114], 3,4






,[115], 99,99






,[116], 99,99






,[117], 99,99






,[118], 2,3






,[119], 99,99






,[120], 99,99






,[121], 0,0






,[122], 1,1






,[123], 99,99






,[124], 3,3






,[125], 99,99






,[126], 99,99






,[127], 99,99






,[128], 99,99






,[129], 99,99






,[130], 99,99






,[131], 99,99






,[132], 99,99






,[133], 2,2






,[134], 99,99






,[135], 0,0






,[136], 99,99






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 1,3






,[142], 99,99






,[143], 99,99






,[144], 99,99






,[145], 99,99






,[146], 99,99






,[147], 99,99






,[148], 99,99






,[149], 2,5






,[150], 2,3






,[151], 4,4






,[152], 99,99






,[153], 99,99






,[154], 99,99






,[155], 99,99






,[156], 99,99






,[157], 99,99






,[158], 99,99






,[159], 99,99






,[160], 99,99






,[161], 1,1






,[162], 2,2






,[163], 2,2






,[164], 2,4






,[165], 99,99






,[166], 99,99






,[167], 99,99






,[168], 99,99






,[169], 0,0






,[170], 99,99






,[171], 99,99






,[172], 99,99






,[173], 99,99






,[174], 99,99






,[175], 99,99






,[176], 99,99






,[177], 99,99






,[178], 99,99






,[179], 99,99






,[180], 99,99






,[181], 3,4






,[182], 4,4






,[183], 99,99






,[184], 99,99






,[185], 99,99






,[186], 99,99






,[187], 99,99






,[188], 99,99






,[189], 99,99






,[190], 99,99






,[191], 1,1






,[192], 99,99






,[193], 99,99






,[194], 99,99






,[195], 99,99






,[196], 99,99






,[197], 2,3






,[198], 99,99






,[199], 2,3






,[200], 99,99






,[201], 5,5






,[202], 3,4






,[203], 99,99






,[204], 99,99






,[205], 99,99






,[206], 99,99






,[207], 99,99






,[208], 99,99






,[209], 99,99






,[210], 99,99






,[211], 99,99






,[212], 99,99






