



,,[30]
,[0], 2,10






,[1], 7,12






,[2], 1,10






,[3], 5,14






,[4], 2,10






,[5], 4,12






,[6], 4,10






,[7], 5,9






,[8], 4,9






,[9], 4,12






,[10], 3,11






,[11], 4,11






,[12], 7,11






,[13], 6,11






,[14], 2,8






,[15], 3,7






,[16], 2,8






,[17], 5,11






,[18], 7,16






,[19], 6,10






,[20], 3,7






,[21], 5,6






,[22], 2,10






,[23], 6,11






,[24], 3,7






,[25], 2,11






,[26], 7,13






,[27], 2,6






,[28], 3,11






,[29], 3,9






,[30], 3,9






,[31], 3,12






,[32], 2,7






,[33], 2,9






,[34], 4,9






,[35], 3,7






,[36], 3,11






,[37], 6,15






,[38], 6,10






,[39], 7,10






,[40], 99,99






,[41], 4,8






,[42], 6,10






,[43], 5,10






,[44], 4,6






,[45], 7,9






,[46], 99,99






,[47], 7,12






,[48], 99,99






,[49], 99,99






,[50], 6,11






,[51], 5,12






,[52], 7,8






,[53], 99,99






,[54], 6,7






,[55], 99,99






,[56], 3,8






,[57], 8,12






,[58], 3,10






,[59], 7,14






,[60], 7,11






,[61], 7,7






,[62], 99,99






,[63], 3,7






,[64], 3,10






,[65], 4,15






,[66], 5,11






,[67], 6,9






,[68], 7,13






,[69], 3,9






,[70], 7,11






,[71], 3,6






,[72], 3,4






,[73], 99,99






,[74], 99,99






,[75], 3,4






,[76], 0,1






,[77], 99,99






,[78], 7,10






,[79], 99,99






,[80], 6,9






,[81], 99,99






,[82], 99,99






,[83], 99,99






,[84], 99,99






,[85], 99,99






,[86], 3,8






,[87], 0,0






,[88], 2,4






,[89], 99,99






,[90], 99,99






,[91], 5,8






,[92], 3,6






,[93], 6,10






,[94], 3,6






,[95], 6,10






,[96], 3,10






,[97], 5,12






,[98], 4,11






,[99], 5,11






,[100], 4,7






,[101], 6,10






,[102], 3,10






,[103], 3,7






,[104], 2,5






,[105], 8,10






,[106], 99,99






,[107], 6,10






,[108], 5,14






,[109], 10,10






,[110], 99,99






,[111], 4,6






,[112], 6,6






,[113], 7,7






,[114], 99,99






,[115], 99,99






,[116], 11,17






,[117], 99,99






,[118], 7,12






,[119], 99,99






,[120], 99,99






,[121], 5,7






,[122], 3,7






,[123], 4,10






,[124], 8,10






,[125], 5,10






,[126], 6,10






,[127], 3,14






,[128], 2,7






,[129], 3,12






,[130], 4,12






,[131], 99,99






,[132], 3,11






,[133], 4,6






,[134], 4,9






,[135], 6,8






,[136], 99,99






,[137], 6,12






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 5,11






,[142], 99,99






,[143], 99,99






,[144], 3,4






,[145], 99,99






,[146], 3,14






,[147], 99,99






,[148], 99,99






,[149], 3,9






,[150], 6,14






,[151], 99,99






,[152], 4,6






,[153], 1,7






,[154], 5,7






,[155], 99,99






,[156], 5,7






,[157], 5,7






,[158], 7,16






,[159], 6,10






,[160], 5,13






,[161], 4,9






,[162], 6,13






,[163], 8,9






,[164], 8,9






,[165], 3,6






,[166], 2,5






,[167], 3,5






,[168], 6,7






,[169], 2,11






,[170], 6,6






,[171], 99,99






,[172], 7,12






,[173], 4,14






,[174], 10,11






,[175], 10,14






,[176], 3,5






,[177], 8,8






,[178], 8,12






,[179], 2,6






,[180], 6,14






,[181], 99,99






,[182], 99,99






,[183], 5,10






,[184], 3,12






,[185], 5,7






,[186], 6,11






,[187], 99,99






,[188], 99,99






,[189], 4,5






,[190], 6,12






,[191], 4,10






,[192], 5,13






,[193], 6,10






,[194], 4,9






,[195], 7,9






,[196], 99,99






,[197], 6,8






,[198], 6,11






,[199], 2,4






,[200], 4,6






,[201], 99,99






,[202], 8,8






,[203], 99,99






,[204], 9,10






,[205], 99,99






,[206], 7,7






,[207], 99,99






,[208], 4,6






,[209], 99,99






,[210], 7,12






,[211], 99,99






,[212], 99,99






,[213], 99,99






,[214], 7,9






,[215], 3,4






,[216], 6,8






,[217], 4,7






,[218], 4,6






,[219], 99,99






,[220], 99,99






,[221], 4,7






,[222], 5,9






,[223], 4,8






,[224], 6,11






,[225], 3,9






,[226], 4,11






,[227], 4,9






,[228], 12,12






,[229], 5,13






,[230], 4,10






,[231], 4,6






,[232], 5,8






,[233], 99,99






,[234], 99,99






,[235], 99,99






,[236], 99,99






,[237], 99,99






,[238], 99,99






,[239], 99,99






,[240], 99,99






,[241], 99,99






,[242], 99,99






,[243], 99,99






,[244], 99,99






,[245], 99,99






,[246], 99,99






,[247], 3,7






,[248], 4,9






,[249], 3,6






,[250], 4,10






,[251], 9,9






,[252], 8,8






,[253], 99,99






,[254], 4,11






,[255], 4,12






,[256], 99,99






,[257], 4,7






,[258], 3,9






,[259], 4,9






,[260], 99,99






,[261], 3,9






,[262], 8,11






,[263], 7,8






,[264], 8,8






,[265], 99,99






,[266], 99,99






,[267], 99,99






,[268], 99,99






,[269], 99,99






,[270], 99,99






,[271], 99,99






,[272], 99,99






,[273], 99,99






,[274], 99,99






,[275], 99,99






,[276], 99,99






,[277], 99,99






,[278], 99,99






,[279], 4,5






,[280], 7,8






,[281], 8,8






,[282], 99,99






,[283], 2,3






,[284], 2,4






,[285], 3,5






,[286], 4,10






,[287], 99,99






,[288], 5,9






,[289], 4,9






,[290], 9,12






,[291], 7,9






,[292], 7,10






,[293], 5,9






,[294], 3,6






,[295], 4,6






,[296], 99,99






,[297], 99,99






,[298], 6,6






,[299], 0,0






,[300], 99,99






,[301], 99,99






,[302], 99,99






,[303], 99,99






,[304], 0,1






,[305], 99,99






,[306], 99,99






,[307], 99,99






,[308], 1,1






,[309], 99,99






,[310], 99,99






,[311], 99,99






,[312], 8,8






,[313], 2,6






,[314], 7,9






,[315], 2,3






,[316], 2,6






,[317], 4,9






,[318], 4,11






,[319], 6,11
