



,,[90]
,[0], 30,48






,[1], 99,99






,[2], 99,99






,[3], 30,46






,[4], 25,45






,[5], 23,50






,[6], 34,46






,[7], 99,99






,[8], 25,42






,[9], 21,39






,[10], 34,41






,[11], 38,41






,[12], 26,43






,[13], 99,99






,[14], 30,44






,[15], 99,99






,[16], 99,99






,[17], 28,40






,[18], 99,99






,[19], 39,44






,[20], 99,99






,[21], 99,99






,[22], 29,43






,[23], 29,37






,[24], 99,99






,[25], 37,49






,[26], 99,99






,[27], 35,41






,[28], 99,99






,[29], 99,99






,[30], 99,99






,[31], 32,43






,[32], 39,45






,[33], 32,47






,[34], 40,40






,[35], 99,99






,[36], 34,44






,[37], 99,99






,[38], 23,47






,[39], 99,99






,[40], 99,99






,[41], 99,99






,[42], 36,37






,[43], 25,39






,[44], 99,99






,[45], 99,99






,[46], 99,99






,[47], 27,36






,[48], 99,99






,[49], 99,99






,[50], 27,33






,[51], 31,38






,[52], 99,99






,[53], 99,99






,[54], 24,33






,[55], 99,99






,[56], 99,99






,[57], 99,99






,[58], 39,44






,[59], 30,36






,[60], 29,35






,[61], 24,32






,[62], 99,99






,[63], 37,38






,[64], 99,99






,[65], 32,39






,[66], 29,40






,[67], 29,43






,[68], 29,35






,[69], 25,39






,[70], 30,40






,[71], 22,32






,[72], 19,24






,[73], 22,27






,[74], 99,99






,[75], 99,99






,[76], 99,99






,[77], 99,99






,[78], 25,33






,[79], 99,99






,[80], 22,32






,[81], 99,99






,[82], 99,99






,[83], 99,99






,[84], 99,99






,[85], 99,99






,[86], 20,29






,[87], 99,99






,[88], 99,99






,[89], 99,99






,[90], 99,99






,[91], 26,33






,[92], 33,37






,[93], 27,33






,[94], 25,35






,[95], 29,34






,[96], 29,43






,[97], 29,39






,[98], 99,99






,[99], 99,99






,[100], 23,33






,[101], 27,31






,[102], 36,37






,[103], 99,99






,[104], 21,32






,[105], 99,99






,[106], 99,99






,[107], 34,38






,[108], 99,99






,[109], 99,99






,[110], 99,99






,[111], 99,99






,[112], 99,99






,[113], 99,99






,[114], 99,99






,[115], 99,99






,[116], 99,99






,[117], 99,99






,[118], 99,99






,[119], 99,99






,[120], 26,26






,[121], 28,39






,[122], 31,40






,[123], 32,34






,[124], 30,33






,[125], 99,99






,[126], 32,35






,[127], 23,34






,[128], 99,99






,[129], 35,43






,[130], 99,99






,[131], 27,33






,[132], 29,40






,[133], 30,40






,[134], 26,39






,[135], 34,34






,[136], 99,99






,[137], 30,38






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 99,99






,[142], 99,99






,[143], 25,27






,[144], 29,29






,[145], 27,33






,[146], 36,44






,[147], 99,99






,[148], 99,99






,[149], 31,32






,[150], 34,45






,[151], 99,99






,[152], 99,99






,[153], 26,43






,[154], 99,99






,[155], 29,30






,[156], 18,27






,[157], 29,30






,[158], 31,39






,[159], 31,34






,[160], 28,43






,[161], 33,40






,[162], 34,34






,[163], 27,29






,[164], 99,99






,[165], 99,99






,[166], 31,40






,[167], 99,99






,[168], 99,99






,[169], 18,37






,[170], 99,99






,[171], 99,99






,[172], 23,38






,[173], 30,41






,[174], 99,99






,[175], 99,99






,[176], 26,32






,[177], 99,99






,[178], 28,36






,[179], 27,42






,[180], 28,35






,[181], 31,33






,[182], 31,34






,[183], 31,34






,[184], 99,99






,[185], 28,40






,[186], 33,34






,[187], 99,99






,[188], 23,28






,[189], 99,99






,[190], 32,36






,[191], 28,30






,[192], 99,99






,[193], 99,99






,[194], 99,99






,[195], 99,99






,[196], 99,99






,[197], 28,29






,[198], 27,34






,[199], 99,99






,[200], 34,34






,[201], 99,99






,[202], 30,33






,[203], 99,99






,[204], 99,99






,[205], 99,99






,[206], 17,33






,[207], 99,99






,[208], 20,33






,[209], 99,99






,[210], 99,99






,[211], 99,99






,[212], 99,99






,[213], 99,99






,[214], 28,28






,[215], 20,32






,[216], 24,36






,[217], 25,32






,[218], 99,99






,[219], 99,99






,[220], 99,99






,[221], 99,99






,[222], 99,99






,[223], 24,34






,[224], 32,39






,[225], 31,39






,[226], 99,99






,[227], 27,34






,[228], 33,36






,[229], 42,42






,[230], 24,38






,[231], 99,99






,[232], 99,99






,[233], 99,99






,[234], 99,99






,[235], 99,99






,[236], 99,99






,[237], 99,99






,[238], 99,99






,[239], 99,99






,[240], 99,99






,[241], 99,99






,[242], 99,99






,[243], 99,99






,[244], 99,99






,[245], 99,99






,[246], 99,99






,[247], 30,35






,[248], 99,99






,[249], 99,99






,[250], 28,28






,[251], 23,27






,[252], 99,99






,[253], 99,99






,[254], 32,35






,[255], 26,35






,[256], 99,99






,[257], 26,36






,[258], 26,29






,[259], 99,99






,[260], 99,99






,[261], 22,34






,[262], 25,35






,[263], 99,99






,[264], 99,99






,[265], 99,99






,[266], 99,99






,[267], 99,99






,[268], 99,99






,[269], 99,99






,[270], 25,27






,[271], 99,99






,[272], 99,99






,[273], 99,99






,[274], 99,99






,[275], 99,99






,[276], 99,99






,[277], 99,99






,[278], 99,99






,[279], 29,30






,[280], 99,99






,[281], 99,99






,[282], 99,99






,[283], 99,99






,[284], 24,30






,[285], 26,29






,[286], 36,37






,[287], 26,33






,[288], 39,42






,[289], 25,34






,[290], 28,29






,[291], 26,35






,[292], 99,99






,[293], 37,37






,[294], 99,99






,[295], 27,28






,[296], 99,99






,[297], 99,99






,[298], 99,99






,[299], 99,99






,[300], 99,99






,[301], 99,99






,[302], 99,99






,[303], 99,99






,[304], 99,99






,[305], 99,99






,[306], 99,99






,[307], 99,99






,[308], 99,99






,[309], 99,99






,[310], 99,99






,[311], 31,35






,[312], 25,27






,[313], 29,30






,[314], 28,31






,[315], 20,27






,[316], 99,99






,[317], 99,99






,[318], 30,31






,[319], 29,45






,[320], 99,99






,[321], 99,99






,[322], 25,36






,[323], 99,99






,[324], 34,36






,[325], 27,34






,[326], 99,99






,[327], 99,99






,[328], 99,99






,[329], 99,99






,[330], 99,99






,[331], 99,99






,[332], 99,99






,[333], 99,99






,[334], 99,99






,[335], 99,99






,[336], 99,99






,[337], 99,99






,[338], 99,99






,[339], 99,99






,[340], 99,99






,[341], 99,99






,[342], 99,99






,[343], 99,99






,[344], 99,99






,[345], 31,31






,[346], 29,34






,[347], 99,99






,[348], 99,99






,[349], 27,27






,[350], 22,33






,[351], 27,29






,[352], 99,99






,[353], 99,99






,[354], 31,36






,[355], 99,99






,[356], 99,99






,[357], 28,35






,[358], 99,99






,[359], 99,99






,[360], 99,99






,[361], 99,99






,[362], 99,99






,[363], 99,99






,[364], 99,99






,[365], 99,99






,[366], 99,99






,[367], 99,99






,[368], 99,99






,[369], 99,99






,[370], 99,99






,[371], 99,99






,[372], 99,99






,[373], 99,99






,[374], 99,99






,[375], 99,99






,[376], 22,30






,[377], 25,29






,[378], 31,33






,[379], 20,26






,[380], 28,29






,[381], 99,99






,[382], 28,31






,[383], 31,31






,[384], 99,99






,[385], 22,32






,[386], 30,34






,[387], 99,99






,[388], 33,37






,[389], 99,99






,[390], 19,36






,[391], 99,99






,[392], 99,99






,[393], 99,99






,[394], 99,99






,[395], 99,99






,[396], 99,99






,[397], 99,99






,[398], 99,99






,[399], 99,99






,[400], 99,99




