
ICA_Basis,0.022365
Q,DCT_ent,PSNR,SSIM,MS-SSIM,Area,,ICA_ent,PSNR,SSIM,MS-SSIM,Area,,Basis
100,5.087125,49.541853,0.997201,,1022,,5.003705,49.542770,0.997191,,2,,0,1,2
90,2.735768,36.362422,0.960730,,1002,,2.660508,36.372662,0.960632,,22,,4,26,51
80,2.004206,33.254558,0.936085,,959,,1.936227,33.282928,0.936146,,65,,4,6,31
70,1.665324,31.645450,0.915522,,899,,1.617908,31.704520,0.916507,,125,,4,6,31
60,1.457184,30.542891,0.895725,,845,,1.421635,30.656502,0.899059,,179,,4,6,31
50,1.294346,29.852876,0.883796,,752,,1.272475,29.997798,0.886734,,272,,4,6,31
40,1.122351,29.085376,0.867597,,742,,1.101385,29.229099,0.871043,,282,,4,6,31
30,0.953424,28.262196,0.847328,,698,,0.946194,28.436703,0.851965,,326,,4,6,31
20,0.716570,26.851300,0.808967,,599,,0.715859,27.051577,0.809376,,425,,99,99,99
10,0.426132,24.315009,0.727237,,462,,0.450247,24.779391,0.734849,,562,,99,99,99
