



,,[10]
,[0], 0,0






,[1], 0,0






,[2], 99,99






,[3], 0,0






,[4], 99,99






,[5], 0,1






,[6], 1,1






,[7], 2,2






,[8], 99,99






,[9], 1,3






,[10], 99,99






,[11], 99,99






,[12], 1,2






,[13], 1,1






,[14], 2,2






,[15], 99,99






,[16], 99,99






,[17], 1,2






,[18], 1,1






,[19], 1,1






,[20], 99,99






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 99,99






,[25], 99,99






,[26], 1,1






,[27], 1,1






,[28], 1,1






,[29], 0,0






,[30], 1,2






,[31], 99,99






,[32], 0,0






,[33], 99,99






,[34], 99,99






,[35], 0,0






,[36], 99,99






,[37], 0,0






,[38], 1,1






,[39], 99,99






,[40], 99,99






,[41], 99,99






,[42], 2,3






,[43], 99,99






,[44], 1,1






,[45], 99,99






,[46], 99,99






,[47], 99,99






,[48], 1,5






,[49], 3,3






,[50], 1,2






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 99,99






,[55], 99,99






,[56], 3,3






,[57], 1,1






,[58], 1,1






,[59], 99,99






,[60], 0,0






,[61], 0,1






,[62], 1,2






,[63], 0,0






,[64], 0,0






,[65], 99,99






,[66], 99,99






,[67], 0,0






,[68], 99,99






,[69], 0,0






,[70], 2,2






,[71], 2,2






,[72], 99,99






,[73], 0,0






,[74], 1,1






,[75], 99,99






,[76], 2,5






