



,,[50]
,[0], 6,10






,[1], 2,8






,[2], 1,5






,[3], 1,5






,[4], 1,6






,[5], 1,5






,[6], 1,5






,[7], 1,6






,[8], 1,5






,[9], 1,5






,[10], 1,5






,[11], 1,5






,[12], 2,5






,[13], 2,5






,[14], 3,5






,[15], 4,7






,[16], 99,99






,[17], 99,99






,[18], 3,5






,[19], 2,4






,[20], 5,7






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 5,7






,[25], 6,6






,[26], 99,99






,[27], 4,6






,[28], 99,99






,[29], 99,99






,[30], 99,99






,[31], 99,99






,[32], 8,9






,[33], 4,4






,[34], 5,7






,[35], 99,99






,[36], 99,99






,[37], 99,99






,[38], 2,3






,[39], 0,0






,[40], 1,1






,[41], 0,0






,[42], 0,0






,[43], 0,1






,[44], 1,1






,[45], 0,0






,[46], 99,99






,[47], 99,99






,[48], 99,99






,[49], 99,99






,[50], 99,99






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 2,2






,[55], 99,99






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 99,99






,[61], 3,3






,[62], 1,2






,[63], 1,1






,[64], 99,99






,[65], 99,99






,[66], 99,99






,[67], 99,99






,[68], 99,99






,[69], 99,99






,[70], 2,3






,[71], 99,99






,[72], 99,99






,[73], 0,0






,[74], 0,0






,[75], 1,1






,[76], 99,99






,[77], 1,1






,[78], 1,1






,[79], 99,99






,[80], 1,1






,[81], 0,1






,[82], 0,0






,[83], 0,0






,[84], 1,1






,[85], 99,99






,[86], 99,99






,[87], 99,99






,[88], 99,99






,[89], 99,99






,[90], 2,2






,[91], 1,2






,[92], 2,2






,[93], 99,99






,[94], 99,99






,[95], 99,99
