



,,[60]
,[0], 9,19






,[1], 18,20






,[2], 7,18






,[3], 6,20






,[4], 5,19






,[5], 8,20






,[6], 6,17






,[7], 15,18






,[8], 6,18






,[9], 8,17






,[10], 10,19






,[11], 5,18






,[12], 11,20






,[13], 11,16






,[14], 7,16






,[15], 8,19






,[16], 7,19






,[17], 10,20






,[18], 14,20






,[19], 14,20






,[20], 8,14






,[21], 6,14






,[22], 9,21






,[23], 8,18






,[24], 12,15






,[25], 99,99






,[26], 5,17






,[27], 7,15






,[28], 4,19






,[29], 7,16






,[30], 6,17






,[31], 6,20






,[32], 6,18






,[33], 3,21






,[34], 11,13






,[35], 3,11






,[36], 10,16






,[37], 11,20






,[38], 3,16






,[39], 12,18






,[40], 99,99






,[41], 16,18






,[42], 10,17






,[43], 13,17






,[44], 15,15






,[45], 12,15






,[46], 8,13






,[47], 13,17






,[48], 99,99






,[49], 99,99






,[50], 13,17






,[51], 10,18






,[52], 10,14






,[53], 99,99






,[54], 9,17






,[55], 9,11






,[56], 8,15






,[57], 10,19






,[58], 12,17






,[59], 12,19






,[60], 7,20






,[61], 9,16






,[62], 99,99






,[63], 12,17






,[64], 4,16






,[65], 13,22






,[66], 10,19






,[67], 6,17






,[68], 14,18






,[69], 9,22






,[70], 8,18






,[71], 6,13






,[72], 4,9






,[73], 6,10






,[74], 99,99






,[75], 99,99






,[76], 99,99






,[77], 13,14


