



,,[50]
,[0], 9,10






,[1], 3,8






,[2], 1,5






,[3], 2,5






,[4], 2,6






,[5], 2,5






,[6], 2,5






,[7], 2,6






,[8], 1,5






,[9], 2,5






,[10], 1,5






,[11], 1,5






,[12], 1,5






,[13], 1,5






,[14], 2,5






,[15], 3,7






,[16], 99,99






,[17], 99,99






,[18], 2,5






,[19], 2,4






,[20], 99,99






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 5,7






,[25], 3,6






,[26], 99,99






,[27], 5,6






,[28], 99,99






,[29], 99,99






,[30], 99,99






,[31], 99,99






,[32], 9,9






,[33], 2,4






,[34], 6,7






,[35], 99,99






,[36], 99,99






,[37], 99,99






,[38], 3,3






,[39], 0,0






,[40], 1,1






,[41], 0,0






,[42], 0,0






,[43], 0,1






,[44], 1,1






,[45], 0,0






,[46], 99,99






,[47], 99,99






,[48], 99,99






,[49], 99,99






,[50], 99,99






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 2,2






,[55], 1,1






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 99,99






,[61], 3,3






,[62], 1,2






,[63], 1,1






,[64], 99,99






,[65], 99,99






,[66], 99,99






,[67], 99,99






,[68], 99,99






,[69], 99,99






,[70], 1,3






,[71], 99,99






,[72], 1,2






,[73], 0,0






,[74], 0,0






,[75], 1,1






,[76], 99,99






,[77], 1,1






,[78], 1,1






,[79], 99,99






,[80], 1,1






,[81], 0,1






,[82], 0,0






,[83], 0,0






,[84], 1,1






,[85], 2,2






,[86], 99,99






,[87], 99,99






,[88], 99,99






,[89], 99,99






,[90], 99,99






,[91], 1,2






,[92], 2,2






,[93], 99,99






,[94], 99,99






,[95], 99,99






,[96], 99,99






,[97], 99,99






,[98], 99,99






,[99], 99,99






,[100], 99,99






,[101], 99,99






,[102], 99,99






,[103], 99,99






,[104], 99,99






,[105], 99,99






,[106], 99,99






,[107], 99,99






,[108], 0,0






,[109], 0,0






,[110], 99,99






,[111], 99,99






,[112], 99,99






,[113], 0,0






,[114], 1,1






,[115], 1,1






,[116], 99,99






,[117], 99,99






,[118], 99,99






,[119], 1,1






,[120], 0,0






,[121], 0,0






,[122], 0,0






,[123], 0,0






,[124], 99,99






,[125], 99,99






,[126], 99,99






,[127], 99,99






,[128], 99,99






,[129], 99,99






,[130], 99,99






,[131], 99,99






,[132], 7,8






,[133], 0,0






,[134], 0,0






,[135], 0,0






,[136], 1,1






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 0,0






,[141], 1,1






,[142], 99,99






,[143], 6,6






,[144], 99,99






,[145], 99,99






,[146], 2,2






,[147], 99,99






,[148], 99,99






,[149], 0,0






,[150], 0,0






,[151], 1,1






,[152], 99,99






,[153], 0,0






,[154], 99,99






,[155], 99,99






,[156], 99,99






,[157], 99,99






,[158], 99,99






,[159], 0,0






,[160], 99,99






,[161], 0,0






,[162], 0,0






,[163], 0,0






,[164], 0,0






,[165], 1,1






,[166], 1,1






,[167], 1,1






,[168], 2,2






,[169], 0,0






,[170], 99,99






,[171], 99,99






,[172], 99,99






,[173], 99,99






,[174], 0,0






,[175], 1,3






,[176], 99,99






,[177], 0,1






,[178], 2,3






,[179], 99,99






,[180], 1,3






,[181], 99,99






