



,,[60]
,[0], 99,99






,[1], 99,99






,[2], 99,99






,[3], 99,99






,[4], 99,99






,[5], 99,99






,[6], 7,7






,[7], 99,99






,[8], 13,16






,[9], 99,99






,[10], 99,99






,[11], 99,99






,[12], 99,99






,[13], 12,14






,[14], 11,15






,[15], 99,99






,[16], 99,99






,[17], 99,99






,[18], 99,99






,[19], 99,99






,[20], 99,99






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 99,99






,[25], 99,99






,[26], 99,99






,[27], 99,99






,[28], 99,99






,[29], 99,99






,[30], 99,99






,[31], 10,13






,[32], 0,0






,[33], 99,99






,[34], 99,99






,[35], 99,99






,[36], 99,99






,[37], 99,99






,[38], 8,13






,[39], 99,99






,[40], 99,99






,[41], 99,99






,[42], 99,99






,[43], 99,99






,[44], 99,99






,[45], 99,99






,[46], 99,99






,[47], 99,99






,[48], 99,99






,[49], 99,99






,[50], 99,99






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 99,99






,[55], 99,99






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 4,11






,[61], 99,99






,[62], 7,12






,[63], 11,15






,[64], 99,99






,[65], 99,99






,[66], 99,99






,[67], 99,99






,[68], 99,99






,[69], 99,99






,[70], 8,11






,[71], 99,99






,[72], 99,99






,[73], 99,99






,[74], 99,99






,[75], 99,99






,[76], 99,99






,[77], 99,99






,[78], 99,99






,[79], 99,99






,[80], 99,99






,[81], 99,99






,[82], 99,99






,[83], 99,99






,[84], 99,99






,[85], 7,11






,[86], 99,99






,[87], 99,99






,[88], 99,99






,[89], 9,11






,[90], 99,99






,[91], 99,99






,[92], 99,99






,[93], 7,13






,[94], 99,99






,[95], 7,12






,[96], 99,99






,[97], 99,99






,[98], 8,10






,[99], 99,99






,[100], 99,99






,[101], 99,99






,[102], 99,99






,[103], 99,99






,[104], 99,99






,[105], 99,99






,[106], 99,99






,[107], 99,99






,[108], 99,99






,[109], 99,99






,[110], 99,99






,[111], 99,99






,[112], 99,99






,[113], 99,99






,[114], 99,99






,[115], 99,99






,[116], 6,13






,[117], 99,99






,[118], 99,99






,[119], 99,99






,[120], 99,99






,[121], 99,99






,[122], 99,99






,[123], 99,99






,[124], 99,99






,[125], 5,10






,[126], 99,99






,[127], 7,11






,[128], 0,0






,[129], 99,99






,[130], 99,99






,[131], 99,99






,[132], 99,99






,[133], 99,99






,[134], 99,99






,[135], 99,99






,[136], 99,99






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 99,99






,[142], 99,99






,[143], 99,99






,[144], 4,5






,[145], 99,99






,[146], 99,99






,[147], 99,99






,[148], 99,99






,[149], 99,99






,[150], 99,99






,[151], 99,99






,[152], 99,99






,[153], 99,99






,[154], 99,99






,[155], 5,8






,[156], 12,13






,[157], 99,99






,[158], 99,99






,[159], 6,6






,[160], 99,99






,[161], 99,99






,[162], 99,99






,[163], 99,99






,[164], 99,99






,[165], 99,99






,[166], 99,99






,[167], 99,99






,[168], 99,99






,[169], 99,99






,[170], 99,99






,[171], 99,99






,[172], 99,99






,[173], 99,99






,[174], 99,99






,[175], 4,4






,[176], 99,99






,[177], 99,99






,[178], 99,99






,[179], 99,99






,[180], 99,99






,[181], 9,17






,[182], 99,99






,[183], 99,99






,[184], 99,99






,[185], 99,99






,[186], 99,99






,[187], 7,9






,[188], 5,9






,[189], 99,99






,[190], 99,99






,[191], 3,11






,[192], 99,99






,[193], 99,99






,[194], 99,99






,[195], 99,99






,[196], 99,99






,[197], 99,99






,[198], 99,99






,[199], 99,99






,[200], 99,99






,[201], 99,99






,[202], 99,99






,[203], 99,99






,[204], 99,99






,[205], 99,99






,[206], 99,99






,[207], 99,99






,[208], 99,99






,[209], 99,99






,[210], 99,99






,[211], 99,99






,[212], 13,21






