



,,[60]
,[0], 0,0






,[1], 99,99






,[2], 0,0






,[3], 0,1






,[4], 0,0






,[5], 99,99






,[6], 0,0






,[7], 99,99






,[8], 0,1






,[9], 99,99






,[10], 99,99






,[11], 0,0






,[12], 0,0






,[13], 99,99






,[14], 99,99






,[15], 0,1






,[16], 1,1






,[17], 1,1






,[18], 1,1






,[19], 1,1






,[20], 99,99






,[21], 99,99






,[22], 0,1






,[23], 0,0






,[24], 99,99






,[25], 0,0






,[26], 99,99






,[27], 99,99






,[28], 1,1






,[29], 0,0






,[30], 99,99






,[31], 1,1






,[32], 0,0






,[33], 0,0






,[34], 99,99






,[35], 1,1






,[36], 0,0






,[37], 0,0






,[38], 0,0






,[39], 1,1






,[40], 0,0






,[41], 99,99






,[42], 99,99






,[43], 0,0






,[44], 0,0






,[45], 99,99






,[46], 0,0






,[47], 99,99






,[48], 0,0






,[49], 99,99






,[50], 0,0






,[51], 1,1






,[52], 0,1






,[53], 0,1






,[54], 99,99






,[55], 0,0






,[56], 0,0






,[57], 99,99






,[58], 0,0






,[59], 99,99






,[60], 0,0






,[61], 0,0






,[62], 0,0






,[63], 99,99






,[64], 1,1






,[65], 0,0






,[66], 0,0






,[67], 1,1






,[68], 0,0






,[69], 0,0






,[70], 0,0






,[71], 1,1






,[72], 99,99






,[73], 99,99






,[74], 99,99






,[75], 0,0






,[76], 0,0






