



,,[60]
,[0], 9,19






,[1], 18,20






,[2], 7,18






,[3], 6,20






,[4], 6,19






,[5], 7,20






,[6], 5,17






,[7], 3,18






,[8], 7,18






,[9], 8,17






,[10], 13,19






,[11], 9,18






,[12], 9,20






,[13], 9,16






,[14], 5,16






,[15], 8,19






,[16], 12,19






,[17], 8,20






,[18], 11,20






,[19], 10,20






,[20], 4,14






,[21], 7,14






,[22], 9,21






,[23], 8,18






,[24], 7,15






,[25], 99,99






,[26], 6,17






,[27], 8,15






,[28], 4,19






,[29], 5,16






,[30], 5,17






,[31], 8,20






,[32], 5,18






,[33], 8,21






,[34], 8,13






,[35], 5,11






,[36], 11,16






,[37], 11,20






,[38], 3,16






,[39], 12,18






,[40], 99,99






,[41], 15,18






,[42], 8,17






,[43], 8,17






,[44], 11,15






,[45], 7,15






,[46], 7,13






,[47], 9,17






,[48], 99,99






,[49], 99,99






,[50], 9,17






,[51], 14,18






,[52], 11,14






,[53], 99,99






,[54], 10,17






,[55], 10,11






,[56], 9,15






,[57], 8,19






,[58], 11,17






,[59], 8,19






,[60], 12,20






,[61], 10,16






,[62], 99,99






,[63], 7,17






,[64], 5,16






,[65], 15,22






,[66], 6,19






,[67], 3,17






,[68], 12,18






,[69], 12,22






,[70], 6,18






,[71], 7,13






,[72], 5,9






,[73], 5,10






,[74], 99,99






,[75], 99,99






,[76], 5,5






,[77], 9,14


