



,,[80]
,[0], 15,31






,[1], 19,27






,[2], 21,31






,[3], 13,29






,[4], 9,30






,[5], 13,28






,[6], 19,33






,[7], 99,99






,[8], 18,30






,[9], 11,29






,[10], 15,29






,[11], 16,28






,[12], 15,26






,[13], 99,99






,[14], 20,30






,[15], 16,27






,[16], 21,28






,[17], 17,28






,[18], 99,99






,[19], 20,30






,[20], 25,28






,[21], 13,24






,[22], 17,31






,[23], 16,27






,[24], 20,27






,[25], 17,36






,[26], 99,99






,[27], 15,26






,[28], 99,99






,[29], 25,32






,[30], 99,99






,[31], 15,31






,[32], 14,31






,[33], 21,33






,[34], 17,25






,[35], 16,20






,[36], 21,28






,[37], 22,29






,[38], 11,33






,[39], 99,99






,[40], 99,99






,[41], 24,24






,[42], 23,28






,[43], 15,25






,[44], 99,99






,[45], 99,99






,[46], 99,99






,[47], 19,23






,[48], 99,99






,[49], 99,99






,[50], 21,24






,[51], 22,26






,[52], 16,22






,[53], 99,99






,[54], 17,22






,[55], 99,99






,[56], 99,99






,[57], 99,99






,[58], 14,26






,[59], 13,25






,[60], 18,24






,[61], 12,23






,[62], 99,99






,[63], 20,23






,[64], 15,30






,[65], 20,30






,[66], 17,26






,[67], 12,27






,[68], 16,23






,[69], 18,28






,[70], 19,28






,[71], 9,21






,[72], 7,15






,[73], 15,19






,[74], 99,99






,[75], 99,99






,[76], 99,99






,[77], 99,99






,[78], 16,25






,[79], 99,99






,[80], 15,22






,[81], 99,99






,[82], 99,99






,[83], 99,99






,[84], 99,99






,[85], 99,99






,[86], 11,17






,[87], 99,99






,[88], 99,99






,[89], 99,99






,[90], 99,99






,[91], 20,26






,[92], 19,21






,[93], 15,24






,[94], 15,23






,[95], 16,23






,[96], 19,34






,[97], 15,28






,[98], 18,29






,[99], 22,23






,[100], 12,22






,[101], 99,99






,[102], 20,27






,[103], 16,25






,[104], 10,22






,[105], 25,25






,[106], 99,99






,[107], 19,25






,[108], 20,28






,[109], 99,99






,[110], 99,99






,[111], 99,99






,[112], 99,99






,[113], 17,19






,[114], 99,99






,[115], 99,99






,[116], 99,99






,[117], 99,99






,[118], 16,27






,[119], 99,99






,[120], 99,99






,[121], 14,23






,[122], 18,25






,[123], 21,25






,[124], 17,26






,[125], 99,99






,[126], 11,25






,[127], 13,23






,[128], 99,99






,[129], 19,31






,[130], 18,25






,[131], 99,99






,[132], 14,26






,[133], 14,26






,[134], 12,24






,[135], 11,20






,[136], 20,22






,[137], 14,26






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 23,26






,[142], 99,99






,[143], 14,16






,[144], 13,18






,[145], 18,21






,[146], 20,29






,[147], 99,99






,[148], 99,99






,[149], 18,25






,[150], 15,28






,[151], 15,20






,[152], 20,27






,[153], 11,29






,[154], 99,99






,[155], 24,25






,[156], 10,19






,[157], 99,99






,[158], 21,27






,[159], 19,26






,[160], 20,31






,[161], 15,25






,[162], 22,28






,[163], 16,19






,[164], 23,23






,[165], 99,99






,[166], 17,29






,[167], 20,26






,[168], 15,18






,[169], 10,20






,[170], 99,99






,[171], 99,99






,[172], 17,28






,[173], 22,28






,[174], 22,25






,[175], 27,27






,[176], 15,21






,[177], 19,26






,[178], 17,27






,[179], 10,27






,[180], 20,28






,[181], 19,25






,[182], 14,17






,[183], 17,23






,[184], 20,29






,[185], 17,26






,[186], 20,24






,[187], 99,99






,[188], 15,17






,[189], 99,99






,[190], 18,25






,[191], 15,22






,[192], 22,29






,[193], 99,99






,[194], 99,99






,[195], 99,99






,[196], 99,99






,[197], 17,19






,[198], 12,21






,[199], 99,99






,[200], 14,17






,[201], 99,99






,[202], 19,25






,[203], 99,99






,[204], 99,99






,[205], 99,99






,[206], 13,27






,[207], 99,99






,[208], 10,20






,[209], 99,99






,[210], 99,99






,[211], 99,99






,[212], 99,99






,[213], 99,99






,[214], 99,99






,[215], 14,20






,[216], 15,26






,[217], 18,25






,[218], 18,21






,[219], 99,99






,[220], 99,99






,[221], 99,99






,[222], 99,99






,[223], 15,25






,[224], 21,27






,[225], 15,28






,[226], 18,23






,[227], 12,26






,[228], 16,22






,[229], 23,26






,[230], 15,28






,[231], 99,99






,[232], 21,23






,[233], 99,99






,[234], 99,99






,[235], 99,99






,[236], 99,99






,[237], 99,99






,[238], 99,99






,[239], 99,99






,[240], 99,99






,[241], 99,99






,[242], 99,99






,[243], 99,99






,[244], 99,99






,[245], 99,99






,[246], 99,99






,[247], 18,22






,[248], 23,24






,[249], 22,25






,[250], 19,24






,[251], 18,20






,[252], 99,99






,[253], 16,21






,[254], 19,26






,[255], 13,24






,[256], 25,29






,[257], 11,20






,[258], 21,24






,[259], 25,27






,[260], 20,25






,[261], 11,26






,[262], 16,26






,[263], 23,26






,[264], 99,99






,[265], 99,99






,[266], 99,99






,[267], 99,99






,[268], 99,99






,[269], 99,99






,[270], 99,99






,[271], 99,99






,[272], 99,99






,[273], 99,99






,[274], 99,99






,[275], 99,99






,[276], 99,99






,[277], 99,99






,[278], 99,99






,[279], 16,21






,[280], 99,99






,[281], 17,23






,[282], 99,99






,[283], 99,99






,[284], 11,19






,[285], 18,23






,[286], 21,26






,[287], 16,21






,[288], 22,29






,[289], 13,25






,[290], 17,23






,[291], 18,27






,[292], 99,99






,[293], 20,25






,[294], 18,21






,[295], 14,17






,[296], 99,99






,[297], 99,99






,[298], 99,99






,[299], 99,99






,[300], 99,99






,[301], 99,99






,[302], 99,99






,[303], 99,99






