



,,[40]
,[0], 99,99






,[1], 1,8






,[2], 3,5






,[3], 3,5






,[4], 1,5






,[5], 3,5






,[6], 99,99






,[7], 2,6






,[8], 3,5






,[9], 2,5






,[10], 3,5






,[11], 4,5






,[12], 2,5






,[13], 5,5






,[14], 4,5






,[15], 4,5






,[16], 99,99






,[17], 99,99






,[18], 2,4






,[19], 99,99






,[20], 99,99






,[21], 99,99






,[22], 99,99






,[23], 99,99






,[24], 99,99






,[25], 2,5






,[26], 99,99






,[27], 99,99






,[28], 99,99






,[29], 99,99






,[30], 99,99






,[31], 99,99






,[32], 99,99






,[33], 1,3






,[34], 2,6






,[35], 99,99






,[36], 99,99






,[37], 99,99






,[38], 99,99






,[39], 0,0






,[40], 99,99






,[41], 0,0






,[42], 0,0






,[43], 0,0






,[44], 0,0






,[45], 0,0






,[46], 99,99






,[47], 99,99






,[48], 99,99






,[49], 99,99






,[50], 99,99






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 0,1






,[55], 1,1






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 99,99






,[61], 99,99






,[62], 99,99






,[63], 99,99






,[64], 99,99






,[65], 99,99






,[66], 99,99






,[67], 99,99






,[68], 99,99






,[69], 99,99






,[70], 2,2






,[71], 99,99






,[72], 1,1






,[73], 0,0






,[74], 0,0






,[75], 99,99






,[76], 99,99






,[77], 99,99






,[78], 99,99






,[79], 1,1






,[80], 0,0






,[81], 99,99






,[82], 0,0






,[83], 99,99






,[84], 1,1






,[85], 99,99






,[86], 99,99






,[87], 1,1






,[88], 99,99






,[89], 99,99






,[90], 1,1






,[91], 0,0






,[92], 99,99






,[93], 99,99






,[94], 99,99






,[95], 99,99






,[96], 99,99






,[97], 99,99






,[98], 3,3






,[99], 99,99






,[100], 99,99






,[101], 99,99






,[102], 99,99






,[103], 99,99






,[104], 99,99






,[105], 99,99






,[106], 99,99






,[107], 99,99






,[108], 0,0






,[109], 0,0






,[110], 0,1






,[111], 99,99






,[112], 0,0






,[113], 0,0






,[114], 99,99






,[115], 99,99






,[116], 0,0






,[117], 1,1






,[118], 99,99






,[119], 1,1






,[120], 0,0






,[121], 0,0






,[122], 0,0






,[123], 0,0






,[124], 0,0






,[125], 99,99






,[126], 99,99






,[127], 99,99






,[128], 99,99






,[129], 99,99






,[130], 99,99






,[131], 99,99






,[132], 99,99






,[133], 0,0






,[134], 0,0






,[135], 0,0






,[136], 99,99






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 0,0






,[141], 0,0






,[142], 1,2






,[143], 99,99






,[144], 99,99






,[145], 99,99






,[146], 99,99






,[147], 1,2






,[148], 99,99






,[149], 99,99






,[150], 0,0






,[151], 0,0






,[152], 1,1






,[153], 0,0






,[154], 0,0






,[155], 0,0






,[156], 99,99






,[157], 0,0






,[158], 0,0






,[159], 0,0






,[160], 99,99






,[161], 0,0






,[162], 0,0






,[163], 0,0






,[164], 0,0






,[165], 99,99






,[166], 99,99






,[167], 1,1






,[168], 1,1






,[169], 0,0






,[170], 1,1






,[171], 0,1






,[172], 99,99






,[173], 99,99






,[174], 0,0






,[175], 3,3






,[176], 1,1






,[177], 0,0






,[178], 0,0






,[179], 1,2






,[180], 1,1






,[181], 99,99






,[182], 0,0






,[183], 99,99






,[184], 99,99






,[185], 99,99






,[186], 99,99






,[187], 99,99






,[188], 99,99






,[189], 99,99






,[190], 0,0






,[191], 0,0






,[192], 99,99






,[193], 99,99






,[194], 0,0






,[195], 0,0






,[196], 0,0






,[197], 0,0






,[198], 0,0






,[199], 0,0






,[200], 99,99






,[201], 0,0






,[202], 99,99






,[203], 99,99






,[204], 1,2






,[205], 1,3






,[206], 99,99






,[207], 0,1






,[208], 1,1






,[209], 1,3






,[210], 99,99






,[211], 1,1






,[212], 99,99






