



,,[30]
,[0], 99,99






,[1], 2,12






,[2], 2,10






,[3], 99,99






,[4], 2,10






,[5], 99,99






,[6], 99,99






,[7], 99,99






,[8], 4,9






,[9], 99,99






,[10], 2,11






,[11], 2,11






,[12], 99,99






,[13], 99,99






,[14], 2,8






,[15], 99,99






,[16], 99,99






,[17], 99,99






,[18], 99,99






,[19], 99,99






,[20], 4,7






,[21], 99,99






,[22], 1,10






,[23], 99,99






,[24], 3,7






,[25], 1,11






,[26], 99,99






,[27], 99,99






,[28], 5,11






,[29], 99,99






,[30], 99,99






,[31], 99,99






,[32], 1,7






,[33], 1,9






,[34], 99,99






,[35], 1,7






,[36], 99,99






,[37], 99,99






,[38], 2,10






,[39], 99,99






,[40], 99,99






,[41], 99,99






,[42], 99,99






,[43], 99,99






,[44], 99,99






,[45], 99,99






,[46], 99,99






,[47], 99,99






,[48], 99,99






,[49], 99,99






,[50], 99,99






,[51], 99,99






,[52], 99,99






,[53], 99,99






,[54], 99,99






,[55], 99,99






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 99,99






,[60], 99,99






,[61], 99,99






,[62], 99,99






,[63], 99,99






,[64], 99,99






,[65], 99,99






,[66], 99,99






,[67], 4,9






,[68], 99,99






,[69], 99,99






,[70], 99,99






,[71], 3,6






,[72], 99,99






,[73], 99,99






,[74], 99,99






,[75], 3,4






,[76], 0,1






,[77], 99,99






,[78], 99,99






,[79], 99,99






,[80], 99,99






,[81], 99,99






,[82], 99,99






,[83], 99,99






,[84], 99,99






,[85], 99,99






,[86], 99,99






,[87], 0,0






,[88], 2,4






,[89], 99,99






,[90], 99,99






,[91], 99,99






,[92], 99,99






,[93], 99,99






,[94], 2,6






,[95], 99,99






,[96], 2,10






,[97], 99,99






,[98], 99,99






,[99], 99,99






,[100], 99,99






,[101], 99,99






,[102], 99,99






,[103], 99,99






,[104], 99,99






,[105], 99,99






,[106], 99,99






,[107], 99,99






,[108], 99,99






,[109], 99,99






,[110], 99,99






,[111], 99,99






,[112], 99,99






,[113], 99,99






,[114], 99,99






,[115], 99,99






,[116], 99,99






,[117], 99,99






,[118], 99,99






,[119], 99,99






,[120], 99,99






,[121], 99,99






,[122], 99,99






,[123], 99,99






,[124], 99,99






,[125], 99,99






,[126], 99,99






,[127], 99,99






,[128], 1,7






,[129], 99,99






,[130], 99,99






,[131], 99,99






,[132], 99,99






,[133], 99,99






,[134], 99,99






,[135], 99,99






,[136], 99,99






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 99,99






,[142], 99,99






,[143], 99,99






,[144], 99,99






,[145], 99,99






,[146], 2,14






,[147], 99,99






,[148], 99,99






,[149], 99,99






,[150], 99,99






,[151], 99,99






,[152], 99,99






,[153], 2,7






,[154], 99,99






,[155], 99,99






,[156], 99,99






,[157], 99,99






,[158], 99,99






,[159], 99,99






,[160], 99,99






,[161], 99,99






,[162], 2,13






,[163], 99,99






,[164], 3,9






,[165], 99,99






,[166], 1,5






,[167], 2,5






,[168], 99,99






,[169], 99,99






,[170], 2,6






,[171], 99,99






,[172], 99,99






,[173], 99,99






,[174], 99,99






,[175], 99,99






,[176], 1,5






,[177], 99,99






,[178], 99,99






,[179], 2,6






,[180], 99,99






,[181], 99,99






,[182], 99,99






,[183], 99,99






,[184], 2,12






,[185], 99,99






,[186], 99,99






,[187], 99,99






,[188], 99,99






,[189], 99,99






,[190], 99,99






,[191], 99,99






,[192], 99,99






,[193], 99,99






,[194], 99,99






,[195], 99,99






,[196], 99,99






,[197], 99,99






,[198], 99,99






,[199], 1,4






,[200], 99,99






,[201], 99,99






,[202], 99,99






,[203], 99,99






,[204], 99,99






,[205], 99,99






,[206], 99,99






,[207], 99,99






,[208], 6,6






,[209], 99,99






,[210], 99,99






,[211], 99,99






,[212], 99,99






