



,,[80]
,[0], 99,99






,[1], 1,1






,[2], 1,1






,[3], 2,2






,[4], 99,99






,[5], 2,3






,[6], 3,3






,[7], 2,4






,[8], 2,4






,[9], 99,99






,[10], 0,1






,[11], 99,99






,[12], 2,2






,[13], 2,2






,[14], 2,2






,[15], 99,99






,[16], 99,99






,[17], 99,99






,[18], 99,99






,[19], 99,99






,[20], 2,2






,[21], 99,99






,[22], 1,1






,[23], 0,0






,[24], 1,2






,[25], 1,1






,[26], 99,99






,[27], 99,99






,[28], 1,2






,[29], 2,2






,[30], 1,1






,[31], 2,2






,[32], 0,1






,[33], 0,1






,[34], 99,99






,[35], 99,99






,[36], 2,3






,[37], 1,2






,[38], 1,2






,[39], 99,99






,[40], 2,3






,[41], 1,1






,[42], 3,3






,[43], 1,1






,[44], 2,2






,[45], 0,1






,[46], 1,2






,[47], 1,2






,[48], 2,2






,[49], 3,3






,[50], 99,99






,[51], 99,99






,[52], 2,2






,[53], 99,99






,[54], 2,2






,[55], 2,3






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 1,3






,[60], 1,2






,[61], 2,3






,[62], 0,0






,[63], 3,3






,[64], 99,99






,[65], 1,1






,[66], 99,99






,[67], 2,3






,[68], 1,1






,[69], 1,1






,[70], 2,2






,[71], 99,99






,[72], 99,99






,[73], 2,2






,[74], 1,2






,[75], 1,1






,[76], 1,1






,[77], 99,99






,[78], 99,99






,[79], 99,99






,[80], 1,1






,[81], 1,2






,[82], 99,99






,[83], 1,2






,[84], 1,2






,[85], 1,2






,[86], 2,2






,[87], 2,2






,[88], 0,1






,[89], 0,0






,[90], 1,3






,[91], 1,2






,[92], 1,1






,[93], 99,99






,[94], 99,99






,[95], 3,3






,[96], 1,2






,[97], 2,2






,[98], 2,3






,[99], 1,2






,[100], 3,3






,[101], 3,3






,[102], 2,4






,[103], 99,99






,[104], 2,2






,[105], 1,1






,[106], 1,2






,[107], 0,1






,[108], 1,2






,[109], 99,99






,[110], 1,1






,[111], 0,1






,[112], 99,99






,[113], 0,1






,[114], 2,2






,[115], 1,1






,[116], 0,2






,[117], 1,3






,[118], 99,99






,[119], 2,2






,[120], 0,1






,[121], 1,1






,[122], 0,2






,[123], 0,1






,[124], 1,2






,[125], 99,99






,[126], 99,99






,[127], 1,1






,[128], 1,2






,[129], 2,3






,[130], 0,1






,[131], 2,3






,[132], 1,1






,[133], 0,1






,[134], 0,2






,[135], 1,1






,[136], 0,2






,[137], 1,1






,[138], 99,99






,[139], 2,3






,[140], 99,99






,[141], 99,99






,[142], 99,99






,[143], 99,99






,[144], 3,3






,[145], 2,3






,[146], 0,1






,[147], 0,0






,[148], 99,99






,[149], 2,2






,[150], 1,2






,[151], 1,2






,[152], 0,1






,[153], 0,1






,[154], 99,99






,[155], 99,99






,[156], 99,99






,[157], 2,2






,[158], 1,1






,[159], 99,99






,[160], 3,3






,[161], 1,2






,[162], 2,3






,[163], 99,99






,[164], 2,3






,[165], 1,1






,[166], 0,1






,[167], 99,99






,[168], 1,3






,[169], 3,3






,[170], 1,1






,[171], 1,2






,[172], 19,22






,[173], 3,3






,[174], 0,1






,[175], 99,99






,[176], 23,26






,[177], 0,1






,[178], 1,2






,[179], 1,2






,[180], 1,2






,[181], 1,3






,[182], 1,1






,[183], 1,1






,[184], 99,99






,[185], 2,2






,[186], 0,1






,[187], 1,1






,[188], 99,99






,[189], 1,2






,[190], 0,0






,[191], 0,1






,[192], 2,2






,[193], 2,2






,[194], 99,99






,[195], 2,3






,[196], 2,2






,[197], 1,1






,[198], 1,2






,[199], 1,3






,[200], 99,99






,[201], 99,99






,[202], 99,99






,[203], 4,4






,[204], 16,29






,[205], 0,0






,[206], 99,99






,[207], 99,99






,[208], 99,99






,[209], 99,99






,[210], 0,1






,[211], 2,2






,[212], 2,3






