



,,[80]
,[0], 23,31






,[1], 11,27






,[2], 18,31






,[3], 99,99






,[4], 15,30






,[5], 99,99






,[6], 14,33






,[7], 17,28






,[8], 20,30






,[9], 26,29






,[10], 19,29






,[11], 99,99






,[12], 21,26






,[13], 17,26






,[14], 17,30






,[15], 99,99






,[16], 25,28






,[17], 19,28






,[18], 18,30






,[19], 24,30






,[20], 10,28






,[21], 16,24






,[22], 16,31






,[23], 25,27






,[24], 20,27






,[25], 99,99






,[26], 21,31






,[27], 99,99






,[28], 16,32






,[29], 24,32






,[30], 27,32






,[31], 99,99






,[32], 17,31






,[33], 20,33






,[34], 20,25






,[35], 18,20






,[36], 27,28






,[37], 21,29






,[38], 18,33






,[39], 22,29






,[40], 20,22






,[41], 23,24






,[42], 99,99






,[43], 99,99






,[44], 13,21






,[45], 22,27






,[46], 23,23






,[47], 17,23






,[48], 99,99






,[49], 21,24






,[50], 16,24






,[51], 18,26






,[52], 10,22






,[53], 22,24






,[54], 99,99






,[55], 15,28






,[56], 18,25






,[57], 25,28






,[58], 18,26






,[59], 12,25






,[60], 15,24






,[61], 99,99






,[62], 99,99






,[63], 99,99






,[64], 25,30






,[65], 14,30






,[66], 16,26






,[67], 14,27






,[68], 23,23






,[69], 20,28






,[70], 20,28






,[71], 11,21






,[72], 11,15






,[73], 14,19






,[74], 14,14






,[75], 14,14






,[76], 8,10






,[77], 19,22






,[78], 18,25






,[79], 18,24






,[80], 16,22






,[81], 14,14






,[82], 99,99






,[83], 99,99






,[84], 99,99






,[85], 99,99






,[86], 13,17






,[87], 18,20






,[88], 17,17






,[89], 15,18






,[90], 19,24






,[91], 16,26






,[92], 19,21






,[93], 99,99






,[94], 13,23






,[95], 99,99






,[96], 18,34






,[97], 20,28






,[98], 15,29






,[99], 18,23






,[100], 19,22






,[101], 18,20






,[102], 99,99






,[103], 18,25






,[104], 18,22






,[105], 21,25






,[106], 99,99






,[107], 21,25






,[108], 99,99






,[109], 19,20






,[110], 12,14






,[111], 99,99






,[112], 99,99






,[113], 9,19






,[114], 99,99






,[115], 99,99






,[116], 99,99






,[117], 17,17






,[118], 99,99






,[119], 17,23






,[120], 9,14






,[121], 17,23






,[122], 24,25






,[123], 21,25






,[124], 20,26






,[125], 20,22






,[126], 21,25






,[127], 19,23






,[128], 25,32






,[129], 21,31






,[130], 11,25






,[131], 18,20






,[132], 18,26






,[133], 19,26






,[134], 16,24






,[135], 12,20






,[136], 16,22






,[137], 99,99






,[138], 99,99






,[139], 99,99






,[140], 99,99






,[141], 23,26






,[142], 17,18






,[143], 15,16






,[144], 16,18






,[145], 18,21






,[146], 16,29






,[147], 17,18






,[148], 99,99






,[149], 16,25






,[150], 26,28






,[151], 16,20






,[152], 20,27






,[153], 17,29






,[154], 17,21






,[155], 21,25






,[156], 99,99






,[157], 99,99






,[158], 99,99






,[159], 23,26






,[160], 19,31






,[161], 99,99






,[162], 17,28






,[163], 18,19






,[164], 23,23






,[165], 20,24






,[166], 20,29






,[167], 99,99






,[168], 12,18






,[169], 18,20






,[170], 14,20






,[171], 99,99






,[172], 19,28






,[173], 17,28






,[174], 22,25






,[175], 99,99






,[176], 16,21






,[177], 21,26






,[178], 20,27






,[179], 16,27



