


,,[81],[114],[115],[179],[181],[214],[244],[245],[246],[276],[278],[279],[310],[311],[312],[340],[342],[359],[375],[423],[518],[550],[646],[647],[665],[673],[674],[678],[679],[697],[704],[705],[706],[707],[710],[711],[738],[740],[742],[743],[744],[771],[772],[773],[774],[776],[777],[803],[804],[806],[808],[809],[837],[838],[843],[850],[868],[869],[873],[908],[931],[932],[933],[937],,0~0.2,0.2~0.4,0.4~0.7,0.7~1,,0~0.1
,[81],1.000,0.534,-0.196,0.217,-0.113,-0.378,0.309,-0.140,0.015,0.105,0.239,0.159,0.108,0.057,-0.146,0.083,0.170,0.024,0.011,0.040,0.027,-0.141,0.104,0.057,0.149,0.151,0.355,-0.129,-0.021,0.207,-0.185,-0.278,0.004,0.196,0.153,-0.349,-0.075,0.128,-0.217,0.014,0.128,-0.101,0.095,-0.077,-0.267,-0.074,-0.040,0.038,-0.023,-0.221,0.017,-0.138,0.032,0.104,-0.392,0.440,0.150,0.193,-0.364,-0.479,0.109,0.002,-0.159,0.244,[81],46,14,3,1,,21
,[114],0.534,1.000,-0.285,0.568,-0.257,-0.506,0.452,0.040,0.113,0.311,0.247,0.024,0.278,0.233,-0.444,-0.036,0.063,-0.033,-0.142,0.025,-0.132,-0.112,-0.098,0.046,0.077,0.145,0.248,-0.127,-0.443,0.485,-0.048,-0.223,-0.067,0.111,0.200,-0.399,-0.144,0.087,-0.141,0.051,-0.213,-0.130,0.089,-0.078,-0.419,-0.276,0.200,0.073,-0.199,-0.275,0.097,-0.286,-0.118,0.187,-0.156,0.440,0.131,-0.105,-0.309,-0.329,-0.079,0.032,0.093,-0.033,[114],38,16,9,1,,21
,[115],-0.196,-0.285,1.000,-0.126,0.558,0.571,-0.011,-0.251,0.041,-0.111,-0.230,-0.027,-0.017,0.064,0.206,-0.103,-0.084,0.132,0.121,0.176,-0.222,-0.046,0.237,-0.096,-0.104,-0.265,0.035,0.160,0.022,-0.213,0.012,0.117,0.029,-0.172,-0.005,0.280,0.025,-0.133,-0.168,0.063,0.127,0.170,-0.196,-0.028,-0.030,-0.168,0.118,-0.087,0.050,0.418,-0.146,-0.215,0.058,-0.037,-0.259,-0.343,-0.105,0.123,0.019,-0.169,0.164,0.008,-0.202,0.330,[115],46,14,3,1,,23
,[179],0.217,0.568,-0.126,1.000,-0.369,-0.268,0.286,0.164,-0.111,0.145,0.133,0.056,0.225,0.071,-0.443,0.327,0.095,-0.198,-0.271,-0.201,-0.180,-0.215,0.058,-0.154,-0.009,0.023,0.231,-0.117,-0.081,0.472,0.070,-0.055,0.247,0.279,-0.119,-0.287,-0.207,0.169,0.168,-0.084,0.137,0.127,0.338,-0.118,-0.419,-0.309,-0.059,-0.018,-0.013,-0.290,-0.177,-0.196,0.054,-0.112,0.126,0.388,-0.039,0.049,-0.382,-0.299,0.046,-0.147,-0.059,-0.035,[179],39,20,4,1,,19
,[181],-0.113,-0.257,0.558,-0.369,1.000,0.228,0.089,-0.431,0.430,-0.066,0.004,0.162,-0.195,0.236,0.222,-0.001,-0.050,0.056,-0.102,0.155,-0.163,0.039,-0.028,-0.251,0.151,-0.391,0.154,0.184,0.172,-0.272,-0.169,-0.050,0.058,-0.348,-0.028,0.237,0.145,-0.248,-0.111,0.385,-0.069,0.042,-0.302,-0.106,0.024,-0.245,0.198,-0.079,-0.072,0.544,0.268,-0.276,-0.066,0.088,-0.392,-0.413,-0.289,0.197,-0.041,0.059,0.297,0.176,-0.310,0.435,[181],37,20,6,1,,20
,[214],-0.378,-0.506,0.571,-0.268,0.228,1.000,-0.244,-0.130,-0.234,-0.214,-0.381,-0.304,-0.270,-0.204,0.264,-0.294,-0.292,0.067,0.229,0.150,-0.219,-0.183,0.278,0.108,-0.019,-0.083,-0.348,0.038,0.200,-0.077,0.072,0.193,-0.107,-0.167,-0.060,0.202,0.070,-0.191,-0.057,-0.271,0.021,0.114,-0.209,0.136,0.144,0.241,0.182,-0.037,0.148,0.425,-0.328,-0.227,-0.025,-0.052,-0.088,-0.486,-0.066,-0.133,0.181,0.208,-0.062,-0.003,0.066,-0.020,[214],35,24,4,1,,19
,[244],0.309,0.452,-0.011,0.286,0.089,-0.244,1.000,-0.415,0.320,0.717,0.613,0.006,0.127,0.415,-0.179,-0.096,-0.281,0.103,-0.170,-0.073,-0.393,-0.165,0.221,-0.019,0.180,0.192,0.039,-0.083,-0.293,0.187,-0.028,-0.387,-0.144,-0.282,0.363,-0.081,-0.024,-0.235,0.170,0.192,-0.039,-0.163,-0.315,-0.017,-0.313,-0.160,0.032,0.370,-0.453,-0.118,0.340,-0.256,-0.480,0.532,-0.085,0.041,0.235,-0.183,-0.030,-0.072,-0.150,0.299,0.204,0.107,[244],35,20,7,2,,18
,[245],-0.140,0.040,-0.251,0.164,-0.431,-0.130,-0.415,1.000,-0.220,-0.327,-0.153,-0.157,0.555,-0.460,0.053,0.186,0.303,-0.035,0.309,-0.142,0.466,0.158,-0.407,-0.294,0.084,0.245,0.165,-0.082,-0.246,-0.012,0.514,0.711,-0.194,0.414,-0.018,0.223,-0.389,0.408,-0.081,-0.208,-0.380,-0.130,0.244,0.065,-0.181,0.027,0.282,-0.123,0.303,-0.360,0.116,0.348,0.194,-0.670,0.526,0.126,0.299,-0.162,0.188,-0.011,-0.213,-0.613,0.104,-0.767,[245],30,19,12,3,,11
,[246],0.015,0.113,0.041,-0.111,0.430,-0.234,0.320,-0.220,1.000,0.339,0.370,0.061,0.079,0.522,-0.018,-0.001,0.173,-0.158,-0.269,0.031,-0.230,0.122,-0.249,-0.228,-0.039,0.034,0.010,0.072,-0.128,0.143,-0.176,-0.161,-0.289,-0.587,0.654,0.114,-0.151,-0.476,0.228,0.429,-0.025,-0.545,-0.744,-0.250,-0.137,-0.400,-0.000,-0.061,-0.710,0.262,0.515,-0.340,-0.696,0.302,-0.184,-0.039,-0.162,-0.159,-0.205,0.061,0.093,0.228,0.042,0.184,[246],34,17,10,3,,18
,[276],0.105,0.311,-0.111,0.145,-0.066,-0.214,0.717,-0.327,0.339,1.000,0.428,-0.183,0.178,0.422,-0.237,-0.354,-0.196,0.151,-0.042,0.041,-0.354,-0.007,0.250,-0.079,0.145,0.298,-0.201,-0.246,-0.162,0.188,0.040,-0.316,-0.193,-0.258,0.402,0.095,-0.072,-0.285,0.419,0.071,0.190,-0.328,-0.390,0.064,-0.310,-0.122,-0.209,0.317,-0.641,-0.109,0.315,-0.207,-0.644,0.507,0.141,0.193,0.321,-0.379,-0.098,0.107,-0.314,0.231,0.359,-0.058,[276],29,26,7,2,,12
