


,,[45],[81],[114],[115],[179],[181],[212],[245],[264],[275],[276],[277],[308],[310],[311],[312],[327],[340],[343],[344],[360],[371],[373],[375],[403],[404],[407],[436],[437],[455],[517],[550],[581],[583],[614],[615],[646],[673],[674],[678],[706],[707],[710],[711],[738],[740],[742],[750],[771],[775],[803],[804],[805],[808],[809],[810],[836],[837],[840],[841],[842],[843],[868],[869],[874],[875],[900],[907],[930],[933],[936]
,[45],1.000,0.384,0.242,0.152,-0.257,-0.031,-0.306,0.054,-0.273,0.068,0.055,-0.279,-0.016,0.211,-0.223,-0.127,0.193,-0.129,-0.168,0.275,0.206,-0.104,-0.024,0.277,0.179,0.035,0.122,0.008,0.359,0.099,0.167,0.265,0.219,0.328,-0.131,0.337,-0.276,-0.024,-0.163,0.284,-0.076,-0.117,-0.164,0.103,0.044,-0.075,0.108,-0.311,-0.050,0.094,0.207,-0.112,-0.242,0.100,0.206,-0.235,-0.086,0.032,-0.235,0.004,0.268,-0.031,0.040,0.101,0.334,0.245,0.080,0.126,-0.232,0.034,-0.183
,[81],0.384,1.000,0.158,0.272,-0.545,-0.287,-0.288,0.547,-0.332,0.070,0.124,-0.136,-0.228,0.139,-0.156,-0.059,0.248,0.026,-0.047,0.320,0.397,-0.232,0.016,0.288,0.284,0.034,0.228,-0.006,0.484,0.131,0.221,0.193,-0.005,0.778,-0.473,0.277,-0.593,0.030,-0.204,0.483,-0.052,-0.092,-0.059,0.354,0.260,0.278,-0.204,-0.243,0.272,-0.024,0.089,-0.105,-0.202,0.070,0.142,-0.302,-0.281,0.117,-0.330,0.277,-0.009,-0.021,0.181,0.142,0.092,0.563,-0.020,-0.158,-0.559,0.399,-0.408
,[114],0.242,0.158,1.000,0.526,-0.437,-0.044,-0.301,0.151,-0.090,0.301,-0.161,-0.045,0.166,-0.228,0.272,0.189,-0.107,-0.271,0.286,0.391,-0.226,-0.127,0.324,0.295,-0.054,0.062,0.285,0.075,0.376,-0.064,0.140,0.358,0.315,0.232,-0.332,0.619,-0.421,0.274,-0.475,0.145,-0.416,-0.094,0.470,0.246,-0.392,0.402,-0.004,-0.135,0.068,0.317,-0.464,-0.210,0.163,0.097,-0.315,-0.467,0.306,-0.142,-0.453,0.198,-0.003,0.384,-0.071,0.105,0.269,0.380,-0.272,0.457,-0.528,0.228,-0.533
,[115],0.152,0.272,0.526,1.000,-0.603,-0.152,-0.541,0.031,-0.437,0.034,0.007,0.104,-0.013,-0.153,0.041,-0.043,-0.235,-0.223,0.010,-0.086,-0.267,-0.168,0.100,-0.106,-0.303,0.027,-0.120,-0.151,0.121,-0.042,-0.155,0.159,0.044,0.423,-0.411,0.670,-0.623,0.128,-0.542,0.231,-0.540,-0.404,0.123,-0.090,-0.243,0.032,0.127,0.122,0.387,-0.159,-0.223,0.235,0.362,-0.133,-0.248,-0.089,0.443,-0.221,-0.049,0.395,0.062,0.302,0.166,0.243,-0.035,0.604,-0.426,0.428,-0.570,0.122,-0.353
,[179],-0.257,-0.545,-0.437,-0.603,1.000,0.424,0.626,-0.128,0.578,0.318,-0.193,-0.051,0.353,-0.083,-0.200,0.169,0.014,-0.144,0.080,0.018,-0.010,0.059,0.012,0.120,0.102,-0.159,0.212,0.082,0.004,-0.147,0.060,-0.355,-0.294,-0.867,0.697,-0.391,0.984,0.085,0.500,-0.432,0.771,0.322,-0.009,0.029,-0.024,-0.142,0.211,-0.009,-0.247,0.446,0.094,-0.388,-0.178,0.251,0.130,-0.010,-0.172,0.196,-0.001,-0.179,-0.051,0.056,-0.492,-0.175,-0.195,-0.961,0.687,-0.341,0.832,-0.283,0.417
,[181],-0.031,-0.287,-0.044,-0.152,0.424,1.000,-0.011,-0.271,0.245,0.154,0.116,-0.070,0.209,0.152,-0.168,0.085,0.074,-0.180,-0.097,-0.070,-0.094,-0.134,-0.028,0.121,-0.050,-0.247,0.227,0.026,0.093,-0.117,-0.062,-0.244,-0.080,-0.396,0.372,0.050,0.455,0.610,-0.152,-0.401,0.278,0.241,0.096,0.161,0.144,-0.016,0.109,0.122,0.072,0.163,0.061,-0.132,-0.105,0.160,0.094,0.031,-0.139,0.061,-0.033,0.006,0.110,0.323,-0.255,-0.190,0.115,-0.353,0.184,0.034,0.292,0.122,0.180
,[212],-0.306,-0.288,-0.301,-0.541,0.626,-0.011,1.000,0.153,0.649,0.262,-0.135,0.116,0.154,-0.044,0.131,0.234,-0.041,0.032,0.168,0.093,-0.038,0.001,0.035,0.096,0.053,-0.067,0.183,-0.039,-0.008,-0.190,0.010,-0.315,-0.151,-0.584,0.329,-0.345,0.633,-0.022,0.406,-0.399,0.471,0.378,0.162,0.165,-0.046,0.152,0.075,-0.041,-0.223,0.335,-0.080,-0.204,-0.125,0.193,-0.020,-0.137,-0.133,0.220,-0.148,-0.206,-0.219,0.001,-0.193,-0.131,-0.104,-0.636,0.319,-0.381,0.442,-0.072,-0.036
,[245],0.054,0.547,0.151,0.031,-0.128,-0.271,0.153,1.000,0.128,0.200,0.031,0.161,0.028,-0.114,0.310,0.255,0.099,-0.067,0.450,0.166,0.198,-0.124,0.079,0.177,0.177,0.043,0.219,0.122,0.341,-0.112,0.036,-0.128,-0.084,0.283,-0.256,0.159,-0.129,0.045,0.104,0.244,0.269,0.012,0.529,0.088,0.063,0.469,-0.085,-0.157,0.110,0.227,-0.131,-0.179,0.115,-0.031,-0.135,-0.426,-0.039,0.191,-0.247,0.296,-0.278,0.179,0.234,0.406,0.021,0.035,0.009,-0.305,-0.328,0.285,-0.563
,[264],-0.273,-0.332,-0.090,-0.437,0.578,0.245,0.649,0.128,1.000,0.222,0.100,0.164,0.117,-0.034,0.088,0.257,-0.047,0.189,0.265,-0.085,-0.162,0.119,0.028,-0.002,0.126,-0.109,0.178,0.078,0.038,-0.156,0.067,-0.265,-0.004,-0.511,0.200,-0.185,0.625,0.093,0.371,-0.582,0.307,0.554,0.458,0.207,0.119,0.317,-0.018,0.112,0.119,0.300,-0.089,-0.084,-0.077,-0.020,-0.094,-0.043,-0.130,0.051,-0.055,-0.244,-0.021,-0.023,-0.078,0.028,-0.116,-0.513,0.175,-0.372,0.280,-0.202,-0.013
,[275],0.068,0.070,0.301,0.034,0.318,0.154,0.262,0.200,0.222,1.000,0.047,0.169,0.338,-0.075,-0.252,0.024,-0.226,-0.500,0.060,0.297,-0.163,-0.182,0.168,0.475,0.330,-0.118,0.631,0.262,0.592,-0.093,0.409,0.031,-0.062,-0.217,0.083,0.104,0.260,0.412,-0.123,-0.257,0.350,0.232,0.215,0.336,-0.184,0.250,0.350,-0.102,0.169,0.519,-0.279,-0.528,-0.173,0.236,-0.023,-0.450,-0.090,-0.025,-0.559,0.100,-0.126,0.225,-0.364,0.105,-0.106,-0.281,0.385,-0.315,-0.046,0.200,-0.346
,[276],0.055,0.124,-0.161,0.007,-0.193,0.116,-0.135,0.031,0.100,0.047,1.000,0.306,-0.042,0.535,-0.202,-0.263,0.082,0.030,-0.487,-0.306,-0.184,-0.213,-0.579,-0.279,0.104,-0.395,-0.052,0.031,-0.046,0.023,0.038,-0.169,0.109,0.375,-0.090,-0.005,-0.185,0.136,0.064,-0.084,-0.169,0.414,0.004,0.170,0.488,0.035,0.288,0.429,0.404,-0.389,0.377,0.214,-0.307,-0.025,0.328,0.155,-0.357,0.222,0.135,-0.022,0.177,-0.144,0.329,0.167,0.019,0.280,-0.199,-0.282,-0.448,0.216,-0.040
,[277],-0.279,-0.136,-0.045,0.104,-0.051,-0.070,0.116,0.161,0.164,0.169,0.306,1.000,0.184,0.067,0.165,0.017,-0.378,-0.197,-0.083,-0.640,-0.464,-0.022,-0.275,-0.440,-0.070,-0.155,-0.246,0.173,-0.238,-0.099,-0.242,-0.312,-0.169,-0.063,-0.266,-0.090,-0.023,-0.006,-0.044,-0.396,-0.219,0.119,0.346,-0.309,0.067,0.078,0.132,0.542,0.373,-0.178,-0.308,0.287,0.233,-0.312,-0.265,0.156,0.081,-0.194,0.252,-0.012,-0.016,-0.024,0.369,0.333,-0.413,0.045,-0.363,-0.139,-0.219,-0.005,-0.344
,[308],-0.016,-0.228,0.166,-0.013,0.353,0.209,0.154,0.028,0.117,0.338,-0.042,0.184,1.000,0.086,-0.069,0.552,0.153,-0.638,-0.008,0.051,-0.470,-0.393,-0.076,-0.028,-0.341,-0.427,0.136,-0.329,0.141,-0.634,-0.254,-0.385,-0.200,-0.369,0.412,0.051,0.345,0.185,0.284,0.076,0.331,0.030,0.164,0.093,-0.343,-0.016,0.327,0.257,0.047,0.446,-0.130,-0.400,0.083,0.366,-0.106,-0.437,0.246,0.299,-0.278,0.376,-0.020,0.406,-0.267,0.234,0.074,-0.378,0.339,0.036,0.244,0.048,0.031
,[310],0.211,0.139,-0.228,-0.153,-0.083,0.152,-0.044,-0.114,-0.034,-0.075,0.535,0.067,0.086,1.000,-0.201,-0.102,0.552,0.245,-0.564,-0.175,-0.032,-0.309,-0.670,-0.324,0.058,-0.372,-0.187,-0.204,-0.089,-0.155,-0.012,-0.235,-0.008,0.265,-0.096,0.015,-0.065,-0.043,0.072,-0.060,0.007,0.486,-0.215,0.166,0.360,-0.193,0.296,0.222,0.232,-0.181,0.639,0.193,-0.583,0.072,0.521,0.144,-0.422,0.319,0.141,-0.188,0.190,-0.080,0.248,0.142,0.145,0.098,0.049,-0.103,-0.140,0.088,-0.043
,[311],-0.223,-0.156,0.272,0.041,-0.200,-0.168,0.131,0.310,0.088,-0.252,-0.202,0.165,-0.069,-0.201,1.000,0.485,-0.158,0.029,0.531,-0.021,-0.263,0.073,0.230,-0.069,-0.432,0.189,-0.059,-0.192,-0.197,-0.230,-0.418,-0.157,0.126,-0.044,-0.252,0.101,-0.111,-0.143,0.006,0.148,-0.192,-0.239,0.607,-0.194,-0.407,0.137,-0.192,-0.083,-0.097,0.153,-0.474,0.288,0.574,-0.211,-0.623,-0.161,0.502,-0.015,-0.010,0.208,-0.367,0.300,0.327,0.169,0.109,0.034,-0.433,0.268,-0.111,0.027,-0.257
,[312],-0.127,-0.059,0.189,-0.043,0.169,0.085,0.234,0.255,0.257,0.024,-0.263,0.017,0.552,-0.102,0.485,1.000,0.237,-0.351,0.321,0.251,-0.239,-0.422,0.137,0.059,-0.522,-0.310,0.160,-0.556,0.156,-0.613,-0.462,-0.404,-0.151,-0.225,0.084,0.155,0.220,0.053,0.277,0.146,0.256,-0.120,0.395,0.271,-0.369,0.069,-0.058,0.014,0.115,0.513,-0.311,-0.225,0.386,0.323,-0.334,-0.567,0.359,0.319,-0.340,0.579,-0.238,0.646,-0.185,0.117,0.070,-0.257,0.097,0.151,0.200,0.034,-0.099
,[327],0.193,0.248,-0.107,-0.235,0.014,0.074,-0.041,0.099,-0.047,-0.226,0.082,-0.378,0.153,0.552,-0.158,0.237,1.000,0.197,-0.362,0.239,0.253,-0.517,-0.499,-0.040,-0.085,-0.466,-0.046,-0.278,0.123,-0.166,-0.071,-0.238,-0.095,0.202,0.175,0.117,0.033,-0.026,0.274,0.256,0.289,0.263,-0.288,0.438,0.247,-0.016,0.131,-0.010,-0.061,0.113,0.665,-0.233,-0.528,0.427,0.648,-0.191,-0.417,0.498,-0.055,0.072,0.282,0.132,-0.099,-0.070,0.305,-0.052,0.357,0.003,0.081,0.128,0.154
