


,,[237],[240],[243],[264],[268],[272],[273],[274],[275],[300],[303],[306],[307],[308],[309],[333],[335],[336],[338],[366],[367],[368],[369],[370],[397],[400],[401],[402],[420],[428],[432],[464],[465],[498],[526],[527],[529],[563],[590],[591],[622],[623],[628],[654],[655],[656],[660],[684],[686],[687],[688],[689],[690],[693],[718],[719],[722],[723],[750],[755],[756],[782],[788],[789],[814],[821],[822],[845],[877],[903],[909],[919],[920],[941],,0~0.2,0.2~0.4,0.4~0.7,0.7~1,,0~0.1
,[237],1.000,-0.165,0.257,-0.497,0.492,-0.362,0.084,0.176,-0.210,0.458,0.229,0.226,-0.158,-0.210,0.297,-0.369,0.502,-0.364,-0.414,0.088,0.015,-0.188,0.329,-0.363,0.132,-0.094,0.051,-0.249,-0.476,0.144,-0.180,-0.322,-0.092,0.121,0.050,-0.058,0.554,0.232,-0.084,0.318,-0.167,0.092,0.371,-0.377,-0.022,0.249,-0.288,0.648,-0.527,0.002,-0.119,-0.357,-0.125,0.450,0.328,-0.245,-0.173,0.085,0.395,-0.235,-0.118,-0.120,-0.094,-0.053,0.084,-0.135,-0.182,-0.238,0.328,-0.080,0.227,-0.087,-0.264,-0.414,[237],34,28,11,1,,18
,[240],-0.165,1.000,-0.535,-0.188,0.044,0.302,-0.259,-0.148,-0.198,-0.362,-0.109,-0.177,-0.061,0.112,-0.234,0.000,-0.474,0.478,0.421,0.107,-0.143,0.160,0.367,0.212,0.008,-0.359,-0.381,0.125,0.553,-0.032,0.311,0.013,-0.112,-0.158,0.367,-0.009,-0.252,-0.379,-0.009,-0.045,0.051,-0.153,-0.502,0.250,-0.307,-0.287,0.211,-0.245,0.166,-0.121,0.375,-0.174,-0.135,-0.238,-0.171,-0.036,-0.146,-0.281,-0.183,-0.124,-0.126,0.151,0.062,0.203,0.219,0.058,0.393,0.015,-0.233,0.258,0.271,0.350,0.156,0.106,[240],40,27,6,1,,14
,[243],0.257,-0.535,1.000,-0.049,0.117,-0.098,0.128,0.267,-0.020,0.293,0.363,0.083,0.077,0.074,0.421,-0.165,0.442,-0.383,-0.253,-0.114,0.338,-0.179,-0.271,-0.110,-0.007,0.424,0.509,0.174,-0.664,0.055,-0.369,-0.105,0.318,0.186,-0.350,0.027,0.173,0.373,-0.118,0.222,-0.127,0.064,0.416,0.039,0.024,0.345,-0.539,0.312,-0.201,-0.031,-0.254,-0.138,0.029,0.336,0.219,-0.129,-0.039,0.209,0.174,-0.010,-0.174,-0.086,-0.102,-0.301,-0.486,-0.050,-0.431,0.106,0.177,-0.281,-0.420,-0.111,-0.185,-0.165,[243],40,22,11,1,,18
,[264],-0.497,-0.188,-0.049,1.000,-0.759,0.418,0.156,0.163,0.411,-0.200,-0.475,0.111,0.279,0.478,-0.285,0.715,-0.165,0.057,0.126,-0.206,0.043,-0.079,-0.534,0.417,-0.260,0.526,0.403,0.144,0.263,-0.406,0.037,0.411,0.425,-0.059,-0.410,-0.238,-0.443,-0.144,0.267,-0.425,0.495,-0.263,-0.104,0.359,0.320,-0.351,0.152,-0.644,0.251,0.072,-0.083,0.605,0.070,-0.211,-0.225,0.032,0.030,-0.134,-0.167,0.068,-0.020,-0.276,-0.107,-0.143,-0.146,0.118,-0.376,-0.075,-0.260,0.097,-0.432,-0.315,0.174,0.485,[264],32,19,20,3,,15
,[268],0.492,0.044,0.117,-0.759,1.000,-0.315,-0.112,-0.029,-0.206,0.037,0.426,-0.213,-0.150,-0.303,0.213,-0.552,0.023,0.100,-0.282,-0.039,-0.060,0.156,0.390,-0.218,0.027,-0.482,-0.378,-0.064,-0.358,0.244,0.124,-0.420,-0.342,0.010,0.394,0.115,0.382,0.111,-0.234,0.315,-0.361,0.073,-0.040,-0.336,-0.067,0.268,-0.274,0.498,-0.228,-0.076,0.098,-0.521,0.250,0.222,0.211,0.031,-0.034,0.383,0.274,-0.069,0.146,0.137,0.097,0.106,0.022,-0.064,0.103,0.018,0.215,0.006,0.366,0.274,-0.162,-0.435,[268],35,29,8,2,,23
,[272],-0.362,0.302,-0.098,0.418,-0.315,1.000,-0.102,0.399,0.025,-0.549,-0.188,-0.240,0.109,0.604,-0.074,0.413,-0.352,0.369,0.456,-0.159,0.007,0.204,-0.173,0.434,-0.294,0.032,0.009,0.554,0.348,-0.342,0.033,0.525,0.471,-0.287,-0.012,-0.323,-0.614,-0.483,0.035,-0.268,0.420,-0.303,-0.433,0.789,-0.266,-0.477,-0.123,-0.655,0.115,0.051,0.180,0.129,-0.064,-0.004,-0.320,0.013,-0.113,-0.241,-0.281,-0.170,-0.138,0.059,-0.295,0.140,-0.262,-0.231,-0.240,-0.110,-0.441,0.432,-0.317,0.286,0.104,0.438,[272],29,25,18,2,,14
,[273],0.084,-0.259,0.128,0.156,-0.112,-0.102,1.000,-0.002,0.401,0.321,0.047,0.044,0.039,-0.140,0.032,-0.047,0.380,-0.552,-0.214,-0.147,0.469,-0.114,-0.288,-0.175,-0.082,0.184,0.037,-0.139,-0.182,-0.113,-0.269,0.293,-0.026,0.547,-0.459,0.293,0.244,0.493,-0.523,0.578,-0.227,0.145,0.469,-0.015,0.207,0.365,0.218,0.174,0.108,0.069,-0.133,0.437,-0.223,0.418,-0.245,0.012,0.098,-0.091,0.347,0.153,-0.026,0.175,0.011,-0.466,-0.069,0.096,0.023,0.348,-0.257,-0.147,-0.167,-0.085,-0.251,-0.069,[273],42,19,12,1,,22
,[274],0.176,-0.148,0.267,0.163,-0.029,0.399,-0.002,1.000,0.037,-0.042,0.064,-0.186,-0.209,0.283,-0.041,0.301,0.166,-0.034,-0.002,-0.323,0.209,0.303,-0.339,0.089,-0.341,-0.044,0.198,0.328,-0.073,-0.242,-0.169,0.243,0.558,-0.304,-0.133,-0.336,-0.260,-0.226,0.112,-0.083,0.321,-0.329,0.073,0.514,0.054,-0.219,-0.415,-0.165,-0.210,0.071,0.008,0.061,0.086,0.426,-0.023,-0.055,-0.198,-0.084,0.053,-0.206,-0.153,-0.172,-0.259,0.196,-0.283,-0.207,-0.466,-0.225,-0.106,0.156,-0.021,-0.129,-0.236,0.179,[274],41,27,5,1,,23
,[275],-0.210,-0.198,-0.020,0.411,-0.206,0.025,0.401,0.037,1.000,0.084,-0.192,0.102,-0.012,0.038,-0.077,0.182,0.069,-0.122,-0.044,-0.139,0.369,0.210,-0.469,-0.119,-0.095,0.092,-0.062,0.134,0.051,-0.155,0.027,0.300,0.094,0.310,-0.326,-0.050,-0.075,0.306,-0.327,-0.019,-0.043,0.104,0.214,0.128,0.456,0.110,0.296,-0.063,0.117,0.136,0.023,0.603,0.085,-0.019,-0.128,-0.005,0.146,-0.049,0.166,0.141,-0.020,-0.015,-0.048,-0.382,0.050,0.100,-0.165,0.144,-0.162,-0.237,-0.132,-0.415,-0.279,0.014,[275],53,14,6,1,,31
,[300],0.458,-0.362,0.293,-0.200,0.037,-0.549,0.321,-0.042,0.084,1.000,0.284,0.424,0.155,-0.344,0.285,-0.231,0.741,-0.760,-0.380,0.054,0.450,-0.341,-0.004,-0.680,0.180,0.270,0.249,-0.285,-0.475,0.173,-0.425,-0.090,-0.112,0.463,-0.514,0.319,0.451,0.786,-0.142,0.329,-0.470,0.432,0.847,-0.385,0.052,0.569,0.032,0.591,-0.232,-0.053,-0.094,0.160,-0.323,0.318,0.365,0.076,-0.093,-0.118,0.201,0.110,-0.264,0.017,0.129,-0.424,0.022,0.193,-0.133,0.119,0.420,-0.589,-0.212,-0.387,-0.392,-0.367,[300],26,26,17,5,,14
,[303],0.229,-0.109,0.363,-0.475,0.426,-0.188,0.047,0.064,-0.192,0.284,1.000,-0.225,-0.067,-0.286,0.292,-0.466,0.375,-0.236,-0.373,-0.296,0.232,0.032,0.261,-0.355,-0.210,-0.085,-0.125,0.088,-0.450,0.020,-0.088,-0.116,-0.124,0.145,0.000,0.336,0.232,0.339,-0.413,0.507,-0.549,0.318,0.320,-0.168,-0.222,0.293,-0.330,0.402,0.070,-0.123,0.222,-0.284,-0.066,0.466,0.129,0.318,-0.115,0.121,0.075,-0.069,-0.108,0.469,-0.023,-0.108,-0.275,-0.077,0.063,0.390,0.118,-0.250,-0.005,0.313,-0.160,-0.328,[303],33,30,10,1,,17
,[306],0.226,-0.177,0.083,0.111,-0.213,-0.240,0.044,-0.186,0.102,0.424,-0.225,1.000,0.192,0.076,0.241,-0.055,0.236,-0.207,0.117,0.197,-0.078,-0.395,0.016,-0.141,0.240,0.231,0.301,-0.437,-0.120,0.147,-0.239,0.047,-0.044,0.140,-0.172,-0.084,0.321,0.245,0.218,-0.081,0.082,0.095,0.250,-0.246,0.116,0.125,-0.014,0.134,-0.323,0.204,-0.313,0.175,-0.028,-0.097,0.228,-0.329,0.074,-0.102,0.263,0.217,-0.158,-0.232,0.187,-0.196,0.081,0.135,-0.120,-0.231,0.247,-0.007,0.001,-0.278,-0.112,0.155,[306],43,28,2,1,,19
,[307],-0.158,-0.061,0.077,0.279,-0.150,0.109,0.039,-0.209,-0.012,0.155,-0.067,0.192,1.000,0.386,-0.093,0.199,-0.075,0.038,0.158,0.069,-0.038,-0.284,0.065,-0.062,0.066,0.253,0.013,-0.046,0.059,-0.074,0.110,0.122,-0.061,0.166,-0.314,0.220,-0.019,0.188,0.083,0.005,-0.142,-0.087,0.067,0.015,0.087,0.092,0.194,-0.295,0.206,-0.157,-0.069,0.216,-0.026,-0.108,0.005,0.122,-0.077,0.014,-0.077,0.035,-0.017,-0.069,0.021,-0.245,-0.134,0.164,-0.276,0.213,-0.005,-0.154,-0.358,0.042,0.052,-0.084,[307],59,14,0,1,,40
,[308],-0.210,0.112,0.074,0.478,-0.303,0.604,-0.140,0.283,0.038,-0.344,-0.286,0.076,0.386,1.000,0.050,0.358,-0.270,0.326,0.346,-0.233,-0.145,-0.066,-0.199,0.373,-0.279,0.127,0.051,0.355,0.120,-0.329,0.260,0.343,0.411,-0.314,-0.024,-0.268,-0.394,-0.367,0.258,-0.218,0.397,-0.469,-0.284,0.459,-0.000,-0.428,-0.176,-0.642,0.026,0.048,-0.024,0.147,0.064,-0.037,-0.261,-0.157,-0.022,-0.043,-0.071,-0.044,0.028,-0.165,-0.132,0.097,-0.306,-0.094,-0.506,-0.132,-0.308,0.325,-0.205,-0.008,0.252,0.352,[308],33,32,8,1,,21
,[309],0.297,-0.234,0.421,-0.285,0.213,-0.074,0.032,-0.041,-0.077,0.285,0.292,0.241,-0.093,0.050,1.000,-0.573,0.422,-0.275,-0.014,0.160,0.070,-0.222,-0.021,-0.374,0.199,0.074,0.193,-0.066,-0.683,0.182,-0.419,0.154,-0.044,0.139,0.115,0.132,0.144,0.301,-0.088,0.249,-0.236,0.348,0.332,-0.085,-0.360,0.276,-0.367,0.309,-0.494,0.395,-0.135,-0.187,-0.093,0.340,0.100,-0.032,-0.044,0.032,0.204,-0.016,-0.122,0.276,-0.004,-0.182,-0.357,-0.053,-0.273,-0.138,0.169,0.061,-0.082,-0.085,-0.233,0.021,[309],41,26,6,1,,26
,[333],-0.369,0.000,-0.165,0.715,-0.552,0.413,-0.047,0.301,0.182,-0.231,-0.466,-0.055,0.199,0.358,-0.573,1.000,-0.289,0.177,0.137,-0.249,0.073,0.115,-0.391,0.418,-0.358,0.303,0.232,0.291,0.463,-0.437,0.134,0.137,0.522,-0.215,-0.402,-0.359,-0.482,-0.263,0.286,-0.475,0.518,-0.420,-0.230,0.414,0.299,-0.320,0.085,-0.549,0.300,-0.200,-0.035,0.366,0.004,-0.291,-0.083,-0.151,-0.044,-0.203,-0.242,0.006,-0.018,-0.421,-0.086,0.110,0.109,0.084,-0.230,-0.085,-0.183,-0.002,-0.290,-0.152,0.159,0.349,[333],29,27,16,2,,15
,[335],0.502,-0.474,0.442,-0.165,0.023,-0.352,0.380,0.166,0.069,0.741,0.375,0.236,-0.075,-0.270,0.422,-0.289,1.000,-0.817,-0.503,-0.005,0.391,-0.427,-0.070,-0.548,0.121,0.330,0.369,-0.182,-0.678,0.083,-0.576,0.082,0.056,0.422,-0.396,0.289,0.412,0.633,-0.214,0.430,-0.407,0.520,0.831,-0.268,-0.058,0.407,-0.116,0.620,-0.300,0.020,-0.032,0.112,-0.379,0.714,0.234,0.103,-0.054,-0.205,0.277,0.017,-0.361,0.230,-0.059,-0.433,-0.221,-0.030,-0.346,0.103,0.328,-0.402,-0.250,-0.301,-0.464,-0.299,[335],23,26,20,5,,15
