


,,[172],[204],[235],[237],[240],[243],[264],[268],[272],[273],[274],[275],[300],[303],[306],[307],[308],[309],[333],[335],[336],[337],[338],[339],[366],[367],[368],[369],[370],[397],[400],[401],[402],[428],[432],[459],[464],[465],[466],[485],[496],[498],[530],[589],[591],[595],[622],[628],[656],[684],[686],[689],[690],[719],[722],[723],[750],[751],[755],[756],[782],[788],[789],[814],[821],[822],[846],[903],[909],[919],[920],[941],[952],[1011],[1022],,0~0.2,0.2~0.4,0.4~0.7,0.7~1,,0~0.1
,[172],1.000,0.533,0.492,-0.426,0.245,-0.224,0.564,-0.551,0.574,-0.167,0.243,-0.054,-0.574,-0.547,-0.030,-0.092,0.504,-0.271,0.526,-0.493,0.441,-0.178,0.507,-0.599,0.061,-0.241,0.036,-0.266,0.719,-0.119,0.151,0.227,0.165,-0.243,0.066,0.359,0.336,0.409,-0.618,0.502,-0.618,-0.566,0.558,-0.827,-0.476,0.263,0.875,-0.583,-0.725,-0.755,0.029,0.209,0.161,-0.309,-0.016,-0.053,-0.106,-0.050,-0.082,0.124,-0.241,-0.077,0.402,-0.060,-0.042,-0.101,-0.387,0.647,-0.015,0.074,0.415,0.738,-0.229,0.165,0.273,[172],26,17,25,7,,16
,[204],0.533,1.000,0.219,-0.556,0.295,-0.295,0.511,-0.405,0.509,-0.256,0.124,0.020,-0.536,-0.326,-0.344,0.091,0.296,-0.632,0.704,-0.654,0.510,-0.258,0.233,-0.454,-0.229,-0.098,0.321,-0.199,0.549,-0.325,0.113,0.019,0.442,-0.318,0.396,-0.048,0.077,0.341,-0.293,0.339,-0.028,-0.303,0.616,-0.675,-0.484,0.399,0.452,-0.553,-0.343,-0.582,0.619,0.114,0.097,0.046,-0.006,-0.045,-0.378,-0.646,-0.053,0.113,-0.341,-0.121,0.228,0.239,-0.016,0.114,-0.802,0.036,-0.205,0.234,0.354,0.216,-0.451,0.217,0.127,[204],22,29,21,3,,14
,[235],0.492,0.219,1.000,-0.202,-0.070,-0.109,0.335,-0.290,0.087,-0.423,0.083,-0.205,-0.185,-0.503,0.255,0.089,0.225,-0.093,0.328,-0.237,0.247,-0.216,0.323,-0.410,0.138,-0.385,-0.214,-0.189,0.341,0.118,0.192,0.419,-0.300,0.106,0.003,0.242,0.039,0.274,-0.665,0.659,-0.556,-0.465,0.299,-0.355,-0.679,0.013,0.575,-0.326,-0.288,-0.310,-0.280,0.054,0.263,-0.165,0.037,0.022,-0.048,-0.023,0.035,0.092,-0.513,0.055,0.315,-0.006,0.060,-0.144,-0.111,0.354,-0.036,-0.189,0.233,0.420,-0.045,-0.011,0.057,[235],33,28,13,1,,22
,[237],-0.426,-0.556,-0.202,1.000,-0.165,0.257,-0.497,0.492,-0.362,0.084,0.176,-0.210,0.458,0.229,0.226,-0.158,-0.210,0.297,-0.369,0.502,-0.364,0.112,-0.414,0.353,0.088,0.015,-0.188,0.329,-0.363,0.132,-0.094,0.051,-0.249,0.144,-0.180,-0.116,-0.322,-0.092,0.303,-0.030,0.157,0.121,-0.517,0.632,0.318,-0.517,-0.167,0.371,0.249,0.648,-0.527,-0.357,-0.125,-0.245,-0.173,0.085,0.395,0.285,-0.235,-0.118,-0.120,-0.094,-0.053,0.084,-0.135,-0.182,0.461,-0.080,0.227,-0.087,-0.264,-0.414,0.503,-0.072,-0.340,[237],32,27,15,1,,14
,[240],0.245,0.295,-0.070,-0.165,1.000,-0.535,-0.188,0.044,0.302,-0.259,-0.148,-0.198,-0.362,-0.109,-0.177,-0.061,0.112,-0.234,0.000,-0.474,0.478,0.303,0.421,-0.341,0.107,-0.143,0.160,0.367,0.212,0.008,-0.359,-0.381,0.125,-0.032,0.311,-0.035,0.013,-0.112,0.162,0.268,0.142,-0.158,0.425,-0.207,-0.045,0.341,0.051,-0.502,-0.287,-0.245,0.166,-0.174,-0.135,-0.036,-0.146,-0.281,-0.183,-0.052,-0.124,-0.126,0.151,0.062,0.203,0.219,0.058,0.393,-0.423,0.258,0.271,0.350,0.156,0.106,-0.248,0.310,0.191,[240],40,27,7,1,,14
,[243],-0.224,-0.295,-0.109,0.257,-0.535,1.000,-0.049,0.117,-0.098,0.128,0.267,-0.020,0.293,0.363,0.083,0.077,0.074,0.421,-0.165,0.442,-0.383,-0.161,-0.253,0.396,-0.114,0.338,-0.179,-0.271,-0.110,-0.007,0.424,0.509,0.174,0.055,-0.369,-0.142,-0.105,0.318,0.025,-0.222,0.181,0.186,-0.418,0.266,0.222,-0.485,-0.127,0.416,0.345,0.312,-0.201,-0.138,0.029,-0.129,-0.039,0.209,0.174,-0.089,-0.010,-0.174,-0.086,-0.102,-0.301,-0.486,-0.050,-0.431,0.377,-0.281,-0.420,-0.111,-0.185,-0.165,0.217,-0.298,-0.308,[243],37,26,11,1,,15
,[264],0.564,0.511,0.335,-0.497,-0.188,-0.049,1.000,-0.759,0.418,0.156,0.163,0.411,-0.200,-0.475,0.111,0.279,0.478,-0.285,0.715,-0.165,0.057,-0.237,0.126,-0.106,-0.206,0.043,-0.079,-0.534,0.417,-0.260,0.526,0.403,0.144,-0.406,0.037,0.372,0.411,0.425,-0.622,-0.002,-0.573,-0.059,0.232,-0.663,-0.425,0.229,0.495,-0.104,-0.351,-0.644,0.251,0.605,0.070,0.032,0.030,-0.134,-0.167,-0.197,0.068,-0.020,-0.276,-0.107,-0.143,-0.146,0.118,-0.376,-0.328,0.097,-0.432,-0.315,0.174,0.485,-0.172,-0.094,0.082,[264],33,16,23,3,,15
,[268],-0.551,-0.405,-0.290,0.492,0.044,0.117,-0.759,1.000,-0.315,-0.112,-0.029,-0.206,0.037,0.426,-0.213,-0.150,-0.303,0.213,-0.552,0.023,0.100,0.275,-0.282,-0.012,-0.039,-0.060,0.156,0.390,-0.218,0.027,-0.482,-0.378,-0.064,0.244,0.124,-0.338,-0.420,-0.342,0.512,-0.016,0.442,0.010,-0.079,0.579,0.315,-0.330,-0.361,-0.040,0.268,0.498,-0.228,-0.521,0.250,0.031,-0.034,0.383,0.274,0.090,-0.069,0.146,0.137,0.097,0.106,0.022,-0.064,0.103,0.147,0.006,0.366,0.274,-0.162,-0.435,0.034,-0.092,-0.145,[268],36,24,13,2,,24
,[272],0.574,0.509,0.087,-0.362,0.302,-0.098,0.418,-0.315,1.000,-0.102,0.399,0.025,-0.549,-0.188,-0.240,0.109,0.604,-0.074,0.413,-0.352,0.369,0.051,0.456,-0.410,-0.159,0.007,0.204,-0.173,0.434,-0.294,0.032,0.009,0.554,-0.342,0.033,0.181,0.525,0.471,-0.222,0.323,-0.169,-0.287,0.325,-0.716,-0.268,0.053,0.420,-0.433,-0.477,-0.655,0.115,0.129,-0.064,0.013,-0.113,-0.241,-0.281,-0.188,-0.170,-0.138,0.059,-0.295,0.140,-0.262,-0.231,-0.240,-0.521,0.432,-0.317,0.286,0.104,0.438,-0.090,0.077,0.167,[272],31,23,19,2,,15
,[273],-0.167,-0.256,-0.423,0.084,-0.259,0.128,0.156,-0.112,-0.102,1.000,-0.002,0.401,0.321,0.047,0.044,0.039,-0.140,0.032,-0.047,0.380,-0.552,-0.084,-0.214,0.482,-0.147,0.469,-0.114,-0.288,-0.175,-0.082,0.184,0.037,-0.139,-0.113,-0.269,0.235,0.293,-0.026,0.094,-0.682,0.004,0.547,-0.319,0.164,0.578,0.015,-0.227,0.469,0.365,0.174,0.108,0.437,-0.223,0.012,0.098,-0.091,0.347,0.242,0.153,-0.026,0.175,0.011,-0.466,-0.069,0.096,0.023,0.335,-0.147,-0.167,-0.085,-0.251,-0.069,0.040,-0.155,-0.012,[273],46,17,11,1,,26
