


,,[0],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[14],[15],[16],[19],[20],[22],[24],[25],[26],[28],[29],[30],[31],[32],[33],[36],[38],[58],[64],[67],[96],[127],[128],[129],[133],[141],[146],[150],[152],[153],[160],[161],[166],[172],[179],[184],[185],[192],[199],[224],[230],[288],[319],[422],[776],[790],[791],[808],[820],[822],[840],[841],[842],[852],[853],[855],[872],[883],[884],[886],[887],[918],[950],,0~0.2,0.2~0.4,0.4~0.7,0.7~1,,0~0.1
,[0],1.000,-0.154,0.100,0.311,0.077,-0.336,-0.176,0.082,0.151,-0.064,0.134,-0.084,0.015,0.106,0.014,-0.018,0.037,-0.259,0.089,-0.233,0.339,-0.016,0.200,-0.084,0.158,0.097,0.003,-0.056,0.021,0.012,0.244,0.046,-0.071,0.199,-0.143,-0.020,-0.010,0.130,0.133,0.144,0.035,0.324,0.042,-0.058,0.042,-0.002,-0.130,0.108,0.117,-0.030,0.148,0.075,-0.110,-0.159,-0.078,0.111,0.012,-0.033,0.144,-0.032,0.007,0.104,0.038,-0.048,-0.092,0.114,-0.166,-0.022,0.104,-0.081,0.011,0.457,0.000,0.023,[0],65,7,1,1,,40
,[2],-0.154,1.000,0.028,0.087,0.107,0.038,0.009,-0.127,-0.136,-0.144,0.016,-0.043,0.181,-0.070,-0.232,-0.143,-0.169,0.113,-0.257,0.178,-0.163,0.109,-0.196,-0.349,0.053,0.157,-0.105,-0.074,-0.138,0.000,-0.337,-0.048,0.036,-0.079,0.002,0.085,-0.033,0.106,0.192,-0.195,0.111,0.259,-0.076,-0.048,0.177,0.031,-0.066,-0.224,0.121,-0.228,0.019,0.228,-0.159,-0.145,0.028,0.065,-0.447,-0.316,-0.206,-0.031,0.258,0.034,-0.118,-0.014,0.103,-0.109,0.070,-0.035,0.019,0.134,-0.118,-0.029,-0.129,-0.120,[2],61,11,1,1,,30
,[3],0.100,0.028,1.000,-0.051,0.314,-0.145,0.094,-0.049,0.093,0.079,-0.098,0.047,-0.124,-0.092,0.056,-0.026,0.078,-0.052,-0.029,-0.070,0.079,0.178,0.156,0.271,0.160,-0.026,0.222,0.037,0.110,0.187,-0.078,0.033,-0.112,0.223,0.020,-0.044,-0.038,0.058,0.163,-0.206,-0.029,0.137,0.154,-0.028,0.316,-0.084,-0.112,0.161,0.091,-0.106,-0.081,-0.168,-0.152,-0.097,-0.191,0.045,-0.050,0.071,0.066,-0.274,-0.257,0.371,-0.100,0.291,-0.194,-0.011,-0.295,-0.026,0.178,0.227,-0.064,-0.137,-0.082,0.274,[3],60,13,0,1,,39
,[4],0.311,0.087,-0.051,1.000,-0.029,-0.087,-0.264,-0.061,0.256,-0.102,0.055,-0.351,-0.079,0.217,-0.233,0.067,0.246,-0.029,0.028,-0.009,0.118,-0.075,-0.129,-0.193,0.202,0.177,-0.258,-0.101,-0.062,0.177,-0.069,0.090,-0.082,0.206,-0.190,-0.033,-0.062,0.234,0.404,0.037,-0.056,0.213,0.136,-0.195,-0.035,-0.074,-0.097,0.134,0.126,0.120,0.030,-0.022,-0.072,-0.142,0.067,0.162,0.084,0.066,0.152,-0.088,-0.027,-0.121,0.107,-0.056,-0.188,-0.089,-0.250,0.026,0.100,0.115,0.052,0.312,0.060,-0.147,[4],58,14,1,1,,37
,[5],0.077,0.107,0.314,-0.029,1.000,-0.163,0.141,-0.258,0.076,0.150,-0.064,-0.055,0.014,0.220,0.019,-0.068,0.001,0.049,0.007,-0.178,0.147,-0.155,0.167,0.128,0.049,-0.056,0.052,0.039,0.091,-0.156,0.083,-0.028,0.145,0.064,0.066,0.262,-0.111,0.055,0.069,-0.049,-0.110,0.131,-0.071,0.118,0.181,-0.130,0.144,0.229,0.126,-0.219,0.023,0.017,-0.116,0.005,0.064,0.109,-0.100,0.078,-0.162,-0.095,-0.172,-0.058,-0.097,0.198,-0.013,0.005,0.048,-0.028,0.143,-0.060,-0.059,0.041,-0.208,0.269,[5],65,8,0,1,,40
,[6],-0.336,0.038,-0.145,-0.087,-0.163,1.000,0.190,-0.056,0.000,0.394,-0.015,-0.034,0.193,0.047,-0.025,0.045,-0.015,0.022,-0.017,0.363,-0.292,0.019,-0.150,0.109,-0.263,0.063,-0.135,-0.311,-0.305,-0.064,-0.179,0.065,0.199,0.125,-0.140,0.109,0.001,0.059,-0.316,-0.098,-0.124,-0.213,0.124,0.078,0.216,-0.276,0.013,-0.174,-0.216,-0.044,-0.052,-0.049,-0.133,-0.156,0.105,0.092,-0.043,-0.061,-0.207,-0.130,0.027,0.041,-0.170,-0.034,-0.134,-0.325,0.227,-0.026,-0.164,-0.020,-0.094,-0.154,0.007,-0.004,[6],58,15,0,1,,35
,[7],-0.176,0.009,0.094,-0.264,0.141,0.190,1.000,0.055,-0.020,0.227,0.060,0.176,0.243,-0.074,-0.028,-0.043,-0.080,0.186,-0.084,0.070,0.004,-0.072,0.155,0.240,-0.159,-0.080,0.098,0.136,0.070,0.213,-0.091,-0.152,0.163,0.002,-0.040,-0.003,-0.211,-0.001,-0.199,-0.064,-0.116,-0.131,-0.207,0.154,-0.062,-0.011,0.130,-0.058,-0.189,-0.027,-0.123,0.055,0.040,0.095,0.144,-0.074,0.071,-0.122,-0.125,-0.031,0.004,0.017,0.035,0.025,-0.135,-0.132,0.089,-0.167,-0.224,-0.118,0.079,-0.086,0.259,-0.214,[7],63,10,0,1,,39
,[8],0.082,-0.127,-0.049,-0.061,-0.258,-0.056,0.055,1.000,0.176,0.127,0.094,-0.003,0.063,0.140,0.055,0.199,-0.313,-0.040,0.170,-0.004,-0.115,-0.014,0.126,-0.048,0.113,-0.132,-0.001,0.158,0.164,-0.192,0.065,-0.255,-0.029,0.031,-0.117,-0.161,0.074,-0.183,-0.003,0.213,-0.029,-0.110,0.033,0.050,-0.341,0.116,-0.035,-0.070,-0.091,0.025,-0.277,-0.088,0.057,0.255,0.198,-0.039,-0.012,0.056,0.042,0.150,-0.016,0.083,0.023,-0.148,-0.046,-0.136,0.035,0.052,0.042,-0.009,0.205,-0.219,0.003,-0.026,[8],64,9,0,1,,42
,[9],0.151,-0.136,0.093,0.256,0.076,0.000,-0.020,0.176,1.000,0.120,0.053,-0.221,-0.066,-0.059,-0.288,-0.116,-0.122,-0.045,0.176,0.045,0.076,0.098,0.013,-0.069,0.113,-0.251,0.051,-0.223,-0.051,-0.014,0.136,-0.300,0.128,0.016,-0.042,0.042,0.004,0.176,0.048,-0.147,-0.230,-0.076,-0.012,0.099,-0.197,-0.169,-0.079,0.180,-0.072,0.198,-0.058,0.117,-0.253,-0.037,-0.074,0.229,0.263,0.070,0.044,-0.173,-0.258,0.157,0.227,0.211,-0.004,-0.206,-0.241,0.092,0.127,0.009,0.119,-0.213,-0.078,-0.135,[9],57,16,0,1,,35
,[10],-0.064,-0.144,0.079,-0.102,0.150,0.394,0.227,0.127,0.120,1.000,0.242,0.044,0.135,0.175,0.033,-0.006,-0.143,0.056,0.244,0.097,-0.192,-0.056,0.070,0.069,-0.257,0.196,-0.059,0.076,0.063,0.082,0.182,-0.182,0.283,0.289,-0.153,0.105,-0.192,0.012,-0.311,-0.098,-0.028,-0.186,0.071,-0.115,-0.061,-0.085,0.061,-0.142,-0.325,0.064,0.081,0.030,-0.146,0.172,0.306,-0.054,0.039,0.091,-0.317,-0.230,-0.195,-0.010,-0.087,0.006,-0.418,-0.280,-0.093,-0.070,-0.249,-0.353,0.200,0.009,-0.025,0.087,[10],56,16,1,1,,35
