



,,,[80],,,[70],,,[60],,,[50],,,[40],,,[30]

,[0],,23,31,,9,21,,8,19,,6,15,,5,13,,4,10

,[1],,11,27,,9,25,,6,20,,5,18,,3,14,,3,12

,[2],,18,31,,17,27,,6,18,,7,18,,3,13,,1,10

,[3],,99,99,,18,24,,8,20,,6,17,,5,16,,4,14

,[4],,15,30,,13,25,,6,19,,6,15,,3,12,,2,10

,[5],,99,99,,14,22,,13,20,,10,18,,8,17,,5,12

,[6],,14,33,,10,25,,6,17,,5,15,,4,12,,4,10

,[7],,17,28,,16,24,,5,18,,5,15,,4,12,,4,9

,[8],,20,30,,6,24,,4,18,,3,12,,2,11,,2,9

,[9],,26,29,,19,23,,13,17,,10,15,,9,13,,8,12

,[10],,19,29,,14,24,,8,19,,7,17,,7,17,,3,11

,[11],,99,99,,10,21,,10,18,,7,14,,2,11,,2,11

,[12],,21,26,,15,23,,10,20,,10,20,,8,17,,6,11

,[13],,17,26,,13,18,,12,16,,12,15,,10,13,,8,11

,[14],,17,30,,9,24,,5,16,,4,15,,3,10,,3,8

,[15],,99,99,,18,24,,10,19,,8,17,,6,12,,4,7

,[16],,25,28,,20,23,,14,19,,9,16,,6,12,,4,8

,[17],,19,28,,16,23,,14,20,,12,17,,9,15,,8,11

,[18],,18,30,,14,25,,13,20,,10,18,,7,16,,8,16

,[19],,24,30,,17,25,,14,20,,9,16,,8,13,,7,10

,[20],,10,28,,9,23,,4,14,,4,12,,3,9,,3,7

,[21],,16,24,,11,19,,8,14,,7,12,,5,9,,5,6

,[22],,16,31,,14,27,,9,21,,4,14,,3,12,,3,10

,[23],,25,27,,15,23,,11,18,,9,15,,8,14,,7,11

,[24],,20,27,,14,21,,9,15,,7,13,,6,10,,3,7

,[25],,99,99,,99,99,,99,99,,99,99,,3,15,,2,11

,[26],,21,31,,10,23,,6,17,,6,15,,5,15,,5,13

,[27],,99,99,,99,99,,12,15,,11,13,,11,11,,6,6

,[28],,16,32,,8,24,,3,19,,3,18,,2,14,,2,11

,[29],,24,32,,10,23,,7,16,,6,13,,5,10,,5,9

,[30],,27,32,,9,22,,6,17,,5,14,,5,12,,5,9

,[31],,99,99,,99,99,,14,20,,10,17,,10,15,,6,12

,[32],,17,31,,9,22,,4,18,,4,16,,3,13,,2,7

,[33],,20,33,,12,24,,8,21,,7,17,,6,15,,3,9

,[34],,20,25,,11,19,,6,13,,6,12,,5,12,,4,9

,[35],,18,20,,7,15,,5,11,,3,9,,3,8,,3,7

,[36],,27,28,,7,18,,7,16,,5,14,,4,13,,4,11

,[37],,21,29,,15,24,,11,20,,10,18,,9,17,,7,15

,[38],,18,33,,7,21,,5,16,,5,13,,3,12,,3,10

,[39],,22,29,,13,21,,11,18,,12,18,,11,15,,8,10

,[40],,20,22,,99,99,,99,99,,99,99,,99,99,,99,99

,[41],,23,24,,18,19,,17,18,,10,12,,9,9,,6,8

,[42],,99,99,,13,18,,11,17,,9,14,,5,11,,4,10

,[43],,99,99,,19,20,,16,17,,13,15,,9,13,,9,10

,[44],,13,21,,12,16,,11,15,,9,12,,8,10,,6,6

,[45],,22,27,,18,20,,14,15,,13,14,,10,12,,8,9

,[46],,23,23,,15,16,,12,13,,11,11,,99,99,,99,99

,[47],,17,23,,16,21,,12,17,,11,14,,11,14,,9,12

,[48],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[49],,21,24,,14,16,,11,14,,10,13,,10,11,,8,8

,[50],,16,24,,13,19,,13,17,,12,16,,13,15,,9,11

,[51],,18,26,,15,22,,12,18,,13,18,,9,16,,8,12

,[52],,10,22,,10,16,,7,14,,7,14,,6,10,,5,8

,[53],,22,24,,15,16,,99,99,,99,99,,99,99,,99,99

,[54],,99,99,,18,20,,13,17,,13,15,,8,10,,5,7

,[55],,15,28,,11,18,,7,11,,6,9,,5,7,,99,99

,[56],,18,25,,12,20,,10,15,,9,14,,9,12,,6,8

,[57],,25,28,,13,23,,10,19,,10,18,,9,14,,6,12

,[58],,18,26,,12,20,,11,17,,7,15,,6,12,,4,10

,[59],,12,25,,11,22,,9,19,,9,19,,7,16,,7,14

,[60],,15,24,,14,23,,11,20,,10,19,,8,16,,6,11

,[61],,99,99,,99,99,,13,16,,11,13,,9,10,,7,7

,[62],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[63],,99,99,,15,19,,13,17,,9,13,,7,10,,5,7

,[64],,25,30,,7,17,,7,16,,6,14,,6,13,,4,10

,[65],,14,30,,10,25,,10,22,,9,20,,5,16,,4,15

,[66],,16,26,,11,20,,10,19,,8,15,,7,14,,6,11

,[67],,14,27,,9,23,,4,17,,4,14,,4,11,,3,9

,[68],,23,23,,15,19,,14,18,,12,16,,11,15,,8,13

,[69],,20,28,,14,23,,13,22,,11,15,,6,12,,5,9

,[70],,20,28,,11,19,,10,18,,8,16,,8,14,,6,11

,[71],,11,21,,12,20,,5,13,,5,11,,4,9,,3,6

,[72],,11,15,,10,12,,6,9,,6,8,,5,6,,4,4

,[73],,14,19,,9,13,,6,10,,5,8,,4,6,,3,3

,[74],,14,14,,99,99,,99,99,,99,99,,99,99,,99,99

,[75],,14,14,,99,99,,99,99,,99,99,,99,99,,3,4

,[76],,8,10,,5,7,,4,5,,3,4,,1,2,,0,1

,[77],,19,22,,17,19,,12,14,,11,13,,9,10,,10,10

,[78],,18,25,,15,21,,12,17,,12,17,,10,14,,9,10

,[79],,18,24,,13,19,,12,17,,10,12,,99,99,,99,99

,[80],,16,22,,14,19,,12,17,,12,17,,9,13,,6,9

,[81],,14,14,,99,99,,99,99,,99,99,,99,99,,99,99

,[82],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[83],,99,99,,12,12,,99,99,,99,99,,99,99,,99,99

,[84],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[85],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[86],,13,17,,8,12,,8,10,,7,10,,7,10,,4,8

,[87],,18,20,,10,14,,7,10,,3,5,,3,4,,0,0

,[88],,17,17,,12,13,,7,10,,5,8,,6,7,,3,4

,[89],,15,18,,12,14,,10,12,,9,9,,99,99,,99,99

,[90],,19,24,,16,17,,99,99,,99,99,,10,10,,99,99

,[91],,16,26,,12,21,,9,16,,7,13,,7,12,,4,8

,[92],,19,21,,15,16,,12,12,,99,99,,7,7,,4,6

,[93],,99,99,,19,21,,15,17,,16,17,,15,15,,7,10

,[94],,13,23,,9,17,,8,16,,7,13,,5,11,,3,6

,[95],,99,99,,17,18,,14,15,,9,13,,8,12,,6,10

,[96],,18,34,,11,27,,7,22,,6,17,,6,15,,3,10

,[97],,20,28,,14,20,,10,15,,10,15,,6,12,,6,12

,[98],,15,29,,9,21,,7,19,,6,15,,4,12,,4,11

,[99],,18,23,,13,19,,9,16,,10,16,,10,16,,6,11

,[100],,19,22,,17,18,,9,15,,7,13,,6,11,,5,7

,[101],,18,20,,16,18,,15,15,,11,12,,8,11,,8,10

,[102],,99,99,,11,20,,10,18,,6,14,,5,11,,5,10

,[103],,18,25,,9,17,,8,13,,6,10,,5,10,,4,7

,[104],,18,22,,12,16,,7,12,,5,11,,5,8,,4,5

,[105],,21,25,,18,23,,12,17,,11,16,,8,14,,6,10

,[106],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[107],,21,25,,17,22,,12,17,,12,16,,9,13,,7,10

,[108],,99,99,,99,99,,99,99,,16,17,,14,15,,12,14

,[109],,19,20,,14,15,,13,13,,13,13,,11,11,,9,10

,[110],,12,14,,10,10,,99,99,,99,99,,99,99,,99,99

,[111],,99,99,,99,99,,99,99,,99,99,,99,99,,6,6

,[112],,99,99,,99,99,,99,99,,10,13,,10,12,,6,6

,[113],,9,19,,7,13,,7,12,,6,9,,5,7,,5,7

,[114],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[115],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[116],,99,99,,24,24,,23,23,,15,21,,12,20,,9,17

,[117],,17,17,,99,99,,99,99,,99,99,,99,99,,99,99

,[118],,99,99,,99,99,,18,19,,16,16,,99,99,,7,12

,[119],,17,23,,13,17,,12,15,,11,11,,99,99,,99,99

,[120],,9,14,,6,11,,4,7,,4,6,,3,5,,3,4

,[121],,17,23,,9,18,,8,13,,7,11,,7,10,,6,7

,[122],,24,25,,18,18,,99,99,,11,13,,8,10,,7,7

,[123],,21,25,,13,20,,11,17,,9,15,,7,13,,5,10

,[124],,20,26,,16,22,,9,17,,9,13,,9,12,,7,10

,[125],,20,22,,18,18,,99,99,,99,99,,12,12,,9,10

,[126],,21,25,,18,21,,10,17,,10,17,,10,16,,5,10

,[127],,19,23,,16,21,,16,20,,13,18,,13,18,,9,14

,[128],,25,32,,15,25,,8,18,,5,13,,4,12,,1,7

,[129],,21,31,,12,24,,8,20,,7,19,,6,16,,5,12

,[130],,11,25,,9,21,,8,17,,6,14,,5,13,,5,12

,[131],,18,20,,12,17,,9,12,,99,99,,8,8,,99,99

,[132],,18,26,,13,22,,11,20,,10,16,,10,16,,6,11

