
basis : 14, 39, 59


 [0]  dct:130.593750  a:130.593750  b:133.609375  c:131.796875   (0)    [14]:-0.148427, [39]:-0.713445, [59]:-0.344200
 [1]  dct:78.890625  a:78.890625  b:78.890625  c:78.890625   (0)    [14]:0.199003, [39]:0.069148, [59]:0.089594
 [2]  dct:91.656250  a:92.218750  b:91.656250  c:91.500000   (3)    [14]:0.982376, [39]:-0.111969, [59]:-0.230405
 [3]  dct:84.343750  a:83.984375  b:83.781250  c:83.875000   (2)    [14]:0.656594, [39]:-0.533033, [59]:-0.385211
 [4]  dct:90.421875  a:90.718750  b:90.140625  c:89.171875   (3)    [14]:0.482681, [39]:-0.291689, [59]:-0.655708
 [5]  dct:87.468750  a:87.453125  b:87.468750  c:85.671875   (3)    [14]:0.800338, [39]:-0.117449, [59]:-0.368302
 [6]  dct:89.671875  a:89.812500  b:89.687500  c:88.953125   (3)    [14]:0.509811, [39]:-0.225674, [59]:-0.662397
 [7]  dct:69.875000  a:70.484375  b:69.875000  c:85.015625   (0)    [14]:1.023251, [39]:0.048691, [59]:-0.778807
 [8]  dct:67.906250  a:67.906250  b:67.906250  c:69.343750   (0)    [14]:0.276674, [39]:-0.136371, [59]:-0.782431
 [9]  dct:82.406250  a:82.406250  b:82.421875  c:86.531250   (0)    [14]:0.196488, [39]:-0.228491, [59]:-0.767354
 [10]  dct:74.234375  a:74.250000  b:74.234375  c:77.828125   (0)    [14]:0.688066, [39]:-0.077917, [59]:-0.576224
 [11]  dct:71.296875  a:71.093750  b:71.296875  c:73.890625   (1)    [14]:0.455200, [39]:0.147256, [59]:-0.689555
 [12]  dct:56.406250  a:56.406250  b:56.406250  c:53.484375   (3)    [14]:0.110573, [39]:-0.087807, [59]:-0.797588
 [13]  dct:68.250000  a:68.250000  b:68.234375  c:73.640625   (2)    [14]:0.199533, [39]:0.235230, [59]:-1.093330
 [14]  dct:64.843750  a:64.640625  b:64.843750  c:69.687500   (1)    [14]:0.946113, [39]:0.134329, [59]:-0.944720
 [15]  dct:40.593750  a:40.593750  b:41.296875  c:47.031250   (0)    [14]:0.008098, [39]:0.458225, [59]:-0.955273
 [16]  dct:52.750000  a:52.750000  b:49.343750  c:77.890625   (2)    [14]:0.350540, [39]:0.737961, [59]:-1.399232
 [17]  dct:41.796875  a:41.750000  b:40.703125  c:40.218750   (3)    [14]:-0.213183, [39]:0.588092, [59]:-0.599447
 [18]  dct:68.140625  a:67.859375  b:68.140625  c:71.906250   (1)    [14]:0.576797, [39]:0.208424, [59]:-0.733664
 [19]  dct:47.109375  a:46.843750  b:47.000000  c:52.406250   (1)    [14]:0.753244, [39]:0.225617, [59]:-0.870593
 [20]  dct:54.859375  a:55.000000  b:54.968750  c:108.671875   (0)    [14]:0.740148, [39]:0.264471, [59]:-1.809391
 [21]  dct:57.734375  a:57.875000  b:58.265625  c:59.500000   (0)    [14]:0.798500, [39]:0.781254, [59]:-0.630556
 [22]  dct:55.390625  a:54.906250  b:53.453125  c:70.312500   (2)    [14]:-0.416431, [39]:0.904119, [59]:-1.020881
 [23]  dct:34.171875  a:34.171875  b:24.125000  c:28.171875   (2)    [14]:0.389752, [39]:1.719519, [59]:-0.504377
