ICA_Basis,0.005379,,,,,,,,,,,,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,
100,4.239593,4.239593,0,0,0,0,#NAME?,,4.239593,4.239593,,0,,0
90,1.506372,1.506372,0,0,0,0,#NAME?,,1.506372,1.506372,,0,,0
80,1.068409,1.067902,0.000262,2,0.000218,2,1,,1.068382,1.07914,,2.7E-05,,0.00501952
70,0.922191,0.920967,0.000571,5,0.000546,5,1,,0.922084,0.948979,,0.000107,,0.019892173
60,0.813768,0.812385,0.000707,6,0.000655,6,1,,0.813747,0.846021,,2.1E-05,,0.003904071
50,0.731011,0.729012,0.000992,9,0.000982,9,1,,0.730986,0.779397,,2.5E-05,,0.004647704
40,0.637022,0.628596,0.003327,30,0.003273,20,1,,0.635196,0.742776,,0.001826,,0.339468303
30,0.520672,0.50097,0.006648,60,0.006547,29,1,,0.514165,0.670156,,0.006507,,1.209704406
20,0.379917,0.34437,0.012827,119,0.012985,36,1,,0.370182,0.563826,,0.009735,,1.809815951
10,0.221545,0.175929,0.019002,191,0.020841,44,1,,0.215772,0.452448,,0.005773,,1.073247816
