
ICA_Basis,0.054453
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,Result
100,5.608221,3.494457,2.542455,395.000000,0.041420,64.000000,52.359494,,=(B4-C4-F4)/((D4/E4)+$B$2)
90,2.556014,0.669624,2.058332,686.000000,0.071934,64.000000,24.686589,,=(B5-C5-F5)/((D5/E5)+$B$2)
80,1.620403,0.408066,1.275662,686.000000,0.071934,64.000000,15.469388,,=(B6-C6-F6)/((D6/E6)+$B$2)
70,1.340299,0.343232,0.931914,680.000000,0.071305,64.000000,11.475000,,=(B7-C7-F7)/((D7/E7)+$B$2)
60,1.174598,0.310075,0.712712,665.000000,0.069732,64.000000,9.060150,,=(B8-C8-F8)/((D8/E8)+$B$2)
50,1.060170,0.300676,0.571599,649.000000,0.068054,64.000000,7.471495,,=(B9-C9-F9)/((D9/E9)+$B$2)
40,0.913997,0.264209,0.460053,645.000000,0.067635,64.000000,6.085271,,=(B10-C10-F10)/((D10/E10)+$B$2)
30,0.711139,0.205885,0.343326,653.000000,0.068473,64.000000,4.519142,,=(B11-C11-F11)/((D11/E11)+$B$2)
20,0.486442,0.154824,0.210445,674.000000,0.070675,64.000000,2.707715,,=(B12-C12-F12)/((D12/E12)+$B$2)
10,0.257417,0.074962,0.070508,770.000000,0.080742,64.000000,0.807792,,=(B13-C13-F13)/((D13/E13)+$B$2)
