ICA_Basis,0.053577,,,,,,,,,,,,,,,,,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,PSNR,,,DCT,,
100,4.239593,4.16532,0.001506,18,0.001964,1,0.611111,,4.16879,4.222367,,0.017226,,42.59,,,Q,entropy,PSNR
90,1.506372,1.278005,0.018452,105,0.011457,3,1.961905,,1.307914,1.468645,,0.037727,,28.34,,,10,0.211907,22.432924
80,1.068409,0.778831,0.026713,193,0.02106,4,1.393782,,0.826604,1.040912,,0.027497,,25.64,,,20,0.470762,25.107628
70,0.922191,0.601616,0.04022,269,0.029352,5,1.64684,,0.671188,0.939073,,-0.016882,,25.27,,,30,0.680109,26.912395
60,0.813768,0.483983,0.039632,315,0.034372,5,1.292063,,0.557987,0.825872,,-0.012104,,24.18,,,40,0.846249,28.243827
50,0.731011,0.405072,0.03479,356,0.038846,5,1.014045,,0.478708,0.746593,,-0.015582,,23.7,,,50,0.98882,29.289903
40,0.637022,0.336888,0.02396,393,0.042883,4,0.704835,,0.403731,0.618039,,0.018983,,23.53,,,60,1.126235,30.315314
30,0.520672,0.259191,0.014123,437,0.047684,3,0.290618,,0.320998,0.481729,,0.038943,,22.75,,,70,1.313086,31.698204
20,0.379917,0.172267,0.004059,530,0.057832,2,0.066038,,0.234158,0.341312,,0.038605,,22.14,,,80,1.579745,33.615789
10,0.221545,0.082466,0.000979,694,0.075727,1,0.011527,,0.159172,0.212749,,0.008796,,21.44,,,90,2.12617,36.988338
,,,,,,,,,,,,,,,,,100,4.170307,49.507325
