ICA_Basis,0.005379,,,,,,,,,,,,,,,,,DCT単独,,,,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,,,,,Q,entropy,PSNR,,,
100,4.239593,4.239593,0,0,0,0,#NAME?,,4.239593,4.239593,0,0,,0,,49.51,,10,0.221545,22.432924,,,
90,1.506372,1.505842,0,2,0.000218,0,0,,1.50606,1.50606,0.000312,0.000312,,0.058003346,,36.99,,20,0.379917,25.107628,,,
80,1.068409,1.06675,0,9,0.000982,0,0,,1.067732,1.067732,0.000677,0.000677,,0.125859825,,33.62,,30,0.520672,26.912395,,,
70,0.922191,0.919312,0,18,0.001964,0,0,,0.921276,0.921276,0.000915,0.000915,,0.170105968,,31.7,,40,0.637022,28.243827,,,
60,0.813768,0.81031,0,22,0.002401,0,0,,0.812711,0.812711,0.001057,0.001057,,0.196504927,,30.32,,50,0.731011,29.289903,,,
50,0.731011,0.726134,0,34,0.00371,0,0,,0.729844,0.729844,0.001167,0.001167,,0.216954824,,29.3,,60,0.813768,30.315314,,,
40,0.637022,0.631056,0,41,0.004474,0,0,,0.63553,0.63553,0.001492,0.001492,,0.277374977,,28.25,,70,0.922191,31.698204,,,
30,0.520672,0.51204,0,57,0.00622,0,0,,0.51826,0.51826,0.002412,0.002412,,0.448410485,,26.92,,80,1.068409,33.615789,,,
20,0.379917,0.357046,0.001275,146,0.015931,1,0.075342,,0.374252,0.379631,0.000286,0.005665,,1.053169734,,25.17,,90,1.506372,36.988338,,,
10,0.221545,0.158558,0.00257,421,0.045938,2,0.090261,,0.207066,0.217824,0.003721,0.014479,,2.691764268,,22.69,,100,4.239593,49.507325,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Step2(基底0個の領域)＝スライド16,,,,,,,,,,,
,,,,,,,,,,,,4.239593,49.51,,,,,,,,,,
,,,,,,,,,,,,1.50606,36.99,,,DCT,,,,,,,
,,,,,,,,,,,,1.067732,33.62,,,Step2(基底0と選出基底の領域１)=選出後,,,,,,,
,,,,,,,,,,,,0.921276,31.7,,,,,,,,,,
,,,,,,,,,,,,0.812711,30.32,,,Step2(基底0と基底1の領域)＝選出前,,,,Step1(付加情報なし)＝スライド15,,,
,,,,,,,,,,,,0.729844,29.3,,,,,,,,,,
,,,,,,,,,,,,0.63553,28.25,,,,,,,,,,
,,,,,,,,,,,,0.51826,26.92,,,,49.51,4.239593,4.239593,,49.52,4.270565,4.614821
,,,,,,,,,,,,0.375318,25.15,,,,36.99,1.50606,1.50606,,37.03,1.587748,1.932004
,,,,,,,,,,,,0.209893,22.61,,,,33.62,1.067704,1.078462,,33.73,1.145155,1.489411
,,,,,,,,,,,,,,,,,31.7,0.921168,0.948063,,31.84,0.971737,1.315993
,,,,,,,,,,,,,,,,,30.32,0.812688,0.844962,,30.49,0.845003,1.189259
,,,,,,,,,,,,,,,,,29.3,0.729819,0.77823,,29.5,0.743475,1.087731
,,,,,,,,,,,,,,,,,28.26,0.633704,0.741284,,28.49,0.628612,0.972868
,,,,,,,,,,,,,,,,,26.96,0.511753,0.667744,,27.21,0.503017,0.847273
,,,,,,,,,,,,,,,,,25.35,0.365583,0.559227,,25.61,0.363857,0.702734
,,,,,,,,,,,,,,,,,22.98,0.20412,0.440796,,23.14,0.207451,0.497917
