



100,basis,psnr_ave,ent_ave,area_num



90,basis,psnr_ave,ent_ave,area_num



80,basis,psnr_ave,ent_ave,area_num
,6,0.297069,0.000069,1
,32,0.430936,-0.000042,1



70,basis,psnr_ave,ent_ave,area_num
,6,0.951128,0.000046,1
,10,0.230653,-0.000039,1
,23,0.724627,0.000009,1
,34,0.245052,0.000120,1
,43,0.045161,-0.000027,1



60,basis,psnr_ave,ent_ave,area_num
,6,0.630864,0.000040,1
,10,0.673226,-0.000034,1
,11,0.402830,-0.000000,1
,22,1.415504,-0.000018,1
,23,1.469436,0.000006,1
,35,0.275835,0.000028,1



50,basis,psnr_ave,ent_ave,area_num
,6,0.783263,-0.000007,1
,10,0.489046,-0.000032,1
,11,0.898432,-0.000007,1
,17,0.147668,0.000062,1
,18,0.588350,0.000037,1
,19,1.029067,-0.000047,1
,22,0.332270,-0.000020,1
,23,0.365038,0.000047,1
,56,0.188612,-0.000008,1



40,basis,psnr_ave,ent_ave,area_num
,5,0.184363,0.000109,1
,11,0.736862,-0.000052,1
,14,0.325213,0.000125,1
,17,0.487513,-0.000027,1
,18,0.910291,0.000232,2
,19,0.455252,-0.000048,1
,22,0.989171,-0.000017,4
,23,0.967494,0.000008,5
,24,0.171018,-0.000010,1
,32,0.247008,0.000019,1
,36,0.029926,-0.000054,1
,39,0.103719,0.000013,2
,40,0.044285,0.000372,1
,42,0.660144,0.000032,1
,43,0.151434,0.000431,2
,45,0.041560,-0.000018,1
,49,0.412687,0.000061,1
,52,0.214687,0.000038,1
,53,1.976905,-0.000016,1
,60,0.739366,-0.000027,1



30,basis,psnr_ave,ent_ave,area_num
,2,0.284560,0.000137,1
,6,0.245579,-0.000021,1
,8,0.076344,-0.000014,1
,10,0.443265,0.000028,2
,11,0.716237,-0.000059,1
,12,0.676370,0.000496,1
,14,0.432362,0.000079,2
,18,0.847952,0.000175,2
,20,0.363092,0.000064,1
,22,1.694493,-0.000015,8
,23,1.048460,-0.000003,4
,24,0.773764,-0.000012,2
,25,0.257776,0.000207,1
,28,0.345245,0.000390,2
,29,0.509288,0.000281,1
,31,0.772180,0.000015,2
,32,0.215575,-0.000060,1
,36,1.130473,-0.000053,1
,39,0.331731,0.000006,4
,40,0.973651,0.000026,2
,41,0.693107,0.000680,3
,43,0.875581,0.000275,7
,47,0.365711,0.000108,1
,49,0.190086,-0.000032,1
,50,0.192458,0.000067,1
,53,2.357716,-0.000017,1
,56,1.703843,-0.000020,1
,60,0.344065,0.000103,2
,63,0.894085,-0.000014,3



20,basis,psnr_ave,ent_ave,area_num
,2,1.576517,0.000031,3
,3,0.497051,-0.000029,3
,4,0.315596,-0.000024,1
,6,1.275277,-0.000022,1
,7,0.132453,-0.000049,1
,10,1.144765,0.000106,2
,12,1.198370,0.000197,6
,13,0.245806,-0.000052,1
,14,1.298428,0.000035,1
,17,1.128300,0.000014,4
,18,0.644552,0.000179,6
,19,0.192416,-0.000007,1
,20,0.837957,-0.000017,2
,22,1.006655,-0.000007,12
,23,0.801621,-0.000009,6
,25,0.467854,0.000108,2
,28,1.322822,0.000144,5
,29,0.965033,0.000018,4
,31,0.669925,0.000019,3
,34,0.130538,0.000052,2
,38,0.184380,0.000020,1
,39,0.744012,0.000010,9
,40,1.324366,0.000272,9
,41,2.104186,0.000224,6
,42,1.645189,0.000354,1
,43,1.493472,0.000097,11
,45,0.491119,-0.000054,1
,46,2.191586,0.000143,1
,48,0.321325,-0.000060,1
,50,0.747799,0.000124,4
,51,0.570586,-0.000038,1
,52,0.014335,0.000038,1
,54,0.026578,0.000068,1
,55,2.487975,0.000499,1
,60,0.370464,-0.000029,2
,63,1.132048,-0.000013,3



10,basis,psnr_ave,ent_ave,area_num
,2,1.070196,0.000009,3
,3,0.879403,-0.000045,2
,4,0.157152,-0.000023,1
,5,0.476049,-0.000060,1
,7,0.324387,-0.000012,1
,10,0.896646,0.000019,6
,11,0.169872,0.000232,1
,12,1.448487,-0.000012,6
,14,1.392802,-0.000024,4
,16,2.203195,0.000017,1
,17,1.150391,-0.000042,3
,18,1.023744,0.000119,13
,19,1.187827,-0.000054,2
,20,0.319435,-0.000033,2
,22,1.555819,0.000007,16
,23,0.408401,0.000023,5
,24,0.154125,-0.000057,1
,25,0.452686,0.000014,2
,27,0.074643,-0.000029,1
,28,1.673755,0.000007,2
,30,0.425617,0.000098,1
,31,0.876276,0.000067,5
,34,0.829379,0.000035,18
,36,0.279127,-0.000058,1
,38,0.226883,-0.000057,1
,39,0.700621,0.000027,10
,40,1.688671,0.000123,22
,41,3.286008,-0.000005,5
,42,1.214339,0.000116,2
,43,2.390530,-0.000022,4
,44,0.217776,0.000029,1
,46,0.777987,0.000014,3
,48,0.177197,-0.000057,2
,49,0.346369,-0.000061,1
,50,1.087990,0.000059,6
,51,0.859364,-0.000006,14
,52,1.320151,0.000026,1
,53,0.691030,0.000022,9
,55,2.715900,0.000004,2
,56,0.670902,-0.000023,1
,58,1.157965,-0.000016,1
,60,0.592456,-0.000032,1
,62,0.657472,-0.000004,3
,63,0.662028,-0.000016,4
