



100,basis,psnr_ave,ent_ave,area_num



90,basis,psnr_ave,ent_ave,area_num
,6,1.234400,0.000404,3
,14,0.175852,0.000302,2
,17,0.831474,0.000046,1
,22,0.364293,-0.000018,1
,29,0.290850,0.000247,1
,32,1.442439,0.000045,1
,33,0.319692,0.000119,1
,36,0.165993,0.000305,1
,40,0.722647,0.000252,2
,42,0.180982,0.000157,1
,45,1.443768,-0.000010,1
,50,0.083521,0.000174,1
,51,0.696359,0.000052,1
,52,0.654160,0.000159,1
,53,0.599979,0.000039,1
,54,1.249387,0.000110,1
,55,1.104319,0.000156,2
,58,1.457076,0.000227,2
,59,1.638568,0.000043,1
,61,3.227492,0.000064,1
,62,0.609564,-0.000010,1



80,basis,psnr_ave,ent_ave,area_num
,0,0.280132,0.000059,2
,3,0.382645,0.000023,1
,5,0.496201,-0.000056,1
,6,1.623478,-0.000054,2
,7,0.199966,0.000025,1
,8,0.188341,0.000039,1
,10,1.054698,0.000021,1
,13,0.261702,0.000011,1
,14,0.833608,0.000111,3
,18,0.264222,-0.000070,2
,20,0.412570,0.000014,1
,26,1.010440,0.000041,3
,27,3.950162,0.000166,6
,29,3.578277,0.000146,4
,32,2.583543,-0.000010,3
,33,0.783298,-0.000008,2
,36,1.036260,-0.000042,1
,40,3.611538,0.000037,5
,42,1.207972,0.000113,3
,43,0.525998,0.000029,1
,44,0.184122,0.000033,1
,45,0.180564,0.000027,1
,46,0.610540,0.000010,1
,47,0.098868,-0.000051,1
,48,0.160868,0.000034,1
,49,0.013636,-0.000024,1
,52,1.334130,-0.000051,1
,53,2.206427,-0.000047,3
,54,0.436075,0.000188,2
,55,0.827344,-0.000055,2
,57,0.483047,0.000013,1
,58,1.463979,0.000002,2
,60,1.007163,-0.000031,4
,61,6.250383,0.000151,7
,62,3.978934,-0.000019,3
,63,0.972646,-0.000069,2



70,basis,psnr_ave,ent_ave,area_num
,6,1.846995,-0.000113,3
,7,1.818569,-0.000015,2
,8,1.457662,0.000111,2
,10,3.110347,-0.000077,3
,13,0.082951,-0.000022,1
,14,2.086270,-0.000016,2
,16,0.633870,-0.000063,1
,18,0.858210,-0.000012,1
,20,0.232454,-0.000022,1
,21,1.038589,0.000038,1
,22,0.818416,-0.000012,1
,25,0.837908,-0.000036,4
,26,0.774897,0.000024,1
,27,3.448155,0.000069,3
,29,0.649408,-0.000040,1
,32,0.377022,-0.000046,1
,33,1.966994,-0.000066,3
,40,2.569395,0.000047,5
,41,0.652358,0.000041,1
,42,0.387526,-0.000017,1
,43,1.430671,0.000036,2
,45,0.733379,-0.000003,1
,48,1.360621,-0.000042,1
,53,2.134600,-0.000021,2
,55,0.717134,0.000016,2
,57,1.567172,-0.000035,2
,58,1.781958,0.000035,3
,59,0.711756,-0.000012,1
,60,0.015002,-0.000030,1
,61,4.050440,0.000122,7
,62,0.050063,0.000039,1
,63,0.534758,-0.000013,1



60,basis,psnr_ave,ent_ave,area_num
,0,1.404509,0.000041,1
,2,0.031021,-0.000052,1
,6,2.259218,-0.000111,3
,7,0.396806,-0.000007,1
,8,0.907573,0.000001,1
,10,0.930033,-0.000010,1
,17,1.497172,-0.000022,2
