



100,basis,psnr_ave,ent_ave,area_num



90,basis,psnr_ave,ent_ave,area_num



80,basis,psnr_ave,ent_ave,area_num
,6,0.297069,0.000069,1
,32,-0.353059,-0.000042,1



70,basis,psnr_ave,ent_ave,area_num
,6,0.951128,0.000046,1
,10,-0.546512,-0.000039,1
,23,0.724627,0.000009,1
,34,-1.550102,0.000120,1
,43,0.045161,-0.000027,1



60,basis,psnr_ave,ent_ave,area_num
,6,-1.358787,0.000040,1
,10,0.673226,-0.000034,1
,11,-0.859111,-0.000000,1
,22,1.415504,-0.000018,1
,23,1.469436,0.000006,1
,35,-0.810333,0.000028,1



50,basis,psnr_ave,ent_ave,area_num
,6,0.783263,-0.000007,1
,10,0.489046,-0.000032,1
,11,-0.363509,-0.000007,1
,17,0.147668,0.000062,1
,18,-0.777597,0.000037,1
,19,-0.931063,-0.000047,1
,22,0.332270,-0.000020,1
,23,-1.851829,0.000047,1
,56,-2.108534,-0.000008,1



40,basis,psnr_ave,ent_ave,area_num
,5,-1.757301,0.000109,1
,11,-0.525079,-0.000052,1
,14,-0.215452,0.000125,1
,17,-2.281077,-0.000027,1
,18,0.910291,0.000232,2
,19,-1.504879,-0.000048,1
,22,0.989171,-0.000017,4
,23,0.967494,0.000008,5
,24,-0.752276,-0.000010,1
,32,-1.251997,0.000019,1
,36,-1.140867,-0.000054,1
,39,0.103719,0.000013,2
,40,0.044285,0.000372,1
,42,-0.060992,0.000032,1
,43,0.151434,0.000431,2
,45,-1.197375,-0.000018,1
,49,-1.311711,0.000061,1
,52,-0.841566,0.000038,1
,53,-0.763758,-0.000016,1
,60,-0.095343,-0.000027,1



30,basis,psnr_ave,ent_ave,area_num
,2,0.284560,0.000137,1
,6,-1.019145,-0.000021,1
,8,-0.650009,-0.000014,1
,10,0.443265,0.000028,2
,11,-0.545704,-0.000059,1
,12,-1.224535,0.000496,1
,14,-0.747748,0.000079,2
,18,0.847952,0.000175,2
,20,-0.921491,0.000064,1
,22,-1.493479,-0.000015,8
,23,1.048460,-0.000003,4
,24,-0.408449,-0.000012,2
,25,-1.330312,0.000207,1
,28,-2.047539,0.000390,2
,29,-2.221241,0.000281,1
,31,-0.838502,0.000015,2
,32,-1.283429,-0.000060,1
,36,-0.040319,-0.000053,1
,39,0.331731,0.000006,4
,40,0.973651,0.000026,2
,41,0.693107,0.000680,3
,43,-2.779534,0.000275,7
,47,-0.417952,0.000108,1
,49,-1.534312,-0.000032,1
,50,-0.806789,0.000067,1
,53,-0.382946,-0.000017,1
,56,-0.593303,-0.000020,1
,60,-0.666934,0.000103,2
,63,-1.182969,-0.000014,3



20,basis,psnr_ave,ent_ave,area_num
,2,-0.192139,0.000031,3
,3,-0.714385,-0.000029,3
,4,0.315596,-0.000024,1
,6,-0.177030,-0.000022,1
,7,-0.713682,-0.000049,1
,10,1.144765,0.000106,2
,12,-1.369875,0.000197,6
,13,-0.085283,-0.000052,1
,14,-0.521125,0.000035,1
,17,-1.250655,0.000014,4
,18,0.644552,0.000179,6
,19,-1.324716,-0.000007,1
,20,-0.182335,-0.000017,2
,22,-1.956205,-0.000007,12
,23,-1.418490,-0.000009,6
,25,-1.232215,0.000108,2
,28,-1.226054,0.000144,5
,29,-1.223743,0.000018,4
,31,-0.795495,0.000019,3
,34,-1.375234,0.000052,2
,38,-1.045115,0.000020,1
,39,0.744012,0.000010,9
,40,1.324366,0.000272,9
,41,2.104186,0.000224,6
,42,-1.337120,0.000354,1
,43,-1.922124,0.000097,11
,45,-0.659347,-0.000054,1
,46,-0.819526,0.000143,1
,48,-0.626299,-0.000060,1
,50,0.747799,0.000124,4
,51,-0.260521,-0.000038,1
,52,-1.515978,0.000038,1
,54,-0.644024,0.000068,1
,55,-2.089463,0.000499,1
,60,-0.794059,-0.000029,2
,63,-0.774540,-0.000013,3



10,basis,psnr_ave,ent_ave,area_num
,2,-0.553488,0.000009,3
,3,-0.471990,-0.000045,2
,4,-0.582690,-0.000023,1
,5,-0.798136,-0.000060,1
,7,0.324387,-0.000012,1
,10,0.896646,0.000019,6
,11,-2.425006,0.000232,1
,12,-0.796780,-0.000012,6
,14,-0.573707,-0.000024,4
,16,-0.590751,0.000017,1
,17,-0.668781,-0.000042,3
,18,-1.629431,0.000119,13
,19,-0.689543,-0.000054,2
,20,-0.351204,-0.000033,2
,22,-1.114561,0.000007,16
,23,-1.114723,0.000023,5
,24,-0.554966,-0.000057,1
,25,-0.986028,0.000014,2
,27,-0.792085,-0.000029,1
,28,-0.358600,0.000007,2
,30,-1.103234,0.000098,1
,31,-2.034965,0.000067,5
,34,-1.353175,0.000035,18
,36,-1.301555,-0.000058,1
,38,-0.858180,-0.000057,1
,39,-0.942540,0.000027,10
,40,-1.761687,0.000123,22
,41,3.286008,-0.000005,5
,42,-0.952463,0.000116,2
,43,-1.496637,-0.000022,4
,44,-0.352788,0.000029,1
,46,-0.648243,0.000014,3
,48,-1.082714,-0.000057,2
,49,-0.590647,-0.000061,1
,50,-0.973859,0.000059,6
,51,-0.964565,-0.000006,14
,52,-0.825402,0.000026,1
,53,-0.991847,0.000022,9
,55,-0.291167,0.000004,2
,56,-0.446325,-0.000023,1
,58,-0.328577,-0.000016,1
,60,-0.594833,-0.000032,1
,62,-0.406920,-0.000004,3
,63,-1.239134,-0.000016,4
