



100,basis,psnr_ave,ent_ave,area_num



90,basis,psnr_ave,ent_ave,area_num
,6,-1.119139,0.000135,3
,14,0.087926,0.000151,2
,17,0.831474,0.000046,1
,22,-1.058037,-0.000018,1
,29,-1.731509,0.000247,1
,32,-2.064739,0.000045,1
,33,0.319692,0.000119,1
,36,0.165993,0.000305,1
,40,0.361323,0.000126,2
,42,-1.049885,0.000157,1
,45,1.443768,-0.000010,1
,50,-1.295671,0.000174,1
,51,0.696359,0.000052,1
,52,-1.013043,0.000159,1
,53,-1.214222,0.000039,1
,54,1.249387,0.000110,1
,55,-1.823926,0.000078,2
,58,-0.606213,0.000114,2
,59,-0.469966,0.000043,1
,61,3.227492,0.000064,1
,62,0.609564,-0.000010,1



80,basis,psnr_ave,ent_ave,area_num
,0,-0.444550,0.000029,2
,3,-0.399633,0.000023,1
,5,-0.066475,-0.000056,1
,6,-0.948963,-0.000027,2
,7,-0.644580,0.000025,1
,8,0.188341,0.000039,1
,10,1.054698,0.000021,1
,13,-0.246825,0.000011,1
,14,0.277869,0.000037,3
,18,0.132111,-0.000035,2
,20,-0.595161,0.000014,1
,26,0.336813,0.000014,3
,27,-0.780317,0.000028,6
,29,-0.644688,0.000037,4
,32,0.861181,-0.000003,3
,33,-0.646170,-0.000004,2
,36,1.036260,-0.000042,1
,40,-0.543575,0.000007,5
,42,-0.534217,0.000038,3
,43,-0.811035,0.000029,1
,44,-0.764412,0.000033,1
,45,0.180564,0.000027,1
,46,-0.535193,0.000010,1
,47,0.098868,-0.000051,1
,48,-1.839166,0.000034,1
,49,0.013636,-0.000024,1
,52,-0.333072,-0.000051,1
,53,-1.072278,-0.000016,3
,54,-0.912017,0.000094,2
,55,-0.402598,-0.000028,2
,57,-2.012533,0.000013,1
,58,-1.057674,0.000001,2
,60,-0.490420,-0.000008,4
,61,0.892912,0.000022,7
,62,-0.518930,-0.000006,3
,63,-0.237556,-0.000034,2



70,basis,psnr_ave,ent_ave,area_num
,6,0.615665,-0.000038,3
,7,-0.167359,-0.000007,2
,8,0.728831,0.000056,2
,10,1.036782,-0.000026,3
,13,-0.732724,-0.000022,1
,14,1.043135,-0.000008,2
,16,-0.631000,-0.000063,1
,18,-0.088937,-0.000012,1
,20,-0.775277,-0.000022,1
,21,-0.331684,0.000038,1
,22,-0.440967,-0.000012,1
,25,0.209477,-0.000009,4
,26,-0.433143,0.000024,1
,27,-0.290586,0.000023,3
,29,-1.529675,-0.000040,1
,32,-0.951961,-0.000046,1
,33,-0.143497,-0.000022,3
,40,-0.340810,0.000009,5
,41,-0.424304,0.000041,1
,42,-0.428347,-0.000017,1
,43,-0.883173,0.000018,2
,45,-0.490326,-0.000003,1
,48,1.360621,-0.000042,1
,53,-0.737230,-0.000011,2
,55,-0.970943,0.000008,2
,57,-0.361020,-0.000018,2
,58,-0.989069,0.000012,3
,59,0.711756,-0.000012,1
,60,-0.841447,-0.000030,1
,61,0.578634,0.000017,7
,62,0.050063,0.000039,1
,63,-0.707135,-0.000013,1



60,basis,psnr_ave,ent_ave,area_num
,0,-0.084881,0.000041,1
,2,-1.434704,-0.000052,1
,6,0.753073,-0.000037,3
