



100,basis,psnr_ave,ent_ave,area_num



90,basis,psnr_ave,ent_ave,area_num



80,basis,psnr_ave,ent_ave,area_num



70,basis,psnr_ave,ent_ave,area_num
,5,-1.067620,0.000208,1
,14,0.327840,0.000046,1
,17,-0.317227,0.000064,1
,24,0.200661,0.000111,1
,25,0.315115,0.000282,1
,28,0.019876,-0.000010,1
,46,0.555535,0.000086,1
,56,0.200776,0.000225,1
,57,0.323345,0.000073,1



60,basis,psnr_ave,ent_ave,area_num
,5,-0.376767,0.000138,2
,7,-0.896420,0.000288,1
,14,-0.249219,0.000036,1
,17,-0.388327,0.000042,1
,19,-2.032121,0.000168,1
,24,-0.835402,0.000140,1
,25,-0.259600,0.000067,1
,28,0.471498,-0.000016,1
,29,-0.428428,-0.000016,1
,31,0.160794,0.000071,1
,46,0.322776,0.000133,1
,56,0.132322,0.000152,1
,57,0.510673,0.000065,1



50,basis,psnr_ave,ent_ave,area_num
,5,-0.419270,0.000046,2
,7,-0.735186,0.000144,1
,18,0.504693,0.000028,1
,19,-1.147447,0.000061,1
,24,-0.631416,0.000036,2
,25,-0.628754,0.000069,1
,28,-0.827213,-0.000015,1
,29,-0.026401,-0.000016,1
,31,0.319622,0.000118,1
,36,0.162510,0.000025,1
,44,0.013069,0.000078,1
,49,-0.421912,0.000143,1
,51,-0.422900,0.000033,1
,53,-0.138855,0.000095,1
,56,-1.075211,0.000148,1
,57,-1.394543,0.000117,2



40,basis,psnr_ave,ent_ave,area_num
,0,-0.100758,0.000021,1
,3,-0.593806,0.000034,1
,5,-0.405062,0.000068,2
,7,-0.052127,0.000032,1
,14,-0.567453,0.000089,1
,18,0.467104,-0.000028,1
,19,1.341785,0.000081,2
,20,-0.423373,0.000024,1
,23,0.165943,0.000382,1
,24,-0.718554,0.000029,2
,28,-1.011295,0.000031,2
,29,0.323369,-0.000017,1
,31,0.733582,0.000039,1
,41,0.322430,0.000128,2
,43,-0.372214,0.000152,1
,44,0.448606,0.000070,3
,46,-0.751436,0.000073,2
,49,-0.116422,0.000133,1
,50,-0.175744,0.000089,1
,51,-0.594107,0.000034,1
,56,0.626434,0.000138,1
,57,-1.025655,0.000094,5
,60,-0.421954,-0.000005,1



30,basis,psnr_ave,ent_ave,area_num
,3,-0.656850,-0.000018,1
,6,-0.696876,0.000322,2
,14,-1.267876,0.000123,1
,15,-0.067633,0.000049,1
,17,-0.491309,-0.000021,1
,18,-1.355385,0.000170,2
,19,-0.864063,0.000061,3
,21,-0.658486,0.000078,1
,23,-0.514365,0.000314,1
,24,-0.318453,-0.000026,1
,27,-1.048364,0.000312,1
,28,-0.409735,0.000076,1
,33,0.282875,0.000104,1
,34,-1.165503,0.000190,1
,35,-0.536765,0.000054,2
,36,-0.365287,0.000003,1
,39,-0.591692,0.000038,1
,41,0.290163,0.000080,4
,42,-1.069996,0.000165,1
,44,0.426592,0.000087,5
,45,0.592591,0.000780,1
,46,0.431460,0.000099,2
,50,-1.101586,0.000137,1
,51,0.273811,-0.000022,1
,53,-0.520318,0.000036,1
,57,-0.908217,0.000068,10



20,basis,psnr_ave,ent_ave,area_num
