
ICA_Basis,0.055403
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,Result
100,3.614743,2.953432,0.833040,227.000000,0.023757,64.000000,32.568282,,=(B4-C4-F4)/((D4/E4)+$B$2)
90,1.249958,0.599063,0.729282,429.000000,0.044898,64.000000,15.331002,,=(B5-C5-F5)/((D5/E5)+$B$2)
80,0.819349,0.339211,0.484649,544.000000,0.056934,64.000000,8.088235,,=(B6-C6-F6)/((D6/E6)+$B$2)
70,0.666553,0.253565,0.365040,620.000000,0.064888,64.000000,5.398387,,=(B7-C7-F7)/((D7/E7)+$B$2)
60,0.563461,0.208856,0.291145,648.000000,0.067819,64.000000,4.151235,,=(B8-C8-F8)/((D8/E8)+$B$2)
50,0.494772,0.174190,0.231729,745.000000,0.077970,64.000000,2.883221,,=(B9-C9-F9)/((D9/E9)+$B$2)
40,0.433817,0.155399,0.188430,711.000000,0.074412,64.000000,2.462729,,=(B10-C10-F10)/((D10/E10)+$B$2)
30,0.365132,0.129267,0.144163,707.000000,0.073993,64.000000,1.908062,,=(B11-C11-F11)/((D11/E11)+$B$2)
20,0.287069,0.076476,0.106751,825.000000,0.086343,64.000000,1.221818,,=(B12-C12-F12)/((D12/E12)+$B$2)
10,0.200610,0.038955,0.051271,892.000000,0.093355,61.000000,0.556054,,=(B13-C13-F13)/((D13/E13)+$B$2)
