ICA_Basis,0.005348,,,,,,,,,,,,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,
100,5.608221,5.608221,0,0,0,0,#NAME?,,5.608221,5.608221,,0,,0
90,2.556014,2.556014,0,0,0,0,#NAME?,,2.556014,2.556014,,0,,0
80,1.620403,1.620403,0,0,0,0,#NAME?,,1.620403,1.620403,,0,,0
70,1.340299,1.340075,0,1,0.000105,0,0,,1.34018,1.34018,,0.000119,,0.022251309
60,1.174598,1.173902,0,3,0.000315,0,0,,1.174217,1.174217,,0.000381,,0.071241586
50,1.06017,1.057886,0,13,0.001363,0,0,,1.059249,1.059249,,0.000921,,0.172213912
40,0.913997,0.909609,0,24,0.002517,0,0,,0.912126,0.912126,,0.001871,,0.349850411
30,0.711139,0.703606,0,45,0.004719,0,0,,0.708325,0.708325,,0.002814,,0.52617801
20,0.486442,0.4673,0,116,0.012164,0,0,,0.479464,0.479464,,0.006978,,1.304786836
10,0.257417,0.193232,0,404,0.042363,0,0,,0.235595,0.235595,,0.021822,,4.080403889
