ICA_Basis,0.005379,,,,,,,,,,,,,,,,,DCT,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,,,,,Q,entropy,PSNR
100,4.239593,4.239593,0,0,0,0,#NAME?,,4.239593,4.239593,,0.0000,,0.00,,49.51,,10,0.221545,22.432924
90,1.506372,1.506372,0,0,0,0,#NAME?,,1.506372,1.506372,,0.0000,,0.00,,36.99,,20,0.379917,25.107628
80,1.068409,1.067902,0.000262,2,0.000218,2,1,,1.068382,1.07914,,0.0000,,0.01,,33.62,,30,0.520672,26.912395
70,0.922191,0.920967,0.000571,5,0.000546,5,1,,0.922084,0.948979,,0.0001,,0.02,,30.7,,40,0.637022,28.243827
60,0.813768,0.812385,0.000707,6,0.000655,6,1,,0.813747,0.846021,,0.0000,,0.00,,30.32,,50,0.731011,29.289903
50,0.731011,0.729012,0.000992,9,0.000982,9,1,,0.730986,0.779397,,0.0000,,0.00,,29.3,,60,0.813768,30.315314
40,0.637022,0.628596,0.003327,30,0.003273,20,1,,0.635196,0.742776,,0.0018,,0.34,,28.26,,70,0.922191,31.698204
30,0.520672,0.50097,0.006648,60,0.006547,29,1,,0.514165,0.670156,,0.0065,,1.21,,26.96,,80,1.068409,33.615789
20,0.379917,0.34437,0.012827,119,0.012985,36,1,,0.370182,0.563826,,0.0097,,1.81,,25.35,,90,1.506372,36.988338
10,0.221545,0.175929,0.019002,191,0.020841,44,1,,0.215772,0.452448,,0.0058,,1.07,,22.98,,100,4.239593,49.507325
