
ICA_Basis,0.005482
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options
100,3.782905,3.780039,0.000126,3.000000,0.000303,1.000000,0.333333,,=(C4+D4+F4),=(C4+D4+F4+$B$2*G4),49.542953,,=(B4-J4),,=(N4/$B$2),,49.541853
90,1.317938,1.306754,0.002041,45.000000,0.004540,16.000000,0.422222,,=(C5+D5+F5),=(C5+D5+F5+$B$2*G5),36.366486,,=(B5-J5),,=(N5/$B$2),,36.362422
80,0.876421,0.857563,0.003783,107.000000,0.010794,20.000000,0.355140,,=(C6+D6+F6),=(C6+D6+F6+$B$2*G6),33.268450,,=(B6-J6),,=(N6/$B$2),,33.254558
70,0.738624,0.706885,0.005813,181.000000,0.018260,26.000000,0.342541,,=(C7+D7+F7),=(C7+D7+F7+$B$2*G7),31.670847,,=(B7-J7),,=(N7/$B$2),,31.645450
60,0.643716,0.602105,0.007212,242.000000,0.024414,25.000000,0.330579,,=(C8+D8+F8),=(C8+D8+F8+$B$2*G8),30.584103,,=(B8-J8),,=(N8/$B$2),,30.542891
50,0.582177,0.528186,0.008335,337.000000,0.033998,26.000000,0.275964,,=(C9+D9+F9),=(C9+D9+F9+$B$2*G9),29.924807,,=(B9-J9),,=(N9/$B$2),,29.852876
40,0.512523,0.453716,0.008992,368.000000,0.037125,30.000000,0.277174,,=(C10+D10+F10),=(C10+D10+F10+$B$2*G10),29.170524,,=(B10-J10),,=(N10/$B$2),,29.085376
30,0.437330,0.373401,0.008441,404.000000,0.040757,23.000000,0.235149,,=(C11+D11+F11),=(C11+D11+F11+$B$2*G11),28.386685,,=(B11-J11),,=(N11/$B$2),,28.262196
20,0.335628,0.256487,0.008094,531.000000,0.053569,19.000000,0.173258,,=(C12+D12+F12),=(C12+D12+F12+$B$2*G12),27.125243,,=(B12-J12),,=(N12/$B$2),,26.851300
10,0.220259,0.121044,0.010832,683.000000,0.068903,29.000000,0.162518,,=(C13+D13+F13),=(C13+D13+F13+$B$2*G13),24.911880,,=(B13-J13),,=(N13/$B$2),,24.315009
