ICA_Basis,0.005482,,,,,,,,,,,,,,,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,,,,
100,3.782905,3.780919,0,2,0.000202,0,0,,3.781121,3.781121,49.54277,,0.001784,,0.325428676,,49.541853
90,1.317938,1.312096,0,26,0.002623,0,0,,1.314719,1.314719,36.36555,,0.003219,,0.587194455,,36.362422
80,0.876421,0.865739,0,69,0.006961,0,0,,0.8727,0.8727,33.265555,,0.003721,,0.678766873,,33.254558
70,0.738624,0.715147,0.001707,144,0.014527,1,0.173611,,0.731381,0.736863,31.667417,,0.007243,,1.321233127,,31.64545
60,0.643716,0.612363,0.002366,198,0.019975,1,0.181818,,0.634704,0.640186,30.575562,,0.009012,,1.643925575,,30.542891
50,0.582177,0.538186,0.003194,291,0.029357,2,0.161512,,0.570737,0.581701,29.920352,,0.01144,,2.086829624,,29.852876
40,0.512523,0.465622,0.003426,318,0.032081,2,0.163522,,0.501129,0.512093,29.163328,,0.011394,,2.078438526,,29.085376
30,0.43733,0.383498,0.003702,361,0.036419,2,0.144044,,0.423619,0.434583,28.373067,,0.013711,,2.501094491,,28.262196
20,0.335628,0.263703,0.004801,500,0.050442,3,0.122,,0.318946,0.335392,27.103904,,0.016682,,3.043049982,,26.8513
10,0.220259,0.135875,0.004517,627,0.063254,3,0.087719,,0.203646,0.220092,24.843801,,0.016613,,3.030463335,,24.315009
