ICA_Basis,0.005348,,,,,,,,,,,,,,,,,DCT,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,,,,,Q,entropy,PSNR
100,5.608221,5.608221,0,0,0,0,#NAME?,,5.608221,5.608221,,0,,0,,49.44,,10,0.20592,21.900344
90,2.556014,2.556014,0,0,0,0,#NAME?,,2.556014,2.556014,,0,,0,,33.14,,20,0.515962,23.620969
80,1.620403,1.620403,0,0,0,0,#NAME?,,1.620403,1.620403,,0,,0,,29.4,,30,0.776069,24.619931
70,1.340299,1.340075,0,1,0.000105,0,0,,1.34018,1.34018,,0.000119,,0.022251309,,27.72,,40,0.99887,25.405561
60,1.174598,1.173902,0,3,0.000315,0,0,,1.174217,1.174217,,0.000381,,0.071241586,,26.67,,50,1.185,26.022949
50,1.06017,1.057886,0,13,0.001363,0,0,,1.059249,1.059249,,0.000921,,0.172213912,,26.02,,60,1.385191,26.672822
40,0.913997,0.909609,0,24,0.002517,0,0,,0.912126,0.912126,,0.001871,,0.349850411,,25.41,,70,1.667798,27.724406
30,0.711139,0.703606,0,45,0.004719,0,0,,0.708325,0.708325,,0.002814,,0.52617801,,24.62,,80,2.081094,29.40055
20,0.486442,0.464774,0.000952,127,0.013317,1,0.086614,,0.479043,0.484391,,0.007399,,1.383507853,,23.65,,90,2.930798,33.135671
10,0.257417,0.184476,0.003261,441,0.046243,4,0.0839,,0.23398,0.255372,,0.023437,,4.382385939,,22.1,,100,4.943214,49.443472
