100,basis,psnr_ave,ent_ave,area_num,,
,,,,,,
,,,,,,
,,,,,,
90,basis,psnr_ave,ent_ave,area_num,,
,,,,,,
,,,,,,
,,,,,,
80,basis,psnr_ave,ent_ave,area_num,,
,6,0.297069,0.0000690,1,,
,32,0.430936,-0.0000420,1,,
,,,,,,
,,,,,,
,,,,,,
70,basis,psnr_ave,ent_ave,area_num,,
,6,0.951128,0.0000460,1,,
,10,0.230653,-0.0000390,1,,
,23,0.724627,0.0000090,1,,
,34,0.245052,0.0001200,1,,
,43,0.045161,-0.0000270,1,,
,,,,,,
,,,,,,
,,,,,,
60,basis,psnr_ave,ent_ave,area_num,,
,6,0.630864,0.0000400,1,,
,10,0.673226,-0.0000340,1,,
,11,0.40283,0.0000000,1,,
,22,1.415504,-0.0000180,1,,
,23,1.469436,0.0000060,1,,
,35,0.275835,0.0000280,1,,
,,,,,,
,,,,,,
,,,,,,
50,basis,psnr_ave,ent_ave,area_num,,
,6,0.783263,-0.0000070,1,,
,10,0.489046,-0.0000320,1,,
,11,0.898432,-0.0000070,1,,
,17,0.147668,0.0000620,1,,
,18,0.58835,0.0000370,1,,
,19,1.029067,-0.0000470,1,,
,22,0.33227,-0.0000200,1,,
,23,0.365038,0.0000470,1,,
,56,0.188612,-0.0000080,1,,
,,,,,,
,,,,,,
,,,,,,
40,basis,psnr_ave,ent_ave,area_num,,
,5,0.184363,0.0001090,1,,
,11,0.736862,-0.0000520,1,,
,14,0.325213,0.0001250,1,,
,17,0.487513,-0.0000270,1,,
,18,1.820582,0.0004640,2,,
,19,0.455252,-0.0000480,1,,
,22,3.956684,-0.0000670,4,,
,23,4.837468,0.0000390,5,,
,24,0.171018,-0.0000100,1,,
,32,0.247008,0.0000190,1,,
,36,0.029926,-0.0000540,1,,
,39,0.207438,0.0000260,2,,
,40,0.044285,0.0003720,1,,
,42,0.660144,0.0000320,1,,
,43,0.302869,0.0008610,2,,
,45,0.04156,-0.0000180,1,,
,49,0.412687,0.0000610,1,,
,52,0.214687,0.0000380,1,,
,53,1.976905,-0.0000160,1,,
,60,0.739366,-0.0000270,1,,
,,,,,,
,,,,,,
,,,,,,
30,basis,psnr_ave,ent_ave,area_num,,
,2,0.28456,0.0001370,1,,
,6,0.245579,-0.0000210,1,,
,8,0.076344,-0.0000140,1,,
,10,0.886531,0.0000570,2,,
,11,0.716237,-0.0000590,1,,
,12,0.67637,0.0004960,1,,
,14,0.864723,0.0001580,2,,
,18,1.695905,0.0003500,2,,
,20,0.363092,0.0000640,1,,
,22,13.555942,-0.0001230,8,,
,23,4.193841,-0.0000130,4,,
,24,1.547527,-0.0000230,2,,
,25,0.257776,0.0002070,1,,
,28,0.69049,0.0007810,2,,
,29,0.509288,0.0002810,1,,
,31,1.544359,0.0000300,2,,
,32,0.215575,-0.0000600,1,,
,36,1.130473,-0.0000530,1,,
,39,1.326926,0.0000260,4,,
,40,1.947302,0.0000530,2,,
,41,2.079322,0.0020390,3,,
,43,6.129065,0.0019250,7,,
,47,0.365711,0.0001080,1,,
,49,0.190086,-0.0000320,1,,
,50,0.192458,0.0000670,1,,
,53,2.357716,-0.0000170,1,,
