ICA_Basis,0.005482,,,,,,,,,,,,,,,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,,,,
100,3.777206,3.775223,0,2,0.000202,0,0,,3.775425,3.775425,49.54277,,0.001781,,0.32488143,,49.541853
90,1.315953,1.310119,0,26,0.002623,0,0,,1.312742,1.312742,36.36555,,0.003211,,0.585735133,,36.362422
80,0.875101,0.864435,0,69,0.006961,0,0,,0.871396,0.871396,33.265555,,0.003705,,0.675848231,,33.254558
70,0.737745,0.713052,0.002117,150,0.015132,1,0.206667,,0.730301,0.735783,31.667694,,0.007444,,1.357898577,,31.64545
60,0.642954,0.593741,0.008101,238,0.02401,3,0.436975,,0.625852,0.642298,30.597632,,0.017102,,3.119664356,,30.542891
50,0.581599,0.521034,0.008493,329,0.033191,3,0.337386,,0.562718,0.579164,29.945015,,0.018881,,3.444180956,,29.852876
40,0.512005,0.449029,0.008838,355,0.035813,3,0.329577,,0.49368,0.510126,29.187929,,0.018325,,3.342758117,,29.085376
30,0.436783,0.372409,0.007338,394,0.039748,3,0.246193,,0.419495,0.435941,28.389327,,0.017288,,3.153593579,,28.262196
20,0.335247,0.264455,0.004476,498,0.05024,2,0.118474,,0.319171,0.330135,27.095547,,0.016076,,2.932506385,,26.8513
10,0.21991,0.132037,0.005699,642,0.064767,3,0.110592,,0.202503,0.218949,24.849685,,0.017407,,3.175300985,,24.315009
